year,son_DET antre_NOUN,son_DET ventre_NOUN
1800,3.8358807197269584e-07,2.7920181651097664e-06
1801,2.9288546166128526e-07,1.7049266745061686e-06
1802,2.842056971985585e-07,2.155040135676245e-06
1803,2.3989171782368146e-07,4.189328421944083e-06
1804,7.143649440877198e-07,1.8365853051705017e-06
1805,2.8144488606329787e-07,1.1456796702447036e-06
1806,2.7375857936107195e-07,1.31115947610283e-06
1807,1.9359294789467185e-07,9.622708212475573e-07
1808,2.2434133173376836e-07,1.6519679419957356e-06
1809,2.778607575137926e-07,1.3237918778941093e-06
1810,6.224737458815355e-07,1.2121856372004913e-06
1811,1.9053783040234862e-07,1.0178731599808089e-06
1812,3.6274030890126596e-07,8.641754760674303e-07
1813,3.0770434489291176e-07,1.4407465158683408e-06
1814,3.2410775929747615e-07,1.4285914318179493e-06
1815,9.710004844620812e-08,5.583252509211434e-07
1816,9.038655157667108e-08,2.1530540266212483e-06
1817,3.0826093999625215e-07,2.87554517619526e-06
1818,1.6570436400797917e-07,1.37689593060486e-06
1819,2.2565288415599127e-07,1.9418569650042627e-06
1820,2.622492427661882e-07,1.0311972005183634e-06
1821,2.4160646816540066e-07,1.0196778852389343e-06
1822,2.927479982872683e-07,1.1198612952512121e-06
1823,1.7195875123832138e-07,1.0752363763799622e-06
1824,3.0905484926790905e-07,1.1099026728800254e-06
1825,2.668049374765502e-07,1.2354036798001289e-06
1826,2.3164998252944713e-07,1.5449204440187714e-06
1827,2.1660591431604814e-07,9.217272989303638e-07
1828,1.485912737297923e-07,1.0841660014193621e-06
1829,1.603183865661606e-07,1.258542276616481e-06
1830,2.6092089022711207e-07,1.0102857217475503e-06
1831,2.2919073217053665e-07,1.2691241977336176e-06
1832,1.9618454971670474e-07,1.2975241006074612e-06
1833,3.1391634647270905e-07,1.262615484165508e-06
1834,2.594999546357002e-07,1.2144225252086471e-06
1835,2.707585551320335e-07,1.2252201955220698e-06
1836,2.2984964898054017e-07,1.3071858653290747e-06
1837,2.2682724010181232e-07,1.3929697360026694e-06
1838,2.101949958532856e-07,1.1437637468247885e-06
1839,1.9086727054418162e-07,1.14100880210799e-06
1840,2.0319306193172793e-07,1.0828470813351032e-06
1841,2.0866782213246893e-07,1.2603537129507458e-06
1842,2.482058110153673e-07,9.914815670697408e-07
1843,2.2446262720743348e-07,9.332919468363343e-07
1844,2.1405388395123737e-07,1.0527060076981343e-06
1845,1.4955011418127384e-07,1.0457347023873353e-06
1846,1.8558769387944096e-07,1.0906935727916789e-06
1847,1.666506079800456e-07,7.626018252437916e-07
1848,1.407913745032907e-07,8.053266640217771e-07
1849,1.5585711832244442e-07,7.541473472372218e-07
1850,1.615781091146573e-07,7.807345507870878e-07
1851,1.9219326796715563e-07,8.094045647055736e-07
1852,1.503935971314263e-07,1.1106990172038422e-06
1853,1.7497760707030352e-07,1.0283666824761895e-06
1854,1.1898071772264984e-07,8.100040744807302e-07
1855,1.8733488360567208e-07,1.1367459791244983e-06
1856,1.9621547026060782e-07,8.59413431086864e-07
1857,2.4114655117202233e-07,8.811123848317948e-07
1858,1.8008728419616205e-07,9.102237505942412e-07
1859,2.388229325411828e-07,9.99084406316797e-07
1860,2.6410351505745666e-07,9.154367575092692e-07
1861,2.41457343008733e-07,8.026570199604066e-07
1862,1.7710505795243137e-07,1.0942562909121989e-06
1863,2.387428799099922e-07,9.304978760837912e-07
1864,1.6302075489527112e-07,8.198984602358905e-07
1865,1.845082999718528e-07,8.646473155238255e-07
1866,1.8343360902450812e-07,9.400364149314555e-07
1867,1.5140772191557517e-07,1.0617951247127166e-06
1868,1.7635350824107832e-07,8.481763948964272e-07
1869,2.2073506233954987e-07,9.117530517244177e-07
1870,2.047055374099216e-07,7.844178711025052e-07
1871,2.1985836617943733e-07,7.583520371667873e-07
1872,2.1589000720467766e-07,7.922014351180451e-07
1873,1.4007250859204845e-07,7.949413856067622e-07
1874,1.6250936196726684e-07,8.513818023914155e-07
1875,2.3343831401234638e-07,9.154443425529735e-07
1876,1.880310540602892e-07,9.069022119945203e-07
1877,2.3254907433045702e-07,9.858596570211375e-07
1878,1.3950294208697755e-07,9.475330067232335e-07
1879,1.5456592272755643e-07,9.561094067578324e-07
1880,2.560720582245324e-07,9.055581315919881e-07
1881,1.7989069056589813e-07,8.652881753334896e-07
1882,2.083135528518909e-07,9.856625560189514e-07
1883,1.8389276768004947e-07,8.581662314099958e-07
1884,1.9541023643654398e-07,9.196163617275488e-07
1885,1.8627886971822605e-07,9.101237452568967e-07
1886,1.794063018145664e-07,8.253980290362506e-07
1887,1.4494212052795774e-07,9.408180261516463e-07
1888,1.6739223296369232e-07,8.261821200505892e-07
1889,1.5036327560835616e-07,7.298884234785419e-07
1890,1.1535720290112295e-07,8.979509544815301e-07
1891,1.1409854161481547e-07,7.483334591995572e-07
1892,1.1346007133816727e-07,8.13652924591679e-07
1893,9.36079303515136e-08,7.346990891221594e-07
1894,1.4619571242491247e-07,8.727632092586646e-07
1895,1.257890465122813e-07,7.083909068228422e-07
1896,9.199365536005644e-08,8.574280414563873e-07
1897,1.3517975439025776e-07,9.08967304980024e-07
1898,9.902121289595556e-08,7.831163131299945e-07
1899,1.1331536065029013e-07,7.827050936271007e-07
1900,8.928611505698569e-08,8.66905896401704e-07
1901,1.1959901558000752e-07,8.824618582536914e-07
1902,1.0458904853294371e-07,7.547106335437093e-07
1903,9.774398579409649e-08,8.553949122358517e-07
1904,1.0480518941591299e-07,9.959180644614207e-07
1905,1.4966201522526035e-07,8.231410468795275e-07
1906,1.538111229493211e-07,9.593904195526193e-07
1907,1.208568203292515e-07,9.138832766097948e-07
1908,1.4488597788187008e-07,9.420044229102587e-07
1909,1.3587430092165675e-07,9.076623150860996e-07
1910,1.6032452143655007e-07,1.1596806714919694e-06
1911,1.5961121935248457e-07,9.092519306364011e-07
1912,1.6253393714249498e-07,9.397795963650424e-07
1913,1.1666577282021251e-07,9.009779411428553e-07
