year,ton_DET air_NOUN,ton_DET vert_NOUN
1800,6.288328791015374e-08,3.144164484325529e-09
1801,1.0477203105097033e-07,0.0
1802,6.042168365638645e-08,4.475680270843441e-09
1803,1.1702035429550506e-07,7.801356671777171e-09
1804,2.447132398941676e-07,0.0
1805,2.1605870870189392e-07,0.0
1806,8.068673817973604e-08,0.0
1807,1.1103124819555887e-07,0.0
1808,5.4385774994614167e-08,0.0
1809,6.325285362152044e-08,0.0
1810,1.8018976355449468e-07,0.0
1811,1.328750656170996e-07,2.5070767684098882e-09
1812,3.7340914360584065e-08,0.0
1813,1.1215392459185125e-07,0.0
1814,8.496027881221835e-08,3.1466771410748606e-09
1815,1.0788894311275499e-07,0.0
1816,2.0858434979231788e-08,0.0
1817,1.3233423956648949e-07,0.0
1818,8.821671215741844e-08,0.0
1819,8.9019032145643e-08,0.0
1820,1.5663755448258598e-07,0.0
1821,8.185035582641831e-08,0.0
1822,9.524335098376469e-08,4.010246357211145e-09
1823,9.981513482415494e-08,2.9648061783404955e-09
1824,1.6168537086969081e-07,0.0
1825,7.748789787598298e-08,0.0
1826,9.776862741617265e-08,0.0
1827,5.0695001418965546e-08,3.6869092223668076e-09
1828,6.87922590003609e-08,2.7516904310687096e-09
1829,4.286588117796697e-08,0.0
1830,8.871310530622623e-08,1.0436835840010872e-09
1831,1.0446108422712541e-07,0.0
1832,1.1365173968602704e-07,0.0
1833,1.0541102213323938e-07,3.4750886612755494e-09
1834,4.947301412983052e-08,0.0
1835,9.983276072489389e-08,5.294161553592858e-09
1836,6.989580292326991e-08,1.3441500135158435e-09
1837,8.001574336446993e-08,6.957890930081589e-10
1838,7.19586488173718e-08,7.574594285131298e-09
1839,7.83045219776568e-08,2.7965901816529026e-09
1840,6.624476167615967e-08,0.0
1841,7.38363050700741e-08,0.0
1842,1.1806546673653884e-07,6.708265054555795e-10
1843,9.746403284438543e-08,5.906910960362666e-09
1844,5.653218004830762e-08,5.488561272137815e-10
1845,7.756516784418466e-08,2.2320911785556063e-09
1846,6.908311700470904e-08,1.7563503984519002e-09
1847,4.0449176452739266e-08,5.393223645455691e-10
1848,3.378993040925593e-08,0.0
1849,5.865590324560799e-08,7.54147322368226e-09
1850,3.666057768469955e-08,1.3577992064028876e-09
1851,4.385618201929731e-08,0.0
