year,en_ADP îles_NOUN,en_ADP iles_NOUN,en_ADP ville_NOUN
1800,8.803660733747165e-08,3.144164484325529e-08,2.4555924316160826e-06
1801,6.191074675143682e-08,7.143547975374531e-09,1.9573321559107626e-06
1802,7.384872446891677e-08,8.951360541686881e-09,1.8797857421759545e-06
1803,8.191424427650418e-08,9.751695895232615e-09,1.8118651254894758e-06
1804,2.175228814849106e-07,1.9774807569206132e-08,2.340842861769943e-06
1805,3.1271653710973624e-08,2.2743021688143017e-08,3.058936519195754e-06
1806,4.8988376022407465e-08,8.645007376628655e-09,3.7404065267310216e-06
1807,3.4163463169534225e-08,8.540865792383556e-09,2.7131482518427674e-06
1808,4.985362878073829e-08,2.4926814390369145e-08,2.207156102329577e-06
1809,4.51806094758922e-08,2.25903047379461e-08,2.2816208300469043e-06
1810,4.914266327205041e-08,1.8721014072298203e-08,2.995362343938268e-06
1811,5.0141537144554604e-08,7.521230305229665e-09,2.5020625429306165e-06
1812,2.6672083208723052e-08,8.00162469616339e-09,2.7365556718450534e-06
1813,8.052076339026826e-08,8.627224934443234e-09,2.6801911250373678e-06
1814,3.1466772298927026e-08,3.1466771410748606e-09,2.882356199052083e-06
1815,3.776112933451259e-08,0.0,2.570454067374328e-06
1816,1.0660977523002657e-07,2.3176038865813098e-09,1.9027527784487575e-06
1817,1.1053801074467628e-07,2.3353101674672416e-08,2.6902772880532666e-06
1818,1.3947777688372298e-07,2.0266001987678806e-08,2.9135357753062863e-06
1819,3.622867339458935e-08,8.280840235741493e-09,3.0307874752111275e-06
1820,7.238553223487543e-08,3.5599443393152796e-09,2.612999168150054e-06
1821,3.254291058851777e-08,3.94459531705138e-09,2.6833109636470454e-06
1822,7.118187284049782e-08,1.4035862250239006e-08,3.580147350135121e-06
1823,6.81905376609393e-08,6.917880712720148e-09,3.000383641538207e-06
1824,3.621078548121659e-08,1.6000114122505238e-08,3.4509719224473656e-06
1825,4.57883047033647e-08,2.641632912414593e-09,3.2043007642812427e-06
1826,5.813269510213104e-08,8.807984452907647e-09,2.911919705361754e-06
1827,6.728609491801762e-08,5.530363889061363e-09,2.860119773018255e-06
1828,6.420610532131832e-08,2.7516904310687096e-09,2.477438603598614e-06
1829,3.3435387791769244e-08,2.5719527840806222e-08,2.972320094940528e-06
1830,4.174734158368665e-08,9.39315203396518e-09,3.4264132082739707e-06
1831,3.897801548191637e-08,4.677361609140007e-09,3.1338325108265508e-06
1832,3.3824925083081325e-08,8.117981509236927e-09,3.888513411709482e-06
1833,9.730248251571538e-08,1.3900354645102198e-08,3.610617071103661e-06
1834,7.560969805808782e-08,6.534171870242744e-09,3.395902457015154e-06
1835,5.974839467626225e-08,1.1344631900556124e-08,3.6265006784219622e-06
1836,7.123995260371885e-08,1.0753199664037538e-08,3.2010932429216155e-06
1837,4.87052354003481e-08,6.262101726051128e-09,3.590967505573417e-06
1838,6.56464820281144e-08,1.3255539776935166e-08,3.37385042570304e-06
1839,4.894032556990169e-08,1.1885507911202353e-08,3.3622003456912353e-06
1840,4.58617570586739e-08,1.4013315285943406e-08,3.840285295098056e-06
1841,4.751206006403663e-08,7.704658244733764e-09,3.5043354387198633e-06
1842,3.7566284305512454e-08,4.695785538189057e-09,4.261090186474803e-06
1843,3.1306630177141415e-08,4.13483786099178e-09,3.5488720691034814e-06
1844,3.0735943568060975e-08,4.9397050894128824e-09,3.6175107140934415e-06
1845,4.910600637231255e-08,5.580227946389016e-09,4.923993323302511e-06
1846,4.0981507964943376e-08,1.1709002656346001e-08,3.706484733356774e-06
1847,5.9325458323655766e-08,6.47186837454683e-09,3.6113025281281352e-06
1848,9.171552761699786e-08,1.126331028444838e-08,4.733808417256569e-06
1849,6.452149392544015e-08,1.0893238977516262e-08,4.5391292502472425e-06
1850,2.1045888587423178e-08,8.146795238417326e-09,3.6164981125352824e-06
1851,4.9660677348128957e-08,7.739326290945314e-09,3.569119396473752e-06
1852,3.906327350478023e-08,1.1718982229069752e-08,3.6406971162250557e-06
1853,3.762317035693741e-08,4.180352286553557e-09,4.217378190674026e-06
1854,2.961528799971802e-08,9.352196128631363e-09,3.8021872086346775e-06
1855,5.094659627502551e-08,3.714855978387277e-09,4.491791454341865e-06
