year,ton_DET an_NOUN,ton_DET vent_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,8.528632911009026e-09
1806,0.0,5.76333825108577e-09
1807,5.693910232196231e-09,1.4234775580490577e-08
1808,0.0,0.0
1809,0.0,9.036122072814123e-09
1810,2.3401267590372754e-09,0.0
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,0.0,1.0668832928217853e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,8.091670666843243e-09
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,1.035105001712111e-09,1.035105001712111e-09
1820,1.1866481131050932e-09,5.933240565525466e-09
1821,1.97229765852569e-09,9.86148829262845e-10
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,1.9765373782121287e-09,9.882686891060644e-10
1824,2.5263338088166165e-09,1.6842225392110777e-09
1825,0.0,1.7610886082763955e-09
1826,8.807984341885344e-10,2.6423953025656033e-09
1827,0.0,2.7651818612639545e-09
1828,2.7516903755575584e-09,1.8344602503717056e-09
1829,0.0,8.57317605795771e-10
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,2.2689263801112247e-09,6.050470346963266e-09
1836,1.3441500135158435e-09,2.688300027031687e-09
1837,2.087367279024477e-09,1.18284144701164e-08
1838,1.8936485712828244e-09,0.0
1839,2.7965900706306e-09,6.9914751765765e-10
1840,6.369688665408546e-10,4.4587821212971335e-09
1841,6.420548537278137e-10,1.926164561183441e-09
1842,2.683306021822318e-09,6.708265054555795e-10
1843,2.3627644285539873e-09,2.9534555912036353e-09
1844,2.1954245643662773e-09,3.2931368743049916e-09
1845,1.2834524554250493e-08,3.90615950696116e-09
1846,1.1709002656346001e-09,2.3418005312692003e-09
1847,5.393223645455691e-10,6.47186837454683e-09
1848,1.6090443422100975e-09,8.04522137798358e-09
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,1.3577992064028876e-09,1.3577992064028876e-09
1851,1.9348316282474798e-09,7.739326735034524e-09
1852,1.3021090872200602e-09,6.510545436100301e-10
1853,1.1943863675867306e-09,5.3747386541402875e-09
1854,5.195664454227256e-10,2.0782658372020535e-09
1855,2.653468555990912e-09,3.714855978387277e-09
1856,1.5531567143511893e-09,6.212627079449362e-09
1857,9.763018171682347e-10,8.786716354514112e-09
1858,9.787352039936081e-10,7.829881631948865e-09
1859,1.018434669930457e-09,5.092173349652285e-10
1860,2.746310290291376e-09,2.2885919548354394e-09
1861,1.8863854922557266e-09,8.488734604128467e-09
1862,0.0,5.4215836819970775e-09
1863,1.9978483867255648e-09,4.994620828036034e-10
1864,1.9178911792039344e-09,2.8768367688059016e-09
1865,1.882737743486018e-09,2.8241067262513297e-09
1866,0.0,3.405929149824516e-09
1867,1.94112459439566e-09,5.82337378318698e-09
1868,2.4699371437009177e-09,4.93987406535723e-10
1869,4.883519144627257e-10,1.4650557433881772e-09
1870,2.8670243956696595e-09,1.1468097582678638e-09
1871,4.248470908407853e-09,6.37270636261178e-09
1872,2.4189357183956872e-09,2.4189357183956872e-09
1873,1.1972008939764578e-09,2.9930021794299932e-09
1874,5.974609140757536e-10,0.0
1875,1.716458086775674e-09,1.716458086775674e-09
1876,6.04601479992084e-10,2.418405919968336e-09
1877,0.0,3.7108897066318036e-09
1878,6.039088673581716e-10,6.039088673581716e-10
1879,1.221865053580018e-09,1.832797580370027e-09
1880,0.0,0.0
1881,6.972507571312292e-10,6.972507571312292e-10
1882,1.9966155395678697e-09,4.658769592325029e-09
1883,1.2638677882037541e-09,2.5277355764075082e-09
1884,6.601696966868076e-10,6.601696966868076e-09
1885,1.2891271383708158e-09,3.86738152613475e-09
1886,1.936039106809062e-09,1.0970888586481209e-08
1887,3.917354773896875e-09,1.0446279008480275e-08
1888,0.0,2.53624587998047e-09
1889,1.8795409673089125e-09,5.01210956072029e-09
1890,0.0,1.9663159434024635e-09
1891,6.374220040683554e-10,1.529812720946211e-08
1892,6.268512375839919e-10,6.268512375839919e-10
1893,6.158416554491453e-10,3.6950498771837204e-09
1894,0.0,1.2603078580752936e-09
1895,1.2037228991346183e-09,1.2037228991346183e-09
1896,0.0,6.48673198488936e-09
1897,5.826713556089658e-10,1.7480140668268973e-09
1898,5.6583548957434e-10,2.8291773368493978e-09
1899,1.1055156790007459e-09,6.633094074004475e-09
1900,0.0,1.86877908703309e-08
1901,5.588738916095792e-10,3.353243294146324e-09
1902,4.910283846193408e-10,2.946170307716045e-09
1903,1.6200660812870638e-09,1.6200660812870638e-09
1904,1.0749250378694342e-09,0.0
1905,5.160759042333041e-10,1.5482277682110634e-09
1906,1.5432553013283723e-09,5.658603086100555e-09
1907,1.5428529565042481e-09,3.0857059130084963e-09
1908,4.911389073214423e-10,1.1787333775714615e-08
1909,2.2003934230241384e-09,4.4007870125817306e-09
1910,2.137660271017694e-09,1.0153886509378651e-08
1911,1.5961122423746588e-09,4.788336727123976e-09
1912,1.0418842455450772e-09,3.646594803896619e-09
1913,5.833288740930698e-09,4.772690687104841e-09
1914,2.678697486047099e-09,3.348371857558874e-09
1915,3.534228465440492e-09,0.0
1916,0.0,7.69122365795738e-09
1917,1.0966424435210342e-09,3.289927441585405e-09
1918,2.2972752589112133e-09,9.189101035644853e-09
1919,0.0,2.762354567309444e-09
1920,1.514446346106979e-09,4.543339038320937e-09
1921,1.5145494858259667e-09,5.300923255902035e-09
1922,7.377935484775833e-10,9.591315963675129e-09
1923,0.0,8.492758496458919e-09
1924,0.0,3.867487330388997e-09
1925,0.0,7.698724324711748e-09
1926,3.3438415369957397e-09,2.229227691330493e-09
1927,2.2298449753321847e-09,8.919379901328739e-09
1928,0.0,5.713020723163709e-09
1929,1.1140406375176326e-09,8.912325322185666e-09
1930,0.0,5.2518016602221e-09
1931,1.1405356659111021e-09,1.2545892325022123e-08
1932,0.0,4.383814644626227e-09
1933,1.1470662197865522e-09,8.02946331646126e-09
1934,1.1981580172459871e-09,2.3963160344919743e-09
1935,0.0,1.196828414151696e-09
1936,1.2124714565686645e-09,6.0623572828433225e-09
1937,0.0,5.0364472592434595e-09
1938,2.5930428915188486e-09,6.482607339819424e-09
1939,0.0,4.588215141154706e-09
1940,0.0,0.0
1941,2.9515025978810172e-09,2.9515025978810172e-09
1942,0.0,9.102635312174812e-09
1943,0.0,2.9032352077962287e-09
1944,0.0,1.6065930807940276e-08
1945,0.0,2.178504043826024e-09
1946,2.7842208538686464e-09,5.568441707737293e-09
1947,1.1920870957027319e-09,4.7683483828109274e-09
1948,0.0,5.435944139264848e-09
1949,9.817008317369869e-10,1.9634016634739737e-09
1950,0.0,7.444753258312176e-09
1951,0.0,0.0
1952,1.0544803918932644e-09,1.0544803918932644e-09
1953,0.0,6.464296653518886e-09
1954,9.772536113672459e-10,3.9090144454689835e-09
