year,en_ADP aire_NOUN
1800,4.7162466820793725e-08
1801,1.619204113012529e-07
1802,3.3567602031325805e-08
1803,2.9255089017965474e-08
1804,1.730295728918918e-08
1805,3.695740935505398e-08
1806,4.8988376022407465e-08
1807,1.1387820464392462e-08
1808,4.5321479014148736e-08
1809,7.00299480627109e-08
1810,5.3822916346035754e-08
1811,5.0141535368197765e-09
1812,3.200649700829672e-08
1813,2.0130190847567064e-08
1814,4.090680150170556e-08
1815,8.091670444798638e-09
1816,7.184571870766376e-08
1817,1.2454987263765815e-08
1818,7.152706427149269e-09
1819,2.484252026313527e-08
1820,1.7799721696576398e-08
1821,3.7473656067099625e-08
1822,3.0076847679083585e-08
1823,3.2612866407433216e-08
1824,1.431589158329416e-08
1825,1.3208164117983756e-08
1826,2.466235649034587e-08
1827,2.027800155568471e-08
1828,2.384798225563145e-08
1829,4.800978425922864e-08
1830,1.6698937788106605e-08
1831,1.4032085493553836e-08
1832,9.470978445946798e-09
1833,1.2741991461950875e-08
1834,2.1469421573883096e-08
1835,2.571449897459388e-08
1836,2.9571301130015826e-08
1837,1.8786305289175687e-08
1838,3.8504186727905676e-08
1839,2.6567605448946097e-08
1840,5.860113566624747e-08
1841,4.173356549230789e-08
1842,3.287049921141261e-08
1843,3.0125246297529884e-08
1844,5.488561261035585e-08
1845,2.7343117381395388e-08
1846,1.3465352832753297e-08
1847,2.480882788091776e-08
1848,2.0113054055581614e-08
1849,2.3462362719328667e-08
1850,2.1724787302446202e-08
1851,2.1283148576856092e-08
1852,1.9531636752390114e-08
1853,2.26933418723263e-08
1854,2.1821789930598356e-08
1855,1.1144567935161831e-08
1856,2.0191037064520856e-08
1857,1.2691923956253959e-08
1858,4.502181916166137e-08
1859,2.6479301196147276e-08
1860,1.373155189554609e-08
1861,1.3204698334767784e-08
1862,3.6143891435358455e-08
1863,1.947902072974017e-08
1864,2.5412057458318316e-08
1865,2.9653119293371333e-08
1866,1.8489329622894957e-08
1867,2.8631587767335986e-08
1868,3.112120594561674e-08
1869,3.174287332985415e-08
1870,4.0711745086241535e-08
1871,3.929835434846041e-08
1872,2.0560953717385644e-08
1873,3.8909028887701425e-08
1874,5.616132481289782e-08
1875,2.4030413270370587e-08
1876,3.748529087133079e-08
1877,5.999271590617639e-08
1878,2.2344627481629686e-08
1879,1.8327976358811782e-08
1880,4.492492533536563e-08
1881,6.83305714233029e-08
1882,6.25606177973026e-08
1883,3.475636339844712e-08
1884,3.6969503902639644e-08
1885,3.287274280561192e-08
1886,5.0982363997142954e-08
1887,3.199173115309151e-08
1888,2.4728397107764977e-08
1889,3.8217333020451605e-08
1890,3.211649390877369e-08
1891,3.44207886637804e-08
1892,2.7581454897784852e-08
1893,2.832871559554917e-08
1894,3.591877373310126e-08
1895,2.106515117894503e-08
1896,2.122930492509667e-08
1897,2.9133568113515196e-08
1898,2.6594268232038587e-08
1899,2.984892333302014e-08
1900,2.0764213348734017e-08
1901,3.409130783227354e-08
1902,2.8970674414985353e-08
1903,3.0781254878320397e-08
1904,3.117282521003517e-08
1905,2.5803795267176355e-08
1906,2.05767382577271e-08
1907,2.8799923057487575e-08
1908,2.897719486583128e-08
1909,1.925344239595006e-08
1910,1.9238942772226153e-08
1911,1.9685384544665396e-08
1912,2.5005221671037248e-08
1913,2.1742257383383645e-08
1914,1.808120764223986e-08
1915,2.3561524287174507e-08
1916,2.4172415624690302e-08
1917,5.3735480065597585e-08
1918,1.033773866510046e-08
1919,1.6574127070789757e-08
1920,1.8930578438158818e-08
1921,2.4990065738972334e-08
1922,2.360939327372691e-08
1923,1.4862327812892318e-08
1924,5.156649773851996e-09
1925,8.798542339150117e-09
1926,6.687683296036084e-09
1927,1.0034302388994831e-08
1928,1.4853853258500749e-08
1929,2.116677166874581e-08
1930,1.1553964007759987e-08
1931,2.5091784650044247e-08
1932,4.055028668403793e-08
1933,4.1294382802092855e-08
1934,2.875579241390369e-08
1935,2.0346082152400413e-08
1936,1.9399542861009422e-08
