year,en_ADP airs_NOUN,en_ADP ver_NOUN
1800,0.0,4.0874138740321087e-08
1801,2.3811825844433088e-09,2.8574190569230495e-08
1802,0.0,6.042168365638645e-08
1803,7.801356671777171e-09,3.1205427131197894e-08
1804,2.4718509905596875e-08,4.9437020477327565e-08
1805,3.1271653710973624e-08,3.4114532976303735e-08
1806,4.3225035994964855e-08,3.458002950651462e-08
1807,1.4234775136401367e-08,3.131650538890085e-08
1808,2.2660739951163578e-09,6.79822180771339e-08
1809,2.259030518203531e-09,7.45480062125381e-08
1810,9.360507036149102e-09,6.786367778843783e-08
1811,1.2535384286138651e-08,6.01698415536589e-08
1812,2.9339290108509886e-08,5.867858110519819e-08
1813,4.3136125782439194e-08,5.463909014125079e-08
1814,0.0,5.66401889834367e-08
1815,3.506390555685357e-08,1.888056444521169e-08
1816,1.228330006597389e-07,2.3176038865813098e-08
1817,6.227493631882908e-09,2.023935474770866e-08
1818,5.960588467246453e-09,3.099506074022429e-08
1819,0.0,3.001804538271813e-08
1820,2.0173018810965004e-08,1.898636980968149e-08
1821,1.676452932031225e-08,1.676452976440146e-08
1822,1.0025615893027862e-09,3.107940926838637e-08
1823,1.2847492847356534e-08,3.6565942052035894e-08
1824,1.7684335773537896e-08,3.621078459303817e-08
1825,4.4027217427355936e-09,2.0252519439267758e-08
1826,7.0463874735082754e-09,4.227832517411656e-08
1827,5.530363722527909e-09,3.410391080649333e-08
1828,1.0089530988466322e-08,1.7427372378531203e-08
1829,1.7146351893870815e-08,2.9148799207678877e-08
1830,1.982998831806526e-08,2.609208915593797e-08
1831,0.0,2.6505050820802012e-08
1832,2.976593194148336e-08,1.894195755802741e-08
1833,2.085053074640797e-08,3.70676112027013e-08
1834,1.8669061851994684e-09,2.1469422017972306e-08
1835,6.050470346963266e-09,3.025235173481633e-08
1836,1.1425274948351216e-08,1.612980049525703e-08
1837,2.5048407792382932e-08,2.5048407459316024e-08
1838,2.1461350030449466e-08,2.840472790310855e-08
1839,5.2436064379435265e-08,1.887698242164504e-08
1840,7.0066574764382494e-09,1.273937771939515e-08
1841,1.733548060656176e-08,3.659712710657459e-08
1842,6.708265054555795e-09,2.884553929050071e-08
1843,1.3585895075607368e-08,2.185557124168014e-08
1844,1.0977122322231025e-08,2.195424597672968e-08
1845,5.580227835366713e-09,2.3436958263012286e-08
1846,9.952652035849496e-09,2.7516155798323894e-08
1847,9.168480197274675e-09,1.1865092020002521e-08
1848,2.735375304041554e-08,1.689496542667257e-08
1849,6.703531951757213e-09,2.5976186979193017e-08
1850,2.0366988096043315e-09,2.851378422263906e-08
1851,3.8696632564949596e-09,4.0631465081375495e-08
1852,5.859490670445666e-09,2.278690969248487e-08
1853,1.1943863675867306e-09,2.8665273044126138e-08
1854,7.27393034694046e-09,3.9487049907638294e-08
1855,1.2736649068756378e-08,2.865746040470185e-08
1856,1.0872097000458325e-08,2.743910332281274e-08
1857,7.322263684272912e-09,2.8312752475834202e-08
1858,2.4468379322684086e-08,2.5447116025478778e-08
1859,1.3748867822016564e-08,2.0877910511529763e-08
1860,1.373155189554609e-08,2.7463103124958366e-08
1861,1.2733101684148096e-08,3.395494019287071e-08
1862,1.0843167252971853e-08,2.078273766970007e-08
1863,9.489779628779615e-09,2.0977407311217888e-08
1864,1.3904711160250827e-08,1.6781548151101333e-08
1865,7.530950973944073e-09,1.694464046853028e-08
1866,1.0704348518686402e-08,2.432806489593986e-08
1867,2.426405742994575e-08,1.9896527092555516e-08
1868,1.1855697756857353e-08,2.0747470519388855e-08
1869,1.5627261262807224e-08,3.809145021627103e-08
1870,8.027668307875047e-09,3.268407633427728e-08
1871,6.37270636261178e-09,1.9118119309879944e-08
1872,1.269941263259966e-08,3.8098238563932796e-08
1873,1.496501056408306e-08,1.5563611843738556e-08
1874,3.5847653734322193e-09,1.7923827644317214e-08
1875,6.293679799540541e-09,1.2015206940496626e-08
1876,2.0556450763820067e-08,1.7533442697725832e-08
1877,7.421779191219002e-09,1.8554447978047506e-08
1878,2.8383716710322915e-08,2.1136809524868738e-08
1879,5.498392852132383e-09,3.1157559643446575e-08
1880,1.2193908105473383e-08,3.14474477569604e-08
