year,ton_DET air_NOUN
1800,6.288328791015374e-08
1801,1.0477203105097033e-07
1802,6.042168365638645e-08
1803,1.1702035429550506e-07
1804,2.447132398941676e-07
1805,2.1605870870189392e-07
1806,8.068673817973604e-08
1807,1.1103124819555887e-07
1808,5.4385774994614167e-08
1809,6.325285362152044e-08
1810,1.8018976355449468e-07
1811,1.328750656170996e-07
1812,3.7340914360584065e-08
1813,1.1215392459185125e-07
1814,8.496027881221835e-08
1815,1.0788894311275499e-07
1816,2.0858434979231788e-08
1817,1.3233423956648949e-07
1818,8.821671215741844e-08
1819,8.9019032145643e-08
1820,1.5663755448258598e-07
1821,8.185035582641831e-08
1822,9.524335098376469e-08
1823,9.981513482415494e-08
1824,1.6168537086969081e-07
1825,7.748789787598298e-08
1826,9.776862741617265e-08
1827,5.0695001418965546e-08
1828,6.87922590003609e-08
1829,4.286588117796697e-08
1830,8.871310530622623e-08
1831,1.0446108422712541e-07
1832,1.1365173968602704e-07
1833,1.0541102213323938e-07
1834,4.947301412983052e-08
1835,9.983276072489389e-08
1836,6.989580292326991e-08
1837,8.001574336446993e-08
1838,7.19586488173718e-08
1839,7.83045219776568e-08
1840,6.624476167615967e-08
1841,7.38363050700741e-08
1842,1.1806546673653884e-07
1843,9.746403284438543e-08
1844,5.653218004830762e-08
1845,7.756516784418466e-08
1846,6.908311700470904e-08
1847,4.0449176452739266e-08
1848,3.378993040925593e-08
1849,5.865590324560799e-08
1850,3.666057768469955e-08
1851,4.385618201929731e-08
1852,6.770967475588918e-08
1853,4.598387448595531e-08
1854,6.286754050677246e-08
1855,3.343370380548549e-08
1856,6.678574049345798e-08
1857,6.34596157844669e-08
1858,6.068158131533608e-08
1859,8.096555870196198e-08
1860,8.238931359372259e-08
1861,6.177912603710922e-08
1862,7.228778375889533e-08
1863,5.6938678327789205e-08
1864,6.856460998960756e-08
1865,7.76629320853317e-08
1866,5.060237295850811e-08
1867,5.095451882652924e-08
1868,6.421836218351018e-08
1869,6.983432232487985e-08
1870,4.873941383820579e-08
1871,9.134212586303647e-08
1872,6.652073003543535e-08
1873,5.327544005950813e-08
1874,4.779687134970345e-08
1875,8.925582317687031e-08
1876,6.046014888738682e-08
1877,4.7004602876654644e-08
1878,6.039088651377256e-08
1879,6.536978158777629e-08
1880,7.829772652456768e-08
1881,4.2532295019270805e-08
1882,5.790185042542362e-08
1883,5.434631589196215e-08
1884,5.479408571318345e-08
1885,5.156508686710026e-08
1886,5.3563748991791726e-08
1887,6.594214041477642e-08
1888,5.135897751529228e-08
1889,6.077182668207115e-08
1890,6.816562159173145e-08
1891,6.501704330474922e-08
1892,6.080456893542419e-08
1893,3.448713337128595e-08
1894,6.049477585534646e-08
1895,4.9954499203863634e-08
1896,7.548196956363995e-08
1897,6.642453209693144e-08
1898,9.619203122923636e-08
1899,7.6833337914195e-08
1900,7.475116392541281e-08
1901,5.756400955903018e-08
1902,4.173741263713282e-08
1903,5.994244545171057e-08
1904,5.4283715300584845e-08
1905,5.109151568483128e-08
1906,9.928276401005576e-08
1907,8.897119219142269e-08
1908,4.813161424976897e-08
1909,6.161101540058667e-08
1910,7.802459656147676e-08
1911,8.459394962301303e-08
1912,7.084812914115446e-08
1913,7.477215291373795e-08
1914,4.687720611684654e-08
1915,9.424609537234119e-08
1916,6.043104061603799e-08
1917,6.799183305261636e-08
1918,5.168869243732388e-08
1919,8.839534260118853e-08
1920,6.436396837727898e-08
1921,9.238751808027246e-08
1922,9.517536447845032e-08
1923,7.006525759578608e-08
1924,7.992807038448291e-08
1925,1.1548086753521147e-07
1926,8.805449525084441e-08
1927,1.4271007930943824e-07
1928,7.769708032512312e-08
1929,1.2588659537016156e-07
1930,6.932378671109518e-08
1931,7.185374695239943e-08
1932,5.4797681947604815e-08
1933,7.111810784721229e-08
1934,9.944711365506009e-08
1935,6.462873258783475e-08
1936,9.093535968673905e-08
1937,5.5400920295767264e-08
1938,5.315738027533712e-08
1939,4.28233404292655e-08
1940,4.3108311142958655e-08
1941,7.083606590185809e-08
1942,8.192371581117186e-08
1943,5.2258233296242906e-08
1944,8.354284197764628e-08
1945,8.931866934958066e-08
1946,7.099762999729364e-08
1947,1.1324827475789334e-07
1948,6.631851801053301e-08
1949,8.049947064492358e-08
1950,7.657460399101979e-08
1951,7.569595572576304e-08
1952,8.541291318664435e-08
1953,4.740483960929964e-08
1954,8.306655985279576e-08
1955,6.663781526583534e-08
1956,7.325758932807958e-08
1957,8.569986675865948e-08
1958,7.031407212032548e-08
1959,7.440718263751478e-08
1960,7.33608351843884e-08
1961,1.0352757295883919e-07
1962,9.259256739113653e-08
1963,8.1472268931293e-08
1964,8.274196883206741e-08
1965,7.004215873962494e-08
1966,9.250255139647834e-08
1967,8.628087444506605e-08
1968,1.1902252072815145e-07
1969,8.311416710427011e-08
1970,6.300253296842584e-08
1971,6.37161305938605e-08
1972,6.771793703563844e-08
1973,6.285052633892008e-08
1974,6.863197432593893e-08
1975,5.768594801836002e-08
1976,4.285145172033822e-08
1977,5.05403221495726e-08
1978,5.287126336739334e-08
1979,6.437170529949299e-08
1980,5.173487260812237e-08
1981,5.1236952236521915e-08
1982,5.0280768881805216e-08
1983,5.431171601344431e-08
1984,5.335087971403141e-08
1985,4.1507349557434736e-08
1986,5.395036728472746e-08
1987,5.7441677636660415e-08
1988,5.5767951590013354e-08
1989,6.366221505516023e-08
1990,5.121732016277747e-08
1991,5.3925480081318256e-08
1992,5.3997453619558655e-08
1993,4.2097975327948234e-08
1994,5.8551683945751165e-08
1995,7.266084134371908e-08
1996,5.071187381133768e-08
1997,5.178485995571691e-08
1998,3.6237782552461795e-08
1999,5.529943525317549e-08
2000,5.6109000112769536e-08
2001,4.906957240535803e-08
2002,5.476526698799944e-08
2003,6.292053456036228e-08
2004,5.373845501921437e-08
2005,7.16096195674254e-08
2006,5.229720301258567e-08
2007,7.34984249017856e-08
2008,9.408941581412478e-08
2009,8.964202091732432e-08
2010,1.3462810777298273e-07
2011,1.2963265527687895e-07
2012,1.5625519989015402e-07
2013,1.8687137348649685e-07
2014,2.0268566913728137e-07
2015,2.101313532065774e-07
2016,2.379969679111582e-07
2017,2.1986442355625968e-07
2018,2.45239335505687e-07
2019,2.147931654761237e-07
