year,un_DET âne_NOUN,un_DET ane_NOUN,un_DET van_NOUN
1800,1.968247005379453e-06,7.860411344040585e-08,1.1004575739548272e-07
1801,1.4525213458682629e-06,1.1667795019043581e-07,1.214403138050102e-07
1802,1.8999262181296217e-06,8.056224487518193e-08,2.6854081625060644e-07
1803,2.1648765482495946e-06,2.2818968936633155e-07,1.3457340664047024e-07
1804,1.3916520344992023e-06,2.2246658293312294e-08,1.6561401383619057e-07
1805,2.80876326996804e-06,3.127165504324125e-08,7.107194432975916e-08
1806,1.7895165633774468e-06,1.3832011536152322e-07,3.6885366050398716e-07
1807,1.6227644152877474e-06,4.839823608548954e-08,5.124519120158766e-08
1808,2.5719940950352793e-06,6.34500709750796e-08,9.290903024705699e-08
1809,1.7575257764690377e-06,4.518060991998141e-08,7.454800421413665e-08
1810,2.0101689983675897e-06,8.65846905284684e-08,9.126494671107821e-08
1811,1.825151883849685e-06,4.262030461887889e-08,1.1281845324617734e-07
1812,1.8163688153549629e-06,6.668020668954e-08,1.0402111882967802e-07
1813,1.7340722564540556e-06,4.6011866983164396e-08,1.207811497483391e-07
1814,1.343631186756511e-06,1.5733385261285093e-08,4.405347908686963e-08
1815,8.981754504588935e-07,4.585279955726662e-08,1.0249449200472327e-07
1816,1.2932229296325204e-06,5.5622493277951435e-08,6.489291237699035e-08
1817,1.5817834011500054e-06,3.113746827043684e-08,7.940054169708333e-08
1818,1.7726790346728194e-06,4.53004724842998e-08,7.391129974720911e-08
1819,1.7679593256048065e-06,3.5193570835367893e-08,1.1282644862831148e-07
1820,1.6280812520363952e-06,2.7292906601417144e-08,7.95054262425765e-08
1821,2.1143030721759715e-06,3.352905963982522e-08,1.114348133768317e-07
1822,1.7905750269164855e-06,2.105379337535851e-08,7.920236555492011e-08
1823,1.7344115974538e-06,4.4472091786929013e-08,7.906149424030673e-08
1824,1.5806428770304137e-06,2.947389443619386e-08,9.431645953128509e-08
1825,1.8544262587738558e-06,5.723537999102746e-08,4.226612793090112e-08
1826,1.8990014716280257e-06,3.435113882233054e-08,3.6112734136395375e-08
1827,1.376138921926895e-06,5.069500108589864e-08,4.239945522455102e-08
1828,1.645510891989943e-06,3.1185823368140575e-08,6.970948795981258e-08
1829,1.8500913512298212e-06,2.5719527896317373e-08,1.0116347670674486e-07
1830,1.780524243599757e-06,1.8786304289974964e-08,8.871310352986939e-08
1831,1.9442233991640023e-06,2.0268567268999504e-08,1.0913844405990858e-07
1832,1.9659045946696097e-06,2.8412935337840395e-08,7.982681982099393e-08
1833,1.87423107433915e-06,2.6642345662963862e-08,1.3089500550123034e-07
1834,1.8230338412195124e-06,4.293884181549856e-08,7.747660912826859e-08
1835,1.940688413526459e-06,4.235329242874286e-08,6.42862474364847e-08
1836,1.6929569142121181e-06,3.494790073998999e-08,7.258410422705808e-08
1837,1.7429516319111826e-06,5.357576149389587e-08,8.349469204915749e-08
1838,1.975706702239677e-06,7.258986212121954e-08,1.0351945611830615e-07
1839,1.443040517301597e-06,2.7965899929149884e-08,7.131304613494649e-08
1840,1.6414688133181699e-06,4.2676914391304166e-08,9.172351495001507e-08
1841,1.646870725124927e-06,5.457466256686416e-08,8.282507524270954e-08
1842,1.6408416243507418e-06,9.592818894788024e-08,7.446174166148012e-08
1843,1.5818707908010765e-06,4.19390675521214e-08,5.611565617735792e-08
1844,1.64053096796124e-06,3.293136802140495e-08,7.848642824548335e-08
1845,1.5853427122181074e-06,5.301216604580716e-08,5.0780074811740405e-08
1846,1.7001471519506595e-06,4.976326017924748e-08,7.3766716068846e-08
1847,1.4389120153168733e-06,2.8584084432736745e-08,5.608952591273919e-08
1848,1.718459412103357e-06,4.988037538566914e-08,7.401603951961988e-08
1849,1.1789837124354108e-06,5.362825628019152e-08,1.0474268918869711e-07
1850,1.5818360239450158e-06,4.073397708026505e-08,3.4623878875095215e-08
1851,1.5491552360913374e-06,4.321124058570547e-08,6.320449852381671e-08
1852,1.4720343202156982e-06,6.705861554934245e-08,6.901177873608333e-08
1853,1.660794254121356e-06,9.375932896737993e-08,5.613615905453173e-08
1854,1.6044211967880528e-06,4.000661590897181e-08,6.390667195432798e-08
1855,1.8659190459402453e-06,7.588920070134009e-08,9.711694914926738e-08
1856,1.6981180408492946e-06,6.109083244831837e-08,9.163624764552125e-08
1857,1.7104807419343615e-06,4.735063752203672e-08,8.396195871895884e-08
1858,1.8698736354849643e-06,3.3276996880271525e-08,8.61286970632591e-08
1859,1.7639288678594767e-06,7.791025224967996e-08,9.369598963360204e-08
1860,1.870237383627682e-06,5.8587952933564225e-08,7.781212740809451e-08
1861,1.6633204396043766e-06,4.38584628614791e-08,1.0988195020544822e-07
1862,1.4981642486588953e-06,5.3764037527548325e-08,8.087195627060062e-08
1863,1.660711465234499e-06,5.1444593973659636e-08,1.1187950860191975e-07
1864,1.7280199351432657e-06,7.287986403259339e-08,9.877139672820334e-08
1865,1.755182239548958e-06,5.0363235470918255e-08,8.425251352139895e-08
1866,1.5686736531961287e-06,7.201106844156868e-08,5.352174270445431e-08
