year,en_ADP aire_NOUN,en_ADP verres_NOUN
1800,4.7162466820793725e-08,1.9808235984797307e-07
1801,1.619204113012529e-07,1.8335106233280385e-07
1802,3.3567602031325805e-08,1.1189200677108602e-07
1803,2.9255089017965474e-08,1.2677204841438083e-07
1804,1.730295728918918e-08,6.673997887673977e-08
1805,3.695740935505398e-08,7.675770063997334e-08
1806,4.8988376022407465e-08,8.35684019762084e-08
1807,1.1387820464392462e-08,5.97860605466849e-08
1808,4.5321479014148736e-08,4.985362878073829e-08
1809,7.00299480627109e-08,6.777091510201672e-08
1810,5.3822916346035754e-08,1.6146874770583963e-07
1811,5.0141535368197765e-09,6.769107585569145e-08
1812,3.200649700829672e-08,3.467370746079723e-08
1813,2.0130190847567064e-08,1.8404746526812232e-07
1814,4.090680150170556e-08,1.4789382873914292e-07
1815,8.091670444798638e-09,1.8880564311984926e-07
1816,7.184571870766376e-08,2.016315363562171e-07
1817,1.2454987263765815e-08,9.963989811012652e-08
1818,7.152706427149269e-09,5.841376804482934e-08
1819,2.484252026313527e-08,5.900098543065724e-08
1820,1.7799721696576398e-08,3.322614716694261e-08
1821,3.7473656067099625e-08,7.494731057988702e-08
1822,3.0076847679083585e-08,8.421517350143404e-08
1823,3.2612866407433216e-08,6.81905376609393e-08
1824,1.431589158329416e-08,7.494790565942822e-08
1825,1.3208164117983756e-08,9.862096161938894e-08
1826,2.466235649034587e-08,6.958307352533666e-08
1827,2.027800155568471e-08,7.097300586123012e-08
1828,2.384798225563145e-08,5.319934714975716e-08
1829,4.800978425922864e-08,9.687688679038686e-08
1830,1.6698937788106605e-08,1.502904425354501e-07
1831,1.4032085493553836e-08,7.327867024287116e-08
1832,9.470978445946798e-09,8.38858085216998e-08
1833,1.2741991461950875e-08,9.266902623039641e-08
1834,2.1469421573883096e-08,1.820233497262791e-07
1835,2.571449897459388e-08,7.941242330389287e-08
1836,2.9571301130015826e-08,8.26652244434456e-08
1837,1.8786305289175687e-08,1.2524203718555782e-07
1838,3.8504186727905676e-08,8.332053624826585e-08
1839,2.6567605448946097e-08,1.1885507977815735e-07
1840,5.860113566624747e-08,9.427139102680115e-08
1841,4.173356549230789e-08,1.425361801921099e-07
1842,3.287049921141261e-08,1.2611538746654105e-07
1843,3.0125246297529884e-08,1.1636614899446229e-07
1844,5.488561261035585e-08,5.43367555394525e-08
1845,2.7343117381395388e-08,1.6796485757808455e-07
1846,1.3465352832753297e-08,1.0362467706137579e-07
1847,2.480882788091776e-08,9.492073616002017e-08
1848,2.0113054055581614e-08,9.654266164282888e-08
1849,2.3462362719328667e-08,7.709061833338637e-08
1850,2.1724787302446202e-08,1.602203001382918e-07
1851,2.1283148576856092e-08,1.3350337568773796e-07
1852,1.9531636752390114e-08,9.244974252808902e-08
1853,2.26933418723263e-08,1.027172265022358e-07
1854,2.1821789930598356e-08,1.0910895298366086e-07
1855,1.1144567935161831e-08,9.074862816760287e-08
1856,2.0191037064520856e-08,1.0043746756505101e-07
1857,1.2691923956253959e-08,9.56775778604424e-08
1858,4.502181916166137e-08,9.444794812907276e-08
1859,2.6479301196147276e-08,1.1100937724606297e-07
1860,1.373155189554609e-08,1.0573295128324389e-07
1861,1.3204698334767784e-08,8.347255509022489e-08
1862,3.6143891435358455e-08,9.171512260763848e-08
1863,1.947902072974017e-08,5.793760138317339e-08
1864,2.5412057458318316e-08,9.82919260428261e-08
