year,en_ADP aire_NOUN,en_ADP ver_NOUN
1800,4.7162466820793725e-08,4.0874138740321087e-08
1801,1.619204113012529e-07,2.8574190569230495e-08
1802,3.3567602031325805e-08,6.042168365638645e-08
1803,2.9255089017965474e-08,3.1205427131197894e-08
1804,1.730295728918918e-08,4.9437020477327565e-08
1805,3.695740935505398e-08,3.4114532976303735e-08
1806,4.8988376022407465e-08,3.458002950651462e-08
1807,1.1387820464392462e-08,3.131650538890085e-08
1808,4.5321479014148736e-08,6.79822180771339e-08
1809,7.00299480627109e-08,7.45480062125381e-08
1810,5.3822916346035754e-08,6.786367778843783e-08
1811,5.0141535368197765e-09,6.01698415536589e-08
1812,3.200649700829672e-08,5.867858110519819e-08
1813,2.0130190847567064e-08,5.463909014125079e-08
1814,4.090680150170556e-08,5.66401889834367e-08
1815,8.091670444798638e-09,1.888056444521169e-08
1816,7.184571870766376e-08,2.3176038865813098e-08
1817,1.2454987263765815e-08,2.023935474770866e-08
1818,7.152706427149269e-09,3.099506074022429e-08
1819,2.484252026313527e-08,3.001804538271813e-08
1820,1.7799721696576398e-08,1.898636980968149e-08
1821,3.7473656067099625e-08,1.676452976440146e-08
1822,3.0076847679083585e-08,3.107940926838637e-08
1823,3.2612866407433216e-08,3.6565942052035894e-08
1824,1.431589158329416e-08,3.621078459303817e-08
1825,1.3208164117983756e-08,2.0252519439267758e-08
1826,2.466235649034587e-08,4.227832517411656e-08
1827,2.027800155568471e-08,3.410391080649333e-08
1828,2.384798225563145e-08,1.7427372378531203e-08
1829,4.800978425922864e-08,2.9148799207678877e-08
1830,1.6698937788106605e-08,2.609208915593797e-08
1831,1.4032085493553836e-08,2.6505050820802012e-08
1832,9.470978445946798e-09,1.894195755802741e-08
1833,1.2741991461950875e-08,3.70676112027013e-08
1834,2.1469421573883096e-08,2.1469422017972306e-08
1835,2.571449897459388e-08,3.025235173481633e-08
1836,2.9571301130015826e-08,1.612980049525703e-08
1837,1.8786305289175687e-08,2.5048407459316024e-08
1838,3.8504186727905676e-08,2.840472790310855e-08
1839,2.6567605448946097e-08,1.887698242164504e-08
1840,5.860113566624747e-08,1.273937771939515e-08
1841,4.173356549230789e-08,3.659712710657459e-08
1842,3.287049921141261e-08,2.884553929050071e-08
1843,3.0125246297529884e-08,2.185557124168014e-08
1844,5.488561261035585e-08,2.195424597672968e-08
1845,2.7343117381395388e-08,2.3436958263012286e-08
1846,1.3465352832753297e-08,2.7516155798323894e-08
1847,2.480882788091776e-08,1.1865092020002521e-08
1848,2.0113054055581614e-08,1.689496542667257e-08
1849,2.3462362719328667e-08,2.5976186979193017e-08
1850,2.1724787302446202e-08,2.851378422263906e-08
1851,2.1283148576856092e-08,4.0631465081375495e-08
1852,1.9531636752390114e-08,2.278690969248487e-08
1853,2.26933418723263e-08,2.8665273044126138e-08
1854,2.1821789930598356e-08,3.9487049907638294e-08
1855,1.1144567935161831e-08,2.865746040470185e-08
1856,2.0191037064520856e-08,2.743910332281274e-08
1857,1.2691923956253959e-08,2.8312752475834202e-08
1858,4.502181916166137e-08,2.5447116025478778e-08
1859,2.6479301196147276e-08,2.0877910511529763e-08
1860,1.373155189554609e-08,2.7463103124958366e-08
1861,1.3204698334767784e-08,3.395494019287071e-08
1862,3.6143891435358455e-08,2.078273766970007e-08
1863,1.947902072974017e-08,2.0977407311217888e-08
1864,2.5412057458318316e-08,1.6781548151101333e-08
1865,2.9653119293371333e-08,1.694464046853028e-08
1866,1.8489329622894957e-08,2.432806489593986e-08
1867,2.8631587767335986e-08,1.9896527092555516e-08
1868,3.112120594561674e-08,2.0747470519388855e-08
1869,3.174287332985415e-08,3.809145021627103e-08
1870,4.0711745086241535e-08,3.268407633427728e-08
1871,3.929835434846041e-08,1.9118119309879944e-08
1872,2.0560953717385644e-08,3.8098238563932796e-08
1873,3.8909028887701425e-08,1.5563611843738556e-08
1874,5.616132481289782e-08,1.7923827644317214e-08
1875,2.4030413270370587e-08,1.2015206940496626e-08
1876,3.748529087133079e-08,1.7533442697725832e-08
1877,5.999271590617639e-08,1.8554447978047506e-08
1878,2.2344627481629686e-08,2.1136809524868738e-08
1879,1.8327976358811782e-08,3.1157559643446575e-08
1880,4.492492533536563e-08,3.14474477569604e-08
1881,6.83305714233029e-08,2.9981782501131704e-08
1882,6.25606177973026e-08,2.0631694352957197e-08
1883,3.475636339844712e-08,1.9589950939202794e-08
1884,3.6969503902639644e-08,2.3766108192546653e-08
1885,3.287274280561192e-08,2.578254287843862e-08
1886,5.0982363997142954e-08,1.9360392178313646e-08
1887,3.199173115309151e-08,2.219834338568205e-08
1888,2.4728397107764977e-08,3.106901136362694e-08
1889,3.8217333020451605e-08,2.5060547470534544e-08
1890,3.211649390877369e-08,1.9663159045446577e-08
1891,3.44207886637804e-08,1.9122660344095266e-08
1892,2.7581454897784852e-08,2.1312942077855723e-08
1893,2.832871559554917e-08,1.6627724364060015e-08
1894,3.591877373310126e-08,2.457600345451283e-08
1895,2.106515117894503e-08,2.1667012850556944e-08
1896,2.122930492509667e-08,1.5332275227208925e-08
1897,2.9133568113515196e-08,2.097616846885586e-08
