year,on_PRON allait_VERB,on_PRON valait_VERB
1800,1.191638347108892e-06,0.0
1801,1.0572450719337212e-06,0.0
1802,8.660441324082058e-07,0.0
1803,1.0161267596231482e-06,0.0
1804,1.2903062440727808e-06,2.4718509461507665e-09
1805,1.0035358002369321e-06,0.0
1806,6.887189414328532e-07,0.0
1807,1.187180259876186e-06,0.0
1808,1.01973330401961e-06,0.0
1809,1.2447257802250533e-06,0.0
1810,1.1302812481517321e-06,0.0
1811,8.849981014691366e-07,0.0
1812,1.1922420526389033e-06,0.0
1813,1.236568920148784e-06,2.8757416448144113e-09
1814,1.5481651871596114e-06,0.0
1815,1.8395064103060577e-06,0.0
1816,1.3581158668785065e-06,0.0
1817,1.7078901350942033e-06,0.0
1818,1.7655264059612819e-06,0.0
1819,1.8745751049209503e-06,0.0
1820,2.1146069855149108e-06,0.0
1821,2.3411173515341943e-06,0.0
1822,2.3650428033761273e-06,0.0
1823,2.3580091124131286e-06,0.0
1824,2.351174657633237e-06,5.052667617633233e-09
1825,2.3219952822728374e-06,0.0
1826,2.0337635362466244e-06,8.807984341885344e-10
1827,1.969731272311037e-06,0.0
1828,2.3985568020634673e-06,9.172301251858528e-10
1829,2.7914261124806217e-06,0.0
1830,2.4307389594468987e-06,7.305784865963005e-09
1831,2.335562669486535e-06,0.0
1832,3.111892908691516e-06,4.058990921151917e-09
1833,2.725627837207867e-06,0.0
1834,3.171873515839252e-06,6.534171426153534e-09
1835,2.7053166036239418e-06,2.2689263801112247e-09
1836,2.387882375387562e-06,1.3441500135158435e-09
1837,2.760195286555245e-06,6.957890930081589e-10
1838,2.9439923423524306e-06,6.312161904276081e-10
1839,2.470787279662545e-06,3.4957375882882502e-09
1840,3.074011829085066e-06,1.2739377330817092e-09
1841,2.4019272757414e-06,2.5682194149112547e-09
1842,2.9898737068378978e-06,0.0
1843,2.5381996238138527e-06,1.7720733214154905e-09
1844,2.9457107757480117e-06,5.488561272137815e-10
1845,3.6014790794069995e-06,2.790113973194508e-09
