year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP vert_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,5.106122898723697e-06
1801,3.333655484993869e-08,7.1435474868764e-08,2.978859356517205e-06
1802,2.2378401354217203e-09,2.2378401354217203e-09,2.074477833957644e-06
1803,1.950339267864365e-08,5.0708818033484704e-08,4.060606443090364e-06
1804,4.943701892301533e-09,4.943701892301533e-09,3.0848700589558575e-06
1805,5.685755422035754e-09,2.842877711017877e-09,2.655247726579546e-06
1806,0.0,3.1698359492793315e-08,3.3542628443683498e-06
1807,2.8469551160981155e-09,0.0,2.9010473099333467e-06
1808,1.1330369531492579e-08,6.118399653587403e-08,2.2456792976299766e-06
1809,9.036122072814123e-09,9.036122072814123e-09,6.359171038639033e-06
1810,4.212228077449254e-08,7.020380277111826e-09,2.8549545731948456e-06
1811,5.0141535368197765e-09,2.5070767684098882e-09,3.3970891308854334e-06
1812,8.00162425207418e-09,1.8670457180292033e-08,3.0406174573727185e-06
1813,0.0,0.0,1.8232202592116664e-06
1814,1.2586708564299443e-08,3.1466771410748606e-09,1.8880062953030574e-06
1815,2.697223555614414e-09,3.506390644503199e-08,1.785561948963732e-06
1816,0.0,1.4832664874120383e-07,2.8970048333576415e-06
1817,1.556873407970727e-09,6.227493631882908e-09,2.5921942778950324e-06
1818,7.152706427149269e-09,2.384235475716423e-09,2.0695163129857974e-06
1819,1.7596784473994376e-08,3.933399084221634e-08,1.5216043038890348e-06
1820,1.1866481131050932e-09,2.3732962262101864e-08,1.839304559325683e-06
1821,7.88919063410276e-09,1.7750678149575094e-08,1.941727077792166e-06
1822,5.012807946513931e-09,1.2030739071633434e-08,1.775536588866089e-06
1823,2.8659792761231984e-08,1.4824030780680175e-08,2.162331838917453e-06
1824,1.0105335235266466e-08,0.0,1.8905398064816836e-06
1825,1.584979791857677e-08,0.0,1.588501959304267e-06
1826,2.642395191543301e-09,1.1450379977517855e-08,1.9439221432548948e-06
1827,1.8434546111834038e-09,2.21214555007343e-08,1.9171927760908147e-06
1828,8.255071293206129e-09,4.5861504760491556e-08,1.9371900634723715e-06
1829,1.0287811491593857e-08,2.8291481157793896e-08,2.1630123683280544e-06
1830,4.174734336004349e-09,1.0436835840010872e-09,2.017440465351683e-06
