year,bien_ADV eu_VERB,bien_ADV vu_VERB
1800,2.5153315164061496e-07,1.5815146938713553e-06
1801,4.0956339830700017e-07,1.5263380199748156e-06
1802,4.856112809648039e-07,2.1214724199580814e-06
1803,2.5354410126965377e-07,1.5641720159109695e-06
1804,3.831368928786105e-07,1.4410890472049687e-06
1805,3.752598445316835e-07,1.4271246149277772e-06
1806,3.602086451337527e-07,1.7203565061407744e-06
1807,2.932363827312656e-07,1.0846898890193302e-06
1808,2.5380029455845943e-07,1.0945137773887836e-06
1809,4.3373387370593264e-07,1.2018042525596684e-06
1810,2.69114565298878e-07,1.0975194086881856e-06
1811,4.78851688967552e-07,1.1006066955587812e-06
1812,3.494042744023318e-07,1.336271349572371e-06
1813,4.3423699480626965e-07,1.918119764354742e-06
1814,3.4613449884091096e-07,1.2869909369328525e-06
1815,3.263640451223182e-07,1.5616924429195933e-06
1816,2.9201808615653135e-07,1.346527891854521e-06
1817,3.829908621355571e-07,1.8417812051030324e-06
1818,3.552510747795168e-07,1.3065610637852387e-06
1819,3.7263779972818156e-07,1.3363205653149635e-06
1820,5.078853746454115e-07,1.3064995982858818e-06
1821,3.816396088041074e-07,1.7661925895140484e-06
1822,5.383755592447415e-07,1.5930704080346914e-06
1823,5.277354944155377e-07,1.5505935557769135e-06
1824,5.776883540420386e-07,1.5949587037766833e-06
1825,4.261834476437798e-07,1.6571844065893515e-06
1826,4.289488515496487e-07,1.3308863922034675e-06
1827,3.548650227003236e-07,1.1641416204355437e-06
1828,4.06332958391431e-07,1.434547925782681e-06
1829,4.192283142856468e-07,1.423147208079456e-06
1830,4.1538606865287875e-07,1.4225407014567537e-06
1831,4.7241354650395806e-07,1.2207914517059493e-06
1832,3.8154513504196075e-07,1.434176768011497e-06
1833,3.9616008962184424e-07,1.4271029851187222e-06
1834,4.01384824044726e-07,1.3740429816166966e-06
1835,5.00676435422065e-07,1.6706861245552318e-06
1836,5.087607632958679e-07,1.435552176687338e-06
1837,5.29495480350306e-07,1.3950570938447981e-06
1838,5.352713401407527e-07,1.4233925469397946e-06
1839,3.355908120283857e-07,1.424862644761049e-06
1840,3.363195730798907e-07,1.5497452894308594e-06
1841,4.1091510638580075e-07,1.6905304320857795e-06
1842,4.004834295301407e-07,1.3443362938403425e-06
1843,3.904468144355633e-07,1.4241562071859448e-06
1844,4.2097263985851896e-07,1.3732380561570778e-06
1845,3.336976419632265e-07,1.3984051385751428e-06
1846,4.437711993432458e-07,1.316677390228449e-06
1847,3.5487411764734134e-07,1.0775660914674745e-06
1848,4.111108182769385e-07,1.2566636036215328e-06
1849,3.728839601535583e-07,1.1597110249894627e-06
1850,4.82018720049382e-07,1.1011751421818872e-06
1851,3.5471913406581734e-07,1.1228472365232278e-06
1852,3.684968703510094e-07,1.4590131947045393e-06
1853,5.303075454321515e-07,1.3174081345823652e-06
1854,4.977446792508999e-07,1.2796921731172972e-06
1855,4.6701046585440054e-07,1.265704490549524e-06
1856,4.3125984916514426e-07,1.4159612513608977e-06
1857,4.2713205061772896e-07,1.6738694497142603e-06
1858,5.304744945533457e-07,1.6672753782032146e-06
1859,4.6898915684323583e-07,1.6279678121122743e-06
1860,3.9592640632690745e-07,1.6125419433077326e-06
1861,4.357550551503664e-07,1.4977900288926094e-06
1862,4.635454047274834e-07,1.5831023536527766e-06
1863,4.400260991133109e-07,1.924926950724881e-06
1864,3.8405769942073675e-07,1.6978131482936476e-06
1865,4.344417448010063e-07,1.7264704683661591e-06
1866,4.6709882894901966e-07,1.6869079724202152e-06
1867,5.342945428310486e-07,1.6912048526052104e-06
1868,4.801557338396378e-07,1.5135773985264223e-06
1869,4.653993812553381e-07,1.8195992286251794e-06
1870,4.5413665361593303e-07,1.9553106032077494e-06
1871,5.26810367773578e-07,1.6473446073916875e-06
1872,4.408510392295284e-07,1.8770941059287338e-06
1873,5.141977794664854e-07,1.7838293655536575e-06
1874,5.263630669105623e-07,1.7804334833115831e-06
1875,4.771753765453468e-07,1.9024077557716623e-06
1876,4.6796154151707015e-07,2.062295539673187e-06
1877,3.8655099388051894e-07,1.969863785866721e-06
1878,4.1911275161510275e-07,1.6076053621638664e-06
1879,5.070739916845923e-07,1.8181352157142783e-06
1880,4.999502039026993e-07,1.6943114298229034e-06
1881,4.364789845112682e-07,1.6964111173578544e-06
1882,5.58386830107338e-07,1.8036094218132348e-06
1883,4.948042260366492e-07,1.7081172694055624e-06
1884,4.832442073166021e-07,1.9626846157194677e-06
1885,4.5054994757265376e-07,1.895661418949146e-06
1886,4.581959274219116e-07,1.8986091196993016e-06
1887,4.5049580421618884e-07,1.9919750080532594e-06
1888,5.376841158977186e-07,1.886966941810897e-06
1889,5.450668822959415e-07,1.984795285459029e-06
1890,4.5487442434932746e-07,2.1622920467478934e-06
1891,5.137621315043361e-07,2.2144041151861416e-06
1892,6.061651447453187e-07,2.096190534928155e-06
1893,5.487149223881715e-07,2.0445942263691563e-06
1894,5.784813197351468e-07,2.153236035029593e-06
1895,4.98341307775263e-07,1.998781793410842e-06
1896,5.218870455792057e-07,2.4142437369256697e-06
1897,5.110027814225759e-07,2.1634586691021696e-06
1898,5.386754082792322e-07,2.2599468962880565e-06
1899,5.632602437799505e-07,2.0617867004801838e-06
1900,4.80172388961364e-07,2.1553252125272593e-06
1901,4.962799948771135e-07,2.2187293611253267e-06
1902,4.365242318726814e-07,1.8668899013363216e-06
1903,4.233772585848783e-07,2.137407109970013e-06
1904,4.971528255737212e-07,2.322375520336095e-06
1905,5.140116172697162e-07,2.1989994340998464e-06
1906,5.005291541237966e-07,2.354493273237779e-06
1907,4.3919882841692015e-07,2.328679418184265e-06
1908,4.80825008253305e-07,2.4070718962487803e-06
1909,5.616504381578125e-07,2.273006497688357e-06
1910,5.231923410065065e-07,2.4241066833852187e-06
1911,4.953268444296555e-07,2.298401689415641e-06
1912,4.7509922751487466e-07,2.3312159047605974e-06
1913,5.186324187889113e-07,2.467481051482423e-06
1914,5.290427793624985e-07,2.278232200225716e-06
1915,5.489835075422889e-07,2.1228933522188242e-06
1916,6.240878178687126e-07,2.3601069212286774e-06
1917,5.549010779759556e-07,2.6955471934542174e-06
1918,4.996573466087284e-07,2.3730854294967685e-06
1919,4.926199039800849e-07,2.3535259474627424e-06
1920,4.944667466588726e-07,2.6177205540989235e-06
1921,4.816267278329178e-07,2.4164637180135173e-06
1922,4.825169526156969e-07,2.391188991479609e-06
1923,5.010727477383625e-07,2.4830702596290166e-06
1924,5.646531349157158e-07,2.785879945399472e-06
1925,5.97201051277807e-07,2.5317804781543884e-06
1926,4.848570256399398e-07,2.782076075291684e-06
1927,6.143222890386824e-07,3.0493131104591953e-06
1928,5.16457077992527e-07,2.6519841158645363e-06
1929,5.503360966940818e-07,2.766162978673492e-06
1930,5.125758661961299e-07,2.8737859647520736e-06
1931,4.65338558797157e-07,2.553659456339119e-06
1932,5.73183740470995e-07,2.563435510971601e-06
1933,5.276504566609219e-07,2.7437823995057897e-06
1934,5.667287155119993e-07,2.640740222048521e-06
1935,4.94290134156472e-07,2.4929936053297297e-06
1936,4.571017484522599e-07,2.543765062590353e-06
1937,4.709078211817541e-07,2.437640552965803e-06
1938,5.004573040423566e-07,2.434867376166494e-06
1939,5.444682074084994e-07,2.4562245446446695e-06
1940,4.564409152862936e-07,2.449566396833802e-06
1941,5.047069180363906e-07,2.3523475469744426e-06
1942,5.279528636492614e-07,2.900706482122928e-06
1943,5.225823542787111e-07,3.028074264221914e-06
1944,5.205361617299786e-07,3.020395055841618e-06
1945,5.598755592473026e-07,3.0607982655084243e-06
1946,6.041759093022847e-07,2.8148472051015005e-06
1947,5.066370363238093e-07,2.9587602305980454e-06
1948,4.631424133094697e-07,2.7114487330948123e-06
1949,4.977223397872876e-07,2.5455502914439876e-06
1950,4.668923736517172e-07,2.6705392714987397e-06
1951,5.415992063717567e-07,2.9009674893387682e-06
1952,4.6818928467473597e-07,2.604566632591343e-06
1953,5.192984531277034e-07,2.84967728525487e-06
1954,5.013311010770849e-07,2.78517272533918e-06
1955,5.46242404197983e-07,2.851347709054153e-06
1956,5.066983135293412e-07,2.4436638286218226e-06
1957,4.974125999979151e-07,2.46850957097422e-06
1958,4.996434768145264e-07,2.6876518592899856e-06
1959,5.25500695403025e-07,2.515892658649932e-06
1960,5.121416961628711e-07,2.566244987178834e-06
1961,5.294497213981231e-07,2.839712766267155e-06
1962,5.320901550476265e-07,2.7467013588022837e-06
1963,4.836607558900141e-07,2.788808753706462e-06
1964,5.499907160810835e-07,2.7244009084270715e-06
1965,4.875590775554883e-07,2.7677595095809693e-06
1966,5.627699692922761e-07,2.6886669823866782e-06
1967,4.979638674740272e-07,2.7452107618231025e-06
1968,5.407664502854459e-07,2.57627617372691e-06
1969,5.336565322977549e-07,2.3013086689616102e-06
1970,4.7688780568933e-07,2.5297586230266234e-06
1971,4.912308213533834e-07,2.4679723464871017e-06
1972,5.453346147987759e-07,2.3896223035890785e-06
