year,son_DET air_NOUN,son_DET vert_ADJ
1800,3.744699938579288e-06,0.0
1801,3.2907943818827334e-06,0.0
1802,3.01660844570506e-06,0.0
1803,3.2161094338789553e-06,0.0
1804,5.203246075780044e-06,0.0
1805,4.591247318330716e-06,1.7057265822018053e-08
1806,3.316801098662836e-06,0.0
1807,2.9067411730920867e-06,0.0
1808,3.6189201750858047e-06,0.0
1809,3.3411062361210497e-06,0.0
1810,4.701314708199789e-06,0.0
1811,3.123817577943555e-06,0.0
1812,3.5740591215471795e-06,0.0
1813,3.830487941058891e-06,0.0
1814,2.712435588136941e-06,0.0
1815,2.5192067028001475e-06,0.0
1816,2.336144632408832e-06,0.0
1817,3.154225424850665e-06,0.0
1818,3.2509049674445123e-06,3.5763532135746345e-09
1819,3.006980080044741e-06,0.0
1820,2.8004895398225926e-06,0.0
1821,3.0501582557462825e-06,0.0
1822,3.708475276198442e-06,0.0
1823,3.294887733318319e-06,0.0
1824,3.3566554122899106e-06,8.421112696055388e-10
1825,3.051086025607219e-06,0.0
1826,2.971813813701374e-06,0.0
1827,2.367917545598175e-06,0.0
1828,2.8690957378785242e-06,9.172301251858528e-10
1829,3.1334958237039245e-06,0.0
1830,3.266729635242882e-06,0.0
1831,2.6598597173688177e-06,0.0
1832,3.1470708279357495e-06,0.0
1833,2.992051236105908e-06,0.0
1834,2.660341408500244e-06,0.0
1835,3.758854660418365e-06,0.0
1836,3.0209770613964793e-06,7.392825018825988e-09
1837,2.594597589222758e-06,7.653680356156656e-09
1838,2.1821143860734082e-06,2.5248647617104325e-09
1839,2.5903414666572644e-06,6.9914751765765e-10
1840,2.4211187366063314e-06,1.2739377330817092e-09
1841,2.19454339855929e-06,0.0
1842,2.563898988228175e-06,6.708265054555795e-10
1843,2.5187068644072497e-06,0.0
1844,2.2870834754940006e-06,0.0
1845,2.1913555343644475e-06,0.0
1846,2.2832555970353496e-06,5.854501328173001e-10
1847,1.7231349573876287e-06,0.0
1848,1.861664259195095e-06,1.126331028444838e-08
1849,1.814981274605998e-06,8.379414939696517e-10
1850,2.033983264482231e-06,6.788996032014438e-10
1851,1.946440590927523e-06,0.0
