year,en_ADP airs_NOUN,en_ADP vert_NOUN
1800,0.0,5.106122898723697e-06
1801,2.3811825844433088e-09,2.978859356517205e-06
1802,0.0,2.074477833957644e-06
1803,7.801356671777171e-09,4.060606443090364e-06
1804,2.4718509905596875e-08,3.0848700589558575e-06
1805,3.1271653710973624e-08,2.655247726579546e-06
1806,4.3225035994964855e-08,3.3542628443683498e-06
1807,1.4234775136401367e-08,2.9010473099333467e-06
1808,2.2660739951163578e-09,2.2456792976299766e-06
1809,2.259030518203531e-09,6.359171038639033e-06
1810,9.360507036149102e-09,2.8549545731948456e-06
1811,1.2535384286138651e-08,3.3970891308854334e-06
1812,2.9339290108509886e-08,3.0406174573727185e-06
1813,4.3136125782439194e-08,1.8232202592116664e-06
1814,0.0,1.8880062953030574e-06
1815,3.506390555685357e-08,1.785561948963732e-06
1816,1.228330006597389e-07,2.8970048333576415e-06
1817,6.227493631882908e-09,2.5921942778950324e-06
1818,5.960588467246453e-09,2.0695163129857974e-06
1819,0.0,1.5216043038890348e-06
1820,2.0173018810965004e-08,1.839304559325683e-06
1821,1.676452932031225e-08,1.941727077792166e-06
1822,1.0025615893027862e-09,1.775536588866089e-06
1823,1.2847492847356534e-08,2.162331838917453e-06
1824,1.7684335773537896e-08,1.8905398064816836e-06
1825,4.4027217427355936e-09,1.588501959304267e-06
1826,7.0463874735082754e-09,1.9439221432548948e-06
1827,5.530363722527909e-09,1.9171927760908147e-06
1828,1.0089530988466322e-08,1.9371900634723715e-06
1829,1.7146351893870815e-08,2.1630123683280544e-06
1830,1.982998831806526e-08,2.017440465351683e-06
1831,0.0,3.2336160984414164e-06
1832,2.976593194148336e-08,2.8101746920583537e-06
1833,2.085053074640797e-08,2.1811972601426532e-06
1834,1.8669061851994684e-09,2.2365536551660625e-06
1835,6.050470346963266e-09,2.133547013727366e-06
1836,1.1425274948351216e-08,1.84484588316991e-06
1837,2.5048407792382932e-08,1.9607336980698165e-06
1838,2.1461350030449466e-08,1.843782456489862e-06
1839,5.2436064379435265e-08,2.1659589037881233e-06
1840,7.0066574764382494e-09,1.5497452068302664e-06
1841,1.733548060656176e-08,2.010915750361164e-06
1842,6.708265054555795e-09,1.793790033843834e-06
1843,1.3585895075607368e-08,2.0467446120164823e-06
1844,1.0977122322231025e-08,1.9215453903598245e-06
1845,5.580227835366713e-09,1.847613475547405e-06
1846,9.952652035849496e-09,2.046733698080061e-06
1847,9.168480197274675e-09,1.7959434899239568e-06
1848,2.735375304041554e-08,2.1150888187548844e-06
1849,6.703531951757213e-09,2.0747431790368864e-06
1850,2.0366988096043315e-09,2.166368631151272e-06
1851,3.8696632564949596e-09,1.9735282421606826e-06
1852,5.859490670445666e-09,2.2396275198843796e-06
1853,1.1943863675867306e-09,1.9175872694177087e-06
1854,7.27393034694046e-09,1.9504525425873e-06
1855,1.2736649068756378e-08,2.019820158238872e-06
1856,1.0872097000458325e-08,1.6520410781595274e-06
1857,7.322263684272912e-09,1.645068550715223e-06
1858,2.4468379322684086e-08,2.0166839931334835e-06
1859,1.3748867822016564e-08,1.7216638070749468e-06
1860,1.373155189554609e-08,1.7979178892346681e-06
