year,en_ADP air_NOUN,en_ADP vert_NOUN
1800,9.023752340908686e-07,5.106122898723697e-06
1801,4.4528114284680953e-07,2.978859356517205e-06
1802,2.506380951672327e-07,2.074477833957644e-06
1803,4.5442902552039754e-07,4.060606443090364e-06
1804,3.8808059343864443e-07,3.0848700589558575e-06
1805,2.7575912708854844e-07,2.655247726579546e-06
1806,3.7749865100522584e-07,3.3542628443683498e-06
1807,2.0498076924724273e-07,2.9010473099333467e-06
1808,2.062127402169267e-07,2.2456792976299766e-06
1809,2.4397530085096264e-07,6.359171038639033e-06
1810,1.7550951270095538e-07,2.8549545731948456e-06
1811,2.0808736911348547e-07,3.3970891308854334e-06
1812,1.3869483117545656e-07,3.0406174573727185e-06
1813,2.0992913585260453e-07,1.8232202592116664e-06
1814,1.3530711839848664e-07,1.8880062953030574e-06
1815,2.8320846801044297e-07,1.785561948963732e-06
1816,1.7150268938337376e-07,2.8970048333576415e-06
1817,1.3077736582545185e-07,2.5921942778950324e-06
1818,2.2888661255215936e-07,2.0695163129857974e-06
1819,1.3870406800897683e-07,1.5216043038890348e-06
1820,1.8511710120350244e-07,1.839304559325683e-06
1821,8.776724769177235e-08,1.941727077792166e-06
1822,1.0426640528748976e-07,1.775536588866089e-06
1823,9.586206450862278e-08,2.162331838917453e-06
1824,1.4905369027928828e-07,1.8905398064816836e-06
1825,1.1270966804310945e-07,1.588501959304267e-06
1826,9.776862741617265e-08,1.9439221432548948e-06
1827,1.6222400611720644e-07,1.9171927760908147e-06
1828,1.4033620721054518e-07,1.9371900634723715e-06
1829,1.3717081515096652e-07,2.1630123683280544e-06
1830,1.8786305133744463e-07,2.017440465351683e-06
1831,1.7306238930814288e-07,3.2336160984414164e-06
1832,1.1094574858816486e-07,2.8101746920583537e-06
1833,1.4247862734073635e-07,2.1811972601426532e-06
1834,1.474855890748472e-07,2.2365536551660625e-06
1835,1.1722786297241328e-07,2.133547013727366e-06
1836,1.9624590608113834e-07,1.84484588316991e-06
