year,un_DET air_NOUN,un_DET verre_NOUN
1800,3.1539114957013226e-05,1.1366154424763408e-05
1801,2.9183774074681423e-05,9.262799913756226e-06
1802,2.820126178448845e-05,8.732052407367519e-06
1803,3.28456627585183e-05,8.398160851186276e-06
1804,3.575037993641672e-05,7.025000371640999e-06
1805,3.487073780661376e-05,5.5834116103881115e-06
1806,3.055722015687934e-05,9.06861299654338e-06
1807,2.429306718454427e-05,7.635533563643548e-06
1808,2.6828049868754533e-05,6.376732443413857e-06
1809,2.871905564916233e-05,7.104651192690881e-06
1810,4.341403035823532e-05,7.867506425895954e-06
1811,3.0200246897038596e-05,6.718965778418351e-06
1812,2.5333143298666982e-05,8.012293918113755e-06
1813,3.3326970822145086e-05,6.151211394467282e-06
1814,2.6513900877489505e-05,6.359434323144342e-06
1815,2.3487422566859095e-05,5.799030489583856e-06
1816,2.6483259148335492e-05,8.021227372978501e-06
1817,2.63189456291002e-05,6.283540848528446e-06
1818,2.873718946716508e-05,6.104834803011272e-06
1819,2.4065156139840838e-05,4.922959497832835e-06
1820,2.803930794925691e-05,4.631487513506727e-06
1821,3.1554789529764093e-05,7.921733683247112e-06
1822,2.90572434380465e-05,5.052910580616299e-06
1823,2.759740365831931e-05,5.920717754293037e-06
1824,2.4607332676396254e-05,5.530986804558324e-06
1825,2.7951998561093205e-05,4.634304733741601e-06
1826,2.211420704156808e-05,5.376393581002503e-06
1827,1.9799625064820248e-05,4.6998873060033475e-06
1828,2.5229331214404738e-05,5.62904148182497e-06
1829,2.8438082637194384e-05,5.668584229567841e-06
1830,2.8202417325928764e-05,7.60427838031319e-06
1831,2.4743244182445778e-05,6.49061902890935e-06
1832,2.7678257595198374e-05,6.322554497728561e-06
1833,2.8152851399454448e-05,6.500732325775971e-06
1834,2.4972671269551938e-05,5.765939690149935e-06
1835,3.5641052249957283e-05,7.106277422508356e-06
1836,2.651873523973336e-05,5.628628017007031e-06
1837,2.4754087718292794e-05,5.917686017653523e-06
1838,2.219482431087272e-05,4.696248403490699e-06
1839,2.432054471057654e-05,5.757479996759685e-06
1840,2.5315690649563294e-05,4.760705138551202e-06
1841,2.1713653779897868e-05,5.403533776870972e-06
1842,2.5270704668400867e-05,5.542368597843961e-06
1843,2.5331198287403822e-05,6.210526194649901e-06
1844,2.3661187839252307e-05,5.725118434440901e-06
1845,2.451003473424862e-05,5.194075967551726e-06
