year,aucun_DET air_NOUN,aucun_DET ver_NOUN
1800,9.118076782499429e-08,1.5720821977538435e-08
1801,1.04772034603684e-07,7.143547975374531e-09
1802,5.147032311469957e-08,2.6854081625060644e-08
1803,2.7304748684287006e-08,2.1453731902099094e-08
1804,6.179627121127851e-08,9.887404028852131e-08
1805,2.55858996212055e-08,2.842877711017877e-09
1806,2.881669125542885e-09,5.76333825108577e-09
1807,3.9857372513552036e-08,3.9857372513552036e-08
1808,8.611080914988634e-08,2.7192887941396293e-08
1809,1.2876473931555665e-07,2.259030518203531e-09
1810,8.658469141664682e-08,2.3401267590372754e-09
1811,4.512738271955641e-08,2.2563691359778204e-08
1812,1.0668832928217853e-08,5.3344164641089264e-09
1813,2.8757416448144113e-09,2.0130190847567064e-08
1814,2.8320094713762956e-08,3.1466772298927026e-08
1815,1.8880564667256294e-08,7.552225866902518e-08
1816,6.257530316133852e-08,2.7811246638975717e-08
1817,4.514932783195036e-08,2.9580593974287694e-08
1818,4.053200441944682e-08,4.768470951432846e-09
1819,8.591371170041384e-08,3.1053151161586356e-09
1820,9.8491796052258e-08,1.779972080839798e-08
1821,3.747365440176509e-08,2.9584463767662328e-09
1822,2.5064039732569654e-08,7.017931125119503e-09
1823,5.237824041159911e-08,1.8777105759149038e-08
1824,5.052667617633233e-08,8.421112696055388e-09
1825,4.57883047033647e-08,1.0566532093747583e-08
1826,4.844391554570393e-08,1.76159691278599e-08
1827,3.96342727526644e-08,1.474763688946723e-08
1828,9.355747465633613e-08,5.4116576109208836e-08
1829,8.230248838003718e-08,6.858540679832714e-09
1830,4.0703660886265425e-08,9.39315203396518e-09
1831,2.8064171431196883e-08,9.354723218280014e-09
1832,2.3000948701223933e-08,1.352996914505411e-08
1833,4.054269808762001e-08,8.108539839568607e-09
1834,8.121041616959701e-08,1.5868701908061666e-08
1835,4.0084366048631637e-08,5.294161553592858e-09
1836,4.771732520225669e-08,1.1425274948351216e-08
1837,2.7135774516295896e-08,2.574419644130188e-08
1838,2.7773513266993177e-08,1.4517972157790382e-08
1839,4.824117727508792e-08,1.25846553178377e-08
1840,6.11490094115652e-08,1.146543993080229e-08
1841,4.044945489667384e-08,1.0914932957462042e-08
1842,4.695785449371215e-08,1.6770663080478698e-08
1843,2.8353174030826267e-08,7.678984559333912e-09
1844,1.8661107548112454e-08,6.0374173438404455e-09
1845,2.4553003186156275e-08,2.399498066907313e-08
1846,4.2152407786488766e-08,1.1709002878390606e-08
1847,4.530307862182781e-08,7.550513103637968e-09
1848,2.735375304041554e-08,1.528592141752938e-08
1849,2.0948537127196687e-08,5.02764896381791e-09
1850,4.073397619208663e-08,1.4935791270431764e-08
1851,3.353708066811123e-08,6.449438760824933e-10
1852,3.059956199535918e-08,2.6042181300311995e-08
1853,3.3442816516071616e-08,1.2541057081705276e-08
1854,4.468271425084325e-08,3.63696517347023e-09
1855,8.384960636931282e-08,2.388121700391821e-08
1856,4.40061072026765e-08,1.1907535402144731e-08
1857,6.541222319356166e-08,1.6108980149809327e-08
