year,en_ADP iles_NOUN,en_ADP villes_NOUN
1800,3.144164484325529e-08,5.0306631749208464e-08
1801,7.143547975374531e-09,8.810375362600098e-08
1802,8.951360541686881e-09,3.3567602031325805e-08
1803,9.751695895232615e-09,8.776526772003024e-08
1804,1.9774807569206132e-08,2.4718508484511403e-07
1805,2.2743021688143017e-08,1.1371511021707192e-07
1806,8.645007376628655e-09,4.8988376022407465e-08
1807,8.540865792383556e-09,8.256169792275614e-08
1808,2.4926814390369145e-08,6.118399697996324e-08
1809,2.25903047379461e-08,7.228897858091443e-08
1810,1.8721014072298203e-08,1.1466621430145096e-07
1811,7.521230305229665e-09,7.771938026479575e-08
1812,8.00162469616339e-09,1.0935553440560852e-07
1813,8.627224934443234e-09,6.039057609541487e-08
1814,3.1466771410748606e-09,1.0069366851439554e-07
1815,0.0,5.3944472000466703e-08
1816,2.3176038865813098e-09,2.7811246638975717e-08
1817,2.3353101674672416e-08,1.55687345682054e-07
1818,2.0266001987678806e-08,6.318223921830679e-08
1819,8.280840235741493e-09,1.2938812743445993e-07
1820,3.5599443393152796e-09,1.044250339532482e-07
1821,3.94459531705138e-09,1.0058717947458717e-07
1822,1.4035862250239006e-08,8.72228582693424e-08
1823,6.917880712720148e-09,7.41201550136239e-08
1824,1.6000114122505238e-08,1.3221146843989118e-07
1825,2.641632912414593e-09,1.47050897680856e-07
1826,8.807984452907647e-09,1.0305341902050458e-07
1827,5.530363889061363e-09,1.0323345794871486e-07
1828,2.7516904310687096e-09,1.2382605990568507e-07
1829,2.5719527840806222e-08,1.38885445200021e-07
1830,9.39315203396518e-09,2.1395513272182143e-07
1831,4.677361609140007e-09,3.897801548191637e-08
1832,8.117981509236927e-09,1.0959275131838808e-07
1833,1.3900354645102198e-08,1.5522061502792894e-07
1834,6.534171870242744e-09,1.3441724777685238e-07
1835,1.1344631900556124e-08,1.0890846624533879e-07
1836,1.0753199664037538e-08,1.4584027496766794e-07
1837,6.262101726051128e-09,1.2941677596245427e-07
1838,1.3255539776935166e-08,1.1046283532323287e-07
1839,1.1885507911202353e-08,8.949088048382237e-08
1840,1.4013315285943406e-08,1.2866770759956125e-07
1841,7.704658244733764e-09,1.008026098148207e-07
1842,4.695785538189057e-09,9.391571254013797e-08
1843,4.13483786099178e-09,6.73387887673016e-08
1844,4.9397050894128824e-09,9.16589729116346e-08
1845,5.580227946389016e-09,5.5802278353667134e-08
1846,1.1709002656346001e-08,1.1826092505273778e-07
1847,6.47186837454683e-09,1.0786447202093541e-07
1848,1.126331028444838e-08,1.5768633992996328e-07
1849,1.0893238977516262e-08,7.122502410084053e-08
1850,8.146795238417326e-09,8.078905011643656e-08
1851,7.739326290945314e-09,1.1480000949859459e-07
1852,1.1718982229069752e-08,1.1849192493862404e-07
1853,4.180352286553557e-09,9.196774719555378e-08
1854,9.352196128631363e-09,8.988499833328945e-08
1855,3.714855978387277e-09,1.1197637306281649e-07
1856,1.7084724746041502e-08,9.422484187338043e-08
1857,7.810414537345878e-09,9.665388067681135e-08
1858,4.893675908945738e-09,1.1891632700766763e-07
1859,2.5460866748261424e-09,9.267755274322553e-08
