year,en_ADP oie_NOUN,en_ADP voix_NOUN
1800,3.144164484325529e-09,7.860410988769218e-08
1801,1.666827853519237e-08,9.28661187948876e-08
1802,2.0140561218795483e-08,9.622712582313397e-08
1803,9.751696339321825e-09,2.5354410126965377e-08
1804,1.2359254952798437e-08,4.449331569844617e-08
1805,3.695740957709859e-08,3.695741046527701e-08
1806,1.4408345627714425e-08,8.645007198992971e-08
1807,0.0,4.839823830593559e-08
1808,1.0877154998922833e-07,2.4926814390369145e-08
1809,0.0,2.710836710662079e-08
1810,2.3401266702194334e-08,7.488405628919281e-08
1811,1.504245972228091e-08,2.5070768572277302e-08
1812,2.6672082320544632e-09,5.601137331723294e-08
1813,5.751483289628823e-09,2.5881675469463516e-08
1814,1.1642705288750221e-07,1.1013369771717407e-07
1815,0.0,6.203614333344376e-08
1816,2.3176038865813098e-09,6.952811304472561e-08
1817,4.670620334934483e-09,6.85024303948012e-08
1818,4.768470951432846e-09,4.172412104708201e-08
1819,4.140420006848444e-09,6.314140676977331e-08
1820,2.3732962262101864e-09,1.1391821885808895e-07
1821,1.577838126820552e-08,3.944595405869222e-08
1822,1.0025615893027862e-09,6.316138012607553e-08
1823,1.9765373782121287e-09,1.2353358158634364e-07
1824,1.9368560089105813e-08,7.410579172528742e-08
1825,7.924898959288385e-09,1.0654586191094495e-07
1826,3.5231937367541377e-09,8.71990444295534e-08
1827,1.8434546111834038e-09,5.069500019772022e-08
1828,7.337841001486822e-09,6.787502826455238e-08
1829,9.430493719264632e-09,7.372931065674493e-08
1830,2.0873671680021744e-09,5.218418053232199e-08
1831,1.5591206103948707e-09,5.6128342862393765e-08
1832,2.0294953273491956e-08,7.441482807735156e-08
1833,2.3167257001688313e-09,1.4247862623051333e-07
1834,3.733812370398937e-09,8.68111342811062e-08
1835,7.563087933704082e-09,1.1571524538567246e-07
1836,2.016224964762614e-09,9.341842854837523e-08
1837,1.3915781860163179e-09,1.1132625565846155e-07
1838,4.418513332993257e-09,7.827080850120183e-08
1839,2.0974426639952526e-09,8.73934373757379e-08
1840,5.732719632334238e-09,1.0127804728199408e-07
1841,2.3113974734201292e-08,1.592296086094791e-07
1842,1.341653010911159e-09,7.043678573737111e-08
1843,1.7720733214154905e-09,9.80547226192563e-08
1844,3.2931368743049916e-09,1.245903433755302e-07
1845,3.9061593959388574e-09,7.310098615320726e-08
1846,2.9272506640865004e-09,1.1943183153562131e-07
1847,7.011190739092399e-09,1.0031395891729744e-07
1848,4.82713291560799e-09,1.1102405750307298e-07
