year,ton_DET antre_NOUN,ton_DET ventre_NOUN
1800,3.144164484325529e-09,1.5720822421627645e-08
1801,7.143547975374531e-09,2.8574191013319705e-08
1802,0.0,6.713520406265161e-09
1803,7.801356671777171e-09,1.75530532331436e-08
1804,9.887403784603066e-09,1.730295728918918e-08
1805,0.0,2.558589873302708e-08
1806,0.0,1.4408345627714425e-08
1807,0.0,3.985737118128441e-08
1808,0.0,3.6257183921861724e-08
1809,0.0,3.162642769893864e-08
1810,0.0,1.4040760554223652e-08
1811,0.0,3.008491944456182e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,5.463909147351842e-08
1814,0.0,3.1466772298927026e-08
1815,5.394447111228828e-09,2.9669459555847766e-08
1816,0.0,5.5622495054308274e-08
1817,1.556873407970727e-09,1.0898113522728181e-08
1818,0.0,3.2187177367859476e-08
1819,1.035105001712111e-09,9.626476549229324e-08
1820,3.5599443393152796e-09,5.458581142647745e-08
1821,1.676452932031225e-08,6.015507691969901e-08
1822,1.2030739071633434e-08,6.316138012607553e-08
1823,0.0,4.348382276475604e-08
1824,0.0,5.052667528815391e-08
1825,1.7610886082763955e-09,8.981551635756091e-08
1826,1.0569580766173203e-08,3.699353356978463e-08
1827,0.0,1.1060727445055818e-08
1828,2.7516904310687096e-09,5.6868266540277546e-08
1829,8.57317605795771e-10,3.686465693819585e-08
1830,5.218417697960831e-09,2.8179456323940144e-08
1831,1.5591206103948707e-09,1.0602020039662818e-07
1832,0.0,1.447706745594246e-07
1833,4.633451511359965e-09,3.3592521875291936e-08
1834,0.0,9.707912118628315e-08
1835,7.563087933704082e-10,5.596685070941021e-08
1836,6.048674894287842e-09,4.234072503717101e-08
1837,4.174734336004349e-09,3.89641890974346e-08
1838,1.2624323808552163e-09,4.9234863297442644e-08
1839,6.9914749545318955e-09,4.824117860735555e-08
1840,5.095750932326837e-09,4.649872664685972e-08
1841,6.420548537278137e-09,5.971109962032983e-08
1842,1.2745703159566801e-08,5.567859950872389e-08
1843,2.953455480181333e-09,5.493427224223524e-08
1844,6.586273748609983e-09,3.896878647546842e-08
1845,1.0044410636567136e-08,6.138250796539069e-08
1846,1.5807152919933287e-08,7.142491642575521e-08
1847,1.0786447290911383e-09,7.874106611183151e-08
1848,1.6090443422100975e-09,4.746680914990975e-08
1849,0.0,5.279031256577582e-08
1850,1.3577992064028876e-09,3.4623880651452055e-08
1851,6.449438760824933e-10,4.127640806927957e-08
1852,1.3021090872200602e-09,5.533963576276335e-08
1853,5.3747388761848924e-09,5.733054542211846e-08
1854,2.5978321716024766e-09,4.416314958177736e-08
1855,4.776243400783642e-09,9.127932187880106e-08
1856,6.730345780692204e-09,7.972871757244704e-08
1857,1.0251168802710708e-08,5.0767695825015835e-08
1858,1.9574704079872163e-09,5.676664116549546e-08
1859,1.476730293603623e-08,4.2774256803213007e-08
1860,6.865775947773045e-09,5.538392544579551e-08
1861,8.488735048217677e-09,9.384767762909973e-08
1862,5.421583626485926e-09,3.252950275811628e-08
1863,8.490855407661257e-09,6.592899381985262e-08
1864,3.835782358407869e-09,8.582563137959909e-08
1865,6.118897832863013e-09,5.8835556093761454e-08
1866,8.75810357570117e-09,5.254862084358436e-08
1867,2.426405742994575e-09,7.473329866058975e-08
1868,1.4819622196071691e-09,5.779652800796953e-08
1869,6.348574999037737e-09,6.348574588255218e-08
1870,1.204150201772336e-08,6.766177795825001e-08
1871,1.274541272522356e-08,5.3105885911008954e-08
1872,7.861540751719076e-09,5.140238246159612e-08
