year,en_ADP ans_NOUN,en_ADP vent_NOUN
1800,1.006132621661493e-07,3.144164573143371e-08
1801,9.28661236798689e-08,7.381665767525192e-08
1802,9.175144555229053e-08,5.594600338554301e-08
1803,9.946729906396001e-08,5.655983770225248e-08
1804,9.887404028852131e-08,1.730295728918918e-08
1805,6.25433098644379e-08,3.695740957709859e-08
1806,1.6137346481315262e-07,6.0515052524579e-08
1807,1.5088862248546775e-07,3.131650538890085e-08
1808,1.427626639127766e-07,7.251436784372345e-08
1809,7.906607124574805e-08,7.906607124574805e-08
1810,1.4508786394529238e-07,3.042164786748458e-08
1811,8.273353602206157e-08,2.757784489659798e-08
1812,9.068508077803017e-08,2.9339290108509886e-08
1813,7.476928232108548e-08,1.150296680130225e-08
1814,3.1466771410748606e-08,2.8320094269673746e-08
1815,4.855002422310406e-08,5.3944472000466703e-08
1816,5.7940095388175905e-08,2.7811246638975717e-08
1817,6.383180817248757e-08,2.0239355080775567e-08
1818,6.318223921830679e-08,1.668964877410417e-08
1819,1.066158181739496e-07,4.5544620519422097e-08
1820,4.509263007435038e-08,1.1629151508429914e-07
1821,1.0354562518521959e-07,6.311352507282209e-08
1822,1.3334069137727056e-07,2.7069162911175226e-08
1823,4.348382143248841e-08,3.2612866740500124e-08
1824,5.557934468214398e-08,2.6947561515555662e-08
1825,4.138558074018306e-08,3.346068377929612e-08
1826,3.435113959948666e-08,3.2589543508265706e-08
1827,6.544263980723386e-08,6.544264152807955e-08
1828,4.035812389835414e-08,4.127535402353999e-08
1829,5.658296359234427e-08,1.8003669499666586e-08
1830,2.7135772739939057e-08,2.609208960002718e-08
1831,4.989185842241284e-08,1.5591206548037917e-08
1832,3.9236911608675484e-08,2.4353944638733083e-08
1833,3.938433690287013e-08,3.243415847009601e-08
1834,4.760610661236342e-08,1.7735608537350345e-08
1835,9.756383434478266e-08,3.403389570166837e-08
1836,3.09154504218867e-08,4.099657502365517e-08
1837,3.478945287405111e-08,1.88558840874542e-07
1838,3.282324301245865e-08,4.986608037604867e-08
1839,6.711815891957684e-08,4.124970442997977e-08
1840,6.369688487772862e-08,5.7327197544587705e-08
1841,9.052973348744331e-08,3.2102744018658314e-08
1842,7.24492630332918e-08,3.95787642659684e-08
1843,3.544146692791017e-08,4.725528707227866e-08
1844,3.402907938765409e-08,2.9089375519486538e-08
1845,2.566904799827796e-08,4.2409732170511916e-08
1846,3.2785206105501175e-08,4.6836011069473216e-08
1847,2.1572895470001185e-08,4.206714443455439e-08
1848,1.930853293918844e-08,4.8271330321814077e-08
1849,4.7762666932626985e-08,3.1841775882668344e-08
