year,en_ADP air_NOUN,en_ADP ver_NOUN
1800,9.023752340908686e-07,4.0874138740321087e-08
1801,4.4528114284680953e-07,2.8574190569230495e-08
1802,2.506380951672327e-07,6.042168365638645e-08
1803,4.5442902552039754e-07,3.1205427131197894e-08
1804,3.8808059343864443e-07,4.9437020477327565e-08
1805,2.7575912708854844e-07,3.4114532976303735e-08
1806,3.7749865100522584e-07,3.458002950651462e-08
1807,2.0498076924724273e-07,3.131650538890085e-08
1808,2.062127402169267e-07,6.79822180771339e-08
1809,2.4397530085096264e-07,7.45480062125381e-08
1810,1.7550951270095538e-07,6.786367778843783e-08
1811,2.0808736911348547e-07,6.01698415536589e-08
1812,1.3869483117545656e-07,5.867858110519819e-08
1813,2.0992913585260453e-07,5.463909014125079e-08
1814,1.3530711839848664e-07,5.66401889834367e-08
1815,2.8320846801044297e-07,1.888056444521169e-08
1816,1.7150268938337376e-07,2.3176038865813098e-08
1817,1.3077736582545185e-07,2.023935474770866e-08
1818,2.2888661255215936e-07,3.099506074022429e-08
1819,1.3870406800897683e-07,3.001804538271813e-08
1820,1.8511710120350244e-07,1.898636980968149e-08
1821,8.776724769177235e-08,1.676452976440146e-08
1822,1.0426640528748976e-07,3.107940926838637e-08
1823,9.586206450862278e-08,3.6565942052035894e-08
1824,1.4905369027928828e-07,3.621078459303817e-08
1825,1.1270966804310945e-07,2.0252519439267758e-08
1826,9.776862741617265e-08,4.227832517411656e-08
1827,1.6222400611720644e-07,3.410391080649333e-08
1828,1.4033620721054518e-07,1.7427372378531203e-08
1829,1.3717081515096652e-07,2.9148799207678877e-08
1830,1.8786305133744463e-07,2.609208915593797e-08
1831,1.7306238930814288e-07,2.6505050820802012e-08
1832,1.1094574858816486e-07,1.894195755802741e-08
1833,1.4247862734073635e-07,3.70676112027013e-08
1834,1.474855890748472e-07,2.1469422017972306e-08
1835,1.1722786297241328e-07,3.025235173481633e-08
1836,1.9624590608113834e-07,1.612980049525703e-08
1837,9.253994626146067e-08,2.5048407459316024e-08
1838,1.7484688585867048e-07,2.840472790310855e-08
1839,1.3143973565110656e-07,1.887698242164504e-08
1840,1.1720227499623093e-07,1.273937771939515e-08
1841,1.4703056194775854e-07,3.659712710657459e-08
1842,1.1739464067517247e-07,2.884553929050071e-08
1843,1.9729083622355148e-07,2.185557124168014e-08
1844,1.5203314940315238e-07,2.195424597672968e-08
1845,1.9419193170167048e-07,2.3436958263012286e-08
