year,en_PRON as_VERB,en_PRON va_VERB
1800,1.5406406550511065e-07,7.640319950041885e-07
1801,9.762848662830947e-08,8.92943489816389e-07
1802,1.8126505096915935e-07,8.436657026322791e-07
1803,1.5017611931789077e-07,5.421943001238105e-07
1804,2.4224139494322117e-07,8.824507631288725e-07
1805,1.5351540127994667e-07,5.145608383827494e-07
1806,1.7001848107156547e-07,4.1496036828903016e-07
1807,1.9359295322374237e-07,6.064014428375231e-07
1808,1.1556977685955871e-07,9.67613573266135e-07
1809,1.5813213494197953e-07,5.037638288740709e-07
1810,2.0125089550404596e-07,5.405692604654178e-07
1811,1.5293167621166504e-07,8.147999324137345e-07
1812,1.6269970615212515e-07,6.961413419048768e-07
1813,2.3868655318892706e-07,5.780240712738305e-07
1814,8.181360833248164e-08,4.782949076798104e-07
1815,9.710004844620812e-08,4.531335662250058e-07
1816,5.7940098940889584e-08,3.476405936453375e-07
1817,1.1987925252476828e-07,6.165218451315013e-07
1818,2.169654234052132e-07,6.461278303504514e-07
1819,1.221423904240737e-07,6.407299792954291e-07
1820,1.863037475402507e-07,8.1522728123673e-07
1821,2.39634176391057e-07,7.119994620552461e-07
1822,2.035200026284656e-07,7.76985245920514e-07
1823,2.569498480653465e-07,6.611517733290384e-07
1824,2.113699224537413e-07,5.827409950143192e-07
1825,2.3070260191104808e-07,6.313502467492071e-07
1826,1.7880208513787466e-07,5.478566436067922e-07
1827,1.52085004756497e-07,5.511929543899896e-07
1828,1.476740436601176e-07,5.833583713865664e-07
1829,1.6374766365068183e-07,4.57807601605964e-07
1830,2.3378512459260037e-07,5.145359978087072e-07
1831,2.291907339468935e-07,3.8354366438397847e-07
1832,2.814233761583296e-07,5.249627861303452e-07
1833,1.6912096967303114e-07,5.258967235022283e-07
1834,1.9229133307874235e-07,5.796743494101975e-07
1835,2.69245923334438e-07,5.475675379784661e-07
1836,1.9355760594308435e-07,6.801399194955593e-07
1837,2.122156788075813e-07,5.782007406196499e-07
1838,1.590664817641141e-07,5.434771424006613e-07
1839,1.8177835325872138e-07,6.564995373992133e-07
1840,2.0446700421672404e-07,5.790046770925983e-07
1841,1.8619590980151202e-07,5.996792538098816e-07
1842,2.173477930966783e-07,5.977063892714796e-07
1843,1.6952834069883238e-07,4.288417301268055e-07
1844,2.162493082380479e-07,4.560994284474873e-07
1845,2.215350551892925e-07,4.5925276026537176e-07
1846,1.434352769891234e-07,5.573485282184265e-07
1847,1.3644855201278006e-07,4.584240116400906e-07
1848,1.6814513514873397e-07,4.4892337314195174e-07
1849,1.4412593607460167e-07,3.787495472806768e-07
1850,1.4528451774964424e-07,4.351746554220881e-07
1851,1.4253258973084826e-07,4.927371151097759e-07
1852,1.6471680130969446e-07,5.42328450592322e-07
1853,2.0185129034899774e-07,5.147805381966464e-07
1854,1.5742862657930345e-07,7.362256724263716e-07
1855,1.814972492297784e-07,5.535135301215632e-07
1856,1.568688272612917e-07,6.631979658777709e-07
1857,1.9672482176602557e-07,5.813877237414999e-07
1858,2.5838609385431255e-07,6.27858639745682e-07
1859,2.0725145688516022e-07,6.899894628986658e-07
1860,2.737156066245916e-07,5.808446417177038e-07
1861,2.3721298214596231e-07,7.083377795424894e-07
1862,1.911108222785174e-07,7.93810158938868e-07
1863,2.1576762265773652e-07,7.227216087812849e-07
1864,2.378184991158605e-07,6.098894118622411e-07
1865,1.9203925472055516e-07,5.605851356449421e-07
1866,2.549581239463805e-07,6.651292778769857e-07
1867,2.698163257264241e-07,6.954078912713157e-07
1868,2.3415003269633416e-07,6.006886792420119e-07
1869,2.1633989977232204e-07,5.703950591851026e-07
1870,2.3796302217604648e-07,6.01501710661978e-07
1871,1.6781459777348573e-07,6.574508688572678e-07
1872,2.0923793986327155e-07,6.875824851704238e-07
1873,1.6042491601808706e-07,6.123682396719232e-07
1874,1.792382748888599e-07,8.191188953787787e-07
1875,2.0826359081738133e-07,6.562591465808509e-07
1876,1.910540659011417e-07,8.234671895479551e-07
1877,2.4120782704528665e-07,9.598834367352538e-07
1878,2.0291337321509673e-07,9.010320241031877e-07
1879,2.950804169898902e-07,8.571383318667358e-07
1880,1.8419218417164984e-07,8.009471912373556e-07
1881,2.0080821450108033e-07,7.774345931466087e-07
1882,2.4159048450655973e-07,8.452338988718111e-07
1883,2.1548945472460446e-07,1.0155177960768924e-06
1884,2.0201193251523364e-07,7.532536301368964e-07
1885,2.307537609880228e-07,8.385771934626973e-07
1886,1.7359817583439963e-07,8.512118938597268e-07
1887,1.5147105170143504e-07,1.0230825182588887e-06
1888,1.8578001315106007e-07,1.115314148592006e-06
1889,1.5286934296199206e-07,1.0055543953058077e-06
1890,1.3829755651784126e-07,9.189249681185174e-07
1891,1.733787824420574e-07,1.0657695383997634e-06
1892,1.7363779636347942e-07,1.0161259069718653e-06
1893,1.5088120708384167e-07,1.1935011343666702e-06
1894,1.4052432817379668e-07,1.0844948974408908e-06
1895,1.751416878192913e-07,1.245853241016448e-06
1896,1.975504719808896e-07,1.1564073929548613e-06
1897,1.6606133801388978e-07,1.3174199011700694e-06
1898,1.5673643183333752e-07,1.4496705489364103e-06
1899,1.945707559514176e-07,1.542194354442472e-06
1900,2.0712301918024423e-07,1.5355135474237613e-06
1901,1.71574285889875e-07,1.6129100686157472e-06
1902,1.428892630883638e-07,1.5938780961732846e-06
1903,1.711869836995561e-07,1.5018013073131442e-06
1904,2.1498500757388683e-07,1.7682516499917256e-06
1905,1.826908722080134e-07,1.6416374819527846e-06
1906,1.4558042549239758e-07,1.7804022718337364e-06
1907,1.578852941719333e-07,1.8359951354796067e-06
1908,1.610935589368978e-07,2.0117049643886276e-06
1909,2.2939101373964377e-07,1.8103736465491238e-06
1910,2.800335092700834e-07,1.8581612266643788e-06
1911,1.750403106903775e-07,1.7950942492461763e-06
1912,1.380496676972598e-07,1.8915408190878225e-06
1913,1.7765015680737406e-07,2.018848135776352e-06
1914,1.774637103935106e-07,2.1972016384097515e-06
1915,1.531499083107235e-07,2.257193955301773e-06
