year,mon_DET air_NOUN
1800,2.5467732811534916e-07
1801,2.857419119095539e-07
1802,2.6854081625060644e-07
1803,2.1843799924425866e-07
1804,4.4740502147533334e-07
1805,2.3595885600968813e-07
1806,1.786634866718373e-07
1807,1.6512339939822596e-07
1808,1.31432294381284e-07
1809,2.82378817217932e-07
1810,5.101476219238066e-07
1811,3.083704456230407e-07
1812,1.7870294755084615e-07
1813,2.7894694198948855e-07
1814,2.1397405092216104e-07
1815,2.1577787912008262e-07
1816,1.46009039525552e-07
1817,3.6430836658496446e-07
1818,3.4929049164134085e-07
1819,2.3703904972194323e-07
1820,3.453146142362584e-07
1821,3.5304127266044816e-07
1822,2.2156611123591574e-07
1823,3.449057608406747e-07
1824,3.107390718071201e-07
1825,3.4693444384004124e-07
1826,2.0434524117263209e-07
1827,2.1291900154096766e-07
1828,2.825068889933391e-07
1829,2.6062456370823384e-07
1830,2.170861836958693e-07
1831,2.60373150595683e-07
1832,2.814233717174375e-07
1833,2.5947328552433646e-07
1834,2.0162587244243468e-07
1835,2.6243913708867694e-07
1836,3.098265786150023e-07
1837,1.7325148338187546e-07
1838,2.1713836595438352e-07
1839,1.475201329981246e-07
1840,1.6561191085173732e-07
1841,1.373997422504658e-07
1842,1.8514812083481047e-07
1843,1.7366318783018642e-07
1844,1.0812466033627288e-07
1845,1.858215874506186e-07
1846,1.6041333328331575e-07
1847,8.35949656163848e-08
1848,1.0619692769608946e-07
1849,1.0641857173254721e-07
1850,9.911934029105396e-08
1851,6.191460899529488e-08
1852,1.3281512689644615e-07
1853,1.481039095807546e-07
1854,1.4028293637835532e-07
1855,1.9582598653755667e-07
1856,1.4651444857349816e-07
1857,2.030707815237065e-07
1858,1.8987463690223194e-07
1859,1.899380608350043e-07
1860,2.0917730836345072e-07
1861,1.2780261826605965e-07
1862,1.7846046151959172e-07
1863,1.8030581472316953e-07
1864,1.706923171695962e-07
1865,1.925099297750421e-07
1866,1.552130566295773e-07
1867,1.3684928390489404e-07
1868,1.724016076565249e-07
1869,2.0852626825274e-07
1870,1.6342038833272454e-07
1871,1.5188284052669587e-07
1872,2.3161310114261369e-07
1873,1.5803051933716006e-07
1874,1.6728906082619233e-07
