year,son_DET oeuf_NOUN
1800,4.4018303668735825e-08
1801,3.809892135109294e-08
1802,2.2378401354217203e-08
1803,2.1648764914061758e-07
1804,2.2246657849223084e-08
1805,2.2743021688143017e-08
1806,2.0171682990621775e-08
1807,0.0
1808,1.1330369531492579e-08
1809,2.25903047379461e-08
1810,1.4040760554223652e-08
1811,0.0
1812,2.6672082320544632e-09
1813,2.5881675469463516e-08
1814,2.5173417128598885e-08
1815,0.0
1816,1.3905623319487859e-08
1817,2.80237220096069e-08
1818,2.6226590676969863e-08
1819,1.6561680027393777e-08
1820,5.933240565525466e-09
1821,1.97229765852569e-09
1822,5.012807946513931e-09
1823,2.9648061783404955e-09
1824,5.052667617633233e-09
1825,7.044354433105582e-09
1826,2.642395191543301e-09
1827,1.013900075008678e-08
1828,8.255071293206129e-09
1829,3.429270423183084e-09
1830,2.0873671680021744e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,1.1583628500844156e-09
1834,1.0267983796552471e-08
1835,6.806779140333674e-09
1836,2.688300027031687e-09
1837,2.7831563720326358e-09
1838,7.574594285131298e-09
1839,4.894032734625853e-09
1840,2.5478754661634184e-09
1841,7.704658244733764e-09
1842,2.683306021822318e-09
1843,2.953455480181333e-09
1844,2.7442805805577564e-09
1845,1.674068350610014e-08
1846,5.854501328173001e-09
1847,5.9325460100012606e-09
1848,2.413566457803995e-09
1849,1.005529792763582e-08
1850,1.3577992064028876e-09
1851,1.0319102017319892e-08
1852,1.9531636308300904e-09
1853,4.180352064508952e-09
1854,2.5978321716024766e-09
1855,6.8990182455763716e-09
1856,1.5531567143511893e-09
1857,6.345961978126979e-09
1858,1.9574704079872163e-09
1859,3.055304009791371e-09
1860,3.661747127736703e-09
1861,4.2443675241088386e-09
1862,1.8071945051545413e-09
1863,4.994620828036034e-10
1864,2.8768367688059016e-09
1865,2.3534221238463715e-09
1866,9.731225825149181e-10
1867,3.396968040192405e-09
1868,3.457911734727759e-09
1869,3.4184632902167778e-09
1870,4.587239033071455e-09
1871,2.1242354542039266e-09
1872,1.2094678591978436e-09
1873,4.190203295451056e-09
1874,8.364453130127458e-09
1875,1.1443054281912168e-09
1876,5.441413541973361e-09
1877,1.4843558382438005e-08
1878,4.831270938865373e-09
1879,6.720257683667796e-09
1880,3.2089231272180996e-09
1881,2.7890030285249168e-09
1882,7.986462158271479e-09
1883,4.423537092179686e-09
1884,1.9805090900604227e-09
1885,2.5782542767416317e-09
1886,5.162771099520569e-09
1887,2.6115698492645834e-09
1888,3.804368819970705e-09
1889,2.5060546970934183e-09
1890,3.9326319978272295e-09
1891,3.1871101313640793e-09
1892,8.775916882086676e-09
1893,1.847525021858587e-09
1894,8.192000855444803e-09
1895,6.018614495673091e-10
1896,5.307326134129653e-09
1897,3.4960281336537946e-09
1898,3.3950129374460403e-09
1899,6.080336234504102e-09
1900,4.671947717582725e-09
1901,4.470991132876634e-09
1902,7.365425602756659e-09
1903,5.940242076007962e-09
1904,3.2247751136083025e-09
1905,3.6125313851442797e-09
1906,4.115347618238729e-09
1907,2.5714217422034835e-09
