year,en_PRON as_VERB,en_PRON vas_VERB
1800,1.5406406550511065e-07,6.288328968651058e-09
1801,9.762848662830947e-08,4.7623651688866175e-09
1802,1.8126505096915935e-07,6.713520406265161e-09
1803,1.5017611931789077e-07,1.950339223455444e-09
1804,2.4224139494322117e-07,2.9662210465630778e-08
1805,1.5351540127994667e-07,5.685755422035754e-09
1806,1.7001848107156547e-07,1.729001475325731e-08
1807,1.9359295322374237e-07,8.540865792383556e-09
1808,1.1556977685955871e-07,4.5321479902327155e-09
1809,1.5813213494197953e-07,9.036122072814123e-09
1810,2.0125089550404596e-07,1.8721014072298203e-08
1811,1.5293167621166504e-07,2.5070767684098882e-09
1812,1.6269970615212515e-07,5.3344164641089264e-09
1813,2.3868655318892706e-07,0.0
1814,8.181360833248164e-08,3.1466771410748606e-09
1815,9.710004844620812e-08,5.394447111228828e-09
1816,5.7940098940889584e-08,0.0
1817,1.1987925252476828e-07,0.0
1818,2.169654234052132e-07,3.5763532135746345e-09
1819,1.221423904240737e-07,3.1053151161586356e-09
1820,1.863037475402507e-07,2.0173018810965004e-08
1821,2.39634176391057e-07,8.875339574387908e-09
1822,2.035200026284656e-07,2.3058916553964082e-08
1823,2.569498480653465e-07,8.894418535021487e-09
1824,2.113699224537413e-07,4.210556348027694e-09
1825,2.3070260191104808e-07,2.641632912414593e-09
1826,1.7880208513787466e-07,7.927186018719112e-09
1827,1.52085004756497e-07,1.2904182611350734e-08
1828,1.476740436601176e-07,3.668920500743411e-09
1829,1.6374766365068183e-07,4.286588028978855e-09
1830,2.3378512459260037e-07,9.39315247805439e-09
1831,2.291907339468935e-07,6.236482219534878e-09
1832,2.814233761583296e-07,2.1647950987357945e-08
1833,1.6912096967303114e-07,2.3167257001688313e-09
1834,1.9229133307874235e-07,2.8003592777992026e-09
1835,2.69245923334438e-07,9.075705520444899e-09
1836,1.9355760594308435e-07,2.688300027031687e-09
1837,2.122156788075813e-07,1.1828414692161004e-08
1838,1.590664817641141e-07,1.2624323808552163e-08
1839,1.8177835325872138e-07,4.194885327990505e-09
1840,2.0446700421672404e-07,3.1848443882154243e-09
1841,1.8619590980151202e-07,5.778493683550323e-09
1842,2.173477930966783e-07,0.0
1843,1.6952834069883238e-07,7.678984559333912e-09
1844,2.162493082380479e-07,4.390849017710252e-09
1845,2.215350551892925e-07,2.790113973194508e-09
1846,1.434352769891234e-07,5.854501328173001e-09
1847,1.3644855201278006e-07,6.47186837454683e-09
1848,1.6814513514873397e-07,2.413566457803995e-09
1849,1.4412593607460167e-07,5.865590679832167e-09
1850,1.4528451774964424e-07,6.788996032014438e-09
