year,bon_ADJ air_NOUN
1800,7.105811619112501e-07
1801,7.524536727032682e-07
1802,6.713520406265161e-07
1803,7.196751994342776e-07
1804,1.3199684190112748e-06
1805,6.680762680844055e-07
1806,1.550337970002147e-06
1807,5.181458391234628e-07
1808,4.849398576034503e-07
1809,4.6084223637166133e-07
1810,1.0881589105338207e-06
1811,1.2911444855490117e-06
1812,7.841592264412611e-07
1813,9.144858381660015e-07
1814,3.776012533762696e-07
1815,3.3985017466875433e-07
1816,4.102158772667508e-07
1817,8.593941061008081e-07
1818,9.274676244785951e-07
1819,5.527460871235235e-07
1820,8.28280406039994e-07
1821,7.632792176082148e-07
1822,6.977828377330297e-07
1823,7.372484560619341e-07
1824,9.810596566239838e-07
1825,1.3498744237949722e-06
1826,5.460950092128769e-07
1827,5.03263095197326e-07
1828,5.971168093310553e-07
1829,6.198406481416896e-07
1830,4.98880751820252e-07
1831,3.3365179774591525e-07
1832,6.19672618995537e-07
1833,6.278326623032626e-07
1834,4.667265329771908e-07
1835,6.723585102008656e-07
1836,5.322834226717532e-07
1837,4.007745246781269e-07
1838,6.059675570213585e-07
1839,4.1459446720182314e-07
1840,3.59887414425053e-07
1841,4.0898894715368783e-07
1842,4.0786251842561683e-07
1843,5.180360744816426e-07
1844,4.2975435121661576e-07
1845,4.213072202219337e-07
1846,4.589929005760496e-07
1847,3.386944342764764e-07
1848,5.52706711898221e-07
1849,3.988601520177326e-07
1850,3.604956759772904e-07
1851,4.108292444016115e-07
1852,4.6420188937190687e-07
1853,4.7357420385196747e-07
1854,4.769619863509433e-07
1855,5.577591082328581e-07
1856,5.161657554708654e-07
1857,6.756008749109199e-07
1858,6.890296075368063e-07
1859,6.385585606949462e-07
1860,5.373613741477268e-07
1861,6.045865461601352e-07
1862,9.026936283462739e-07
1863,6.822652170446197e-07
1864,6.142046231616405e-07
1865,6.61311617022875e-07
1866,6.164731303215376e-07
1867,5.604996999863943e-07
1868,4.959633770340588e-07
1869,6.04579668106453e-07
1870,4.799398993782233e-07
1871,5.098165161143697e-07
1872,5.249090690995217e-07
1873,5.315571735553526e-07
1874,5.257655857349164e-07
1875,5.292412765811605e-07
1876,5.719529816428093e-07
1877,5.077733866709622e-07
1878,5.525766368918994e-07
1879,5.211254732184756e-07
1880,5.211290954321157e-07
1881,4.887727982350043e-07
1882,6.682006414848729e-07
1883,6.628986284340499e-07
1884,6.654510489312315e-07
1885,6.084679926576797e-07
1886,6.492184638773324e-07
1887,5.347189247495443e-07
1888,5.370500844037451e-07
1889,5.538381060432584e-07
1890,5.590891873907822e-07
1891,5.284228450364026e-07
1892,5.090032213495022e-07
1893,4.4586934683232826e-07
1894,4.864788576419699e-07
1895,5.434809007276442e-07
1896,5.496031008078717e-07
1897,5.284829285301385e-07
1898,4.6964345301603316e-07
1899,5.206978812566376e-07
1900,5.222199430665597e-07
1901,4.549233381112572e-07
1902,4.149189862800995e-07
1903,4.2175719272563583e-07
1904,4.713546424284232e-07
1905,5.423957880612562e-07
1906,4.989858966020222e-07
1907,4.546273615346763e-07
1908,4.842629728329939e-07
1909,5.269942485730539e-07
1910,5.68617625651413e-07
1911,4.7085311116745743e-07
1912,4.553034012033663e-07
1913,4.62951013302515e-07
1914,4.359580145774089e-07
1915,4.0761435027292237e-07
1916,3.4280881777704053e-07
1917,3.267994564959409e-07
1918,4.2729320171019936e-07
1919,3.5818530363940226e-07
1920,3.248487536744449e-07
1921,4.392193623248275e-07
1922,4.4710289459626296e-07
1923,3.927900671385487e-07
1924,5.517615128125541e-07
1925,5.169143717509428e-07
1926,4.659085839353594e-07
1927,5.507716966945964e-07
1928,4.204783090600017e-07
1929,4.879498218812728e-07
1930,5.997557543935272e-07
1931,4.162955065112328e-07
1932,3.2878608902109363e-07
1933,3.37237480607655e-07
1934,3.5705107848116313e-07
1935,3.7580413447813044e-07
1936,3.479793200256154e-07
1937,3.072232760414906e-07
1938,3.3968860557731517e-07
1939,2.47763613181462e-07
1940,3.8797479717800343e-07
1941,3.571318112349786e-07
1942,4.187212141459895e-07
1943,4.2677558598214205e-07
1944,2.923999531390109e-07
1945,3.115260907016193e-07
1946,2.8399053331185087e-07
1947,3.4093689782466186e-07
1948,2.946281700832998e-07
1949,3.0040044407542155e-07
1950,2.6907463457348513e-07
1951,3.9340572222101855e-07
1952,2.7311043382383104e-07
1953,3.0597669464782484e-07
1954,2.716765017396483e-07
1955,2.9095385656319195e-07
1956,2.790765449844912e-07
1957,2.6770162886435855e-07
1958,2.8704683519009677e-07
1959,2.8677767272000665e-07
1960,2.809858248298269e-07
1961,2.584715232956114e-07
1962,3.760780060702018e-07
1963,2.9097239018227583e-07
1964,3.6686330062707384e-07
1965,3.080760482276901e-07
1966,3.1351162421699996e-07
1967,3.377279904626107e-07
1968,4.019817314571128e-07
1969,2.6660118646049114e-07
1970,2.915591563734665e-07
1971,3.386204046051944e-07
1972,3.22173221434241e-07
1973,2.2879795125163582e-07
1974,2.0645847786937566e-07
1975,2.0104410403121165e-07
1976,2.38825421661204e-07
1977,2.456494900826556e-07
1978,2.8039592514517153e-07
1979,2.797243214835987e-07
1980,2.8084645009585074e-07
1981,2.2139423783151813e-07
1982,1.9988156663153234e-07
1983,2.197729918052005e-07
1984,2.232618205866288e-07
1985,2.5806744741174725e-07
1986,3.08116558933591e-07
1987,2.3098887336203688e-07
1988,2.4585871427618144e-07
1989,2.826382949905337e-07
1990,2.4137524157197277e-07
1991,1.9753138352784916e-07
1992,2.617223617829012e-07
1993,2.647741137451476e-07
1994,2.6005389397454337e-07
1995,2.559396752310761e-07
1996,2.2526748821860565e-07
1997,2.368677849418077e-07
1998,2.4079052174386106e-07
1999,2.39935563861593e-07
2000,2.6287286791770725e-07
2001,2.624345856183652e-07
2002,3.557551786492752e-07
2003,2.583492304530921e-07
2004,2.7618041364974033e-07
2005,3.3327746251643475e-07
2006,2.936055469859866e-07
2007,2.915970096495357e-07
2008,3.065356475318026e-07
2009,3.0373386561421967e-07
2010,3.6751109355748213e-07
2011,4.0763541298005634e-07
2012,4.966804678652181e-07
2013,4.501647805632558e-07
2014,5.203564659161941e-07
2015,5.492674048923618e-07
2016,6.303088038173144e-07
2017,4.2513830589285817e-07
2018,5.160352083422026e-07
2019,5.089220516119042e-07
