year,un_DET if_NOUN,un_DET vif_ADJ
1800,0.0,1.8770661682765422e-06
1801,9.52473055981784e-09,2.126395969526129e-06
1802,8.951360541686881e-09,1.4993528338891338e-06
1803,3.900678446910888e-09,1.790411365831801e-06
1804,9.887403562558461e-09,2.106017111813685e-06
1805,1.7057265822018053e-08,2.05540069764254e-06
1806,0.0,2.2361753408972618e-06
1807,4.27043254092041e-08,2.1722267611323787e-06
1808,2.945896149242344e-08,2.068925617493278e-06
1809,2.9367397402779716e-08,2.11219364487647e-06
1810,2.574139390532082e-08,2.892396565812305e-06
1811,1.504246105454854e-08,2.6675297526423947e-06
1812,3.7340913472405646e-08,2.376482505894728e-06
1813,2.8757416004054903e-08,2.6456822652676237e-06
1814,9.440030979135372e-09,2.813129363232747e-06
1815,2.157778822287071e-08,2.799717947254976e-06
1816,1.622322720606917e-08,3.281727119386346e-06
1817,5.1376822796100896e-08,2.8646470795479217e-06
1818,3.337929510571769e-08,2.538018776476747e-06
1819,2.8982940158961412e-08,2.745098562684234e-06
1820,2.254631326081835e-08,3.125631081957181e-06
1821,1.0847637232913598e-08,3.32628002297497e-06
1822,2.2056354964661296e-08,3.3796351033288374e-06
1823,2.7671523072925197e-08,3.791987030155042e-06
1824,3.3684449896043134e-08,3.8855012292060565e-06
1825,2.8177417954466932e-08,4.044340045084027e-06
1826,1.4973572604048968e-08,3.7662939966764952e-06
1827,3.3182183667435083e-08,3.7975164914882953e-06
1828,2.3847982477676055e-08,3.878048943306567e-06
1829,4.458051638955851e-08,4.3414564174781844e-06
1830,1.0436835617966267e-08,4.600557161893448e-06
1831,2.494592976631793e-08,4.5198905667120926e-06
1832,3.923691083151937e-08,5.100798674106954e-06
1833,3.1275796175123105e-08,5.5091737038992505e-06
1834,8.401078055442213e-09,4.592589263552327e-06
1835,3.479020449503878e-08,4.331380623057157e-06
1836,1.8818100411266414e-08,4.195764116587952e-06
1837,5.3575760494695146e-08,4.034184946988262e-06
1838,2.2723783299483102e-08,4.190644354196138e-06
1839,7.690622805256453e-09,4.536768216212295e-06
1840,1.5287252852491662e-08,4.893195026056674e-06
1841,1.6693427085101575e-08,4.681221852820272e-06
1842,2.2137275568212544e-08,5.187501223247182e-06
1843,1.7130041496393744e-08,5.223481586824619e-06
1844,2.4698525891153622e-08,5.496794074133504e-06
1845,3.403938875212731e-08,5.042293906853956e-06
