year,un_DET air_NOUN,un_DET vert_ADJ
1800,3.1539114957013226e-05,5.848145860909426e-07
1801,2.9183774074681423e-05,2.881230898310605e-07
1802,2.820126178448845e-05,5.975033445793088e-07
1803,3.28456627585183e-05,2.9645156018887064e-07
1804,3.575037993641672e-05,1.3842365831351344e-07
1805,3.487073780661376e-05,3.098736840456695e-07
1806,3.055722015687934e-05,2.535868759423465e-07
1807,2.429306718454427e-05,1.4804166426074516e-07
1808,2.6828049868754533e-05,1.540930298915555e-07
1809,2.871905564916233e-05,1.8298146642337088e-07
1810,4.341403035823532e-05,1.0998595456612748e-07
1811,3.0200246897038596e-05,2.2312983105621242e-07
1812,2.5333143298666982e-05,1.893717893608482e-07
1813,3.3326970822145086e-05,1.6391727797326894e-07
1814,2.6513900877489505e-05,8.181360300341112e-08
1815,2.3487422566859095e-05,8.631115377966125e-08
1816,2.6483259148335492e-05,2.8738287483065506e-07
1817,2.63189456291002e-05,9.107709502131911e-07
1818,2.873718946716508e-05,1.5020683008515334e-07
1819,2.4065156139840838e-05,2.98110251151229e-07
1820,2.803930794925691e-05,1.0561168295453172e-07
1821,3.1554789529764093e-05,1.577838162347689e-07
1822,2.90572434380465e-05,3.097915168837062e-07
1823,2.759740365831931e-05,1.5466405329789268e-06
1824,2.4607332676396254e-05,7.242157096243318e-08
1825,2.7951998561093205e-05,1.3093693951304886e-06
1826,2.211420704156808e-05,4.870815359936387e-07
1827,1.9799625064820248e-05,1.8618891317601083e-07
1828,2.5229331214404738e-05,1.2474329480482993e-07
1829,2.8438082637194384e-05,3.6864656749457936e-07
1830,2.8202417325928764e-05,2.515277515158232e-07
1831,2.4743244182445778e-05,4.864456286668428e-07
1832,2.7678257595198374e-05,2.0700852587651752e-07
1833,2.8152851399454448e-05,2.1661385574134329e-07
1834,2.4972671269551938e-05,1.1761508744712046e-07
1835,3.5641052249957283e-05,9.378229037793062e-08
1836,2.651873523973336e-05,7.728862527756064e-08
1837,2.4754087718292794e-05,1.5724833701824537e-07
1838,2.219482431087272e-05,9.657608046609312e-08
1839,2.432054471057654e-05,6.85164565084051e-08
1840,2.5315690649563294e-05,4.0766007458614695e-08
1841,2.1713653779897868e-05,5.778493772368165e-08
1842,2.5270704668400867e-05,4.561620414733625e-08
1843,2.5331198287403822e-05,3.1306630177141415e-08
1844,2.3661187839252307e-05,3.3480223038395707e-08
1845,2.451003473424862e-05,1.400637188453402e-07
1846,2.186480668342483e-05,3.102885770545072e-08
1847,1.578380854994066e-05,8.143767615820252e-08
1848,1.847504712770842e-05,2.3492047773743252e-07
1849,1.6754639375449187e-05,8.714591359648693e-08
1850,1.928482288349187e-05,3.530277936647508e-08
1851,1.788106975197934e-05,9.932135469625791e-08
1852,1.9730208109081104e-05,1.386746220077839e-07
1853,2.2908330208792904e-05,1.0749477041827049e-07
1854,2.0007464314630852e-05,7.06610379097583e-08
1855,2.352989844212061e-05,5.890700194299825e-08
1856,2.1180916718321896e-05,3.986435714864456e-08
1857,2.4517379443977916e-05,8.200935042168567e-08
1858,2.46998507122953e-05,3.0830157982109085e-08
1859,2.4695004597674597e-05,2.64793023063703e-08
1860,2.4408291039890173e-05,4.668727626722102e-08
1861,2.2439498692961024e-05,6.885306902404409e-08
1862,2.0613763794585793e-05,9.939569878270049e-08
1863,2.1721606714208974e-05,6.99246882618354e-08
1864,2.1351882665499033e-05,5.7057263802562375e-08
1865,2.2113225568887174e-05,7.76629320853317e-08
1866,2.1114326898441504e-05,7.055138695477581e-08
