year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP ville_NOUN
1800,3.144164395507687e-08,1.2576657937302116e-08,2.4555924316160826e-06
1801,1.0715321963061797e-07,3.095537381980762e-08,1.9573321559107626e-06
1802,6.937304419807333e-08,2.2378401354217203e-08,1.8797857421759545e-06
1803,3.705644502360883e-08,1.1702035340732664e-08,1.8118651254894758e-06
1804,1.557266102736321e-07,4.943701892301533e-09,2.340842861769943e-06
1805,6.254330742194725e-08,1.9900143755080535e-08,3.058936519195754e-06
1806,5.187004603612877e-08,5.76333825108577e-09,3.7404065267310216e-06
1807,6.832692633906845e-08,5.693910232196231e-09,2.7131482518427674e-06
1808,7.47804418388398e-08,2.2660739951163578e-08,2.207156102329577e-06
1809,7.454800710071652e-08,6.7770917766551975e-09,2.2816208300469043e-06
1810,8.424456154898508e-08,4.680253518074551e-08,2.995362343938268e-06
1811,6.267691787797958e-08,1.0028307073639553e-08,2.5020625429306165e-06
1812,9.868670503010435e-08,8.00162469616339e-09,2.7365556718450534e-06
1813,9.777521370324394e-08,2.5881675469463516e-08,2.6801911250373678e-06
1814,9.125363931161701e-08,2.5173416684509675e-08,2.882356199052083e-06
1815,6.74305908887618e-08,5.394447111228828e-09,2.570454067374328e-06
1816,6.025770460382773e-08,6.952811659743929e-09,1.9027527784487575e-06
1817,9.49692804397273e-08,1.0898113522728181e-08,2.6902772880532666e-06
1818,1.1801965627000754e-07,7.152706427149269e-09,2.9135357753062863e-06
1819,4.5544620519422097e-08,7.24573512300708e-09,3.0307874752111275e-06
1820,1.2222476186707354e-07,3.5599443393152796e-09,2.612999168150054e-06
1821,3.550135829755163e-08,1.0847637010868993e-08,2.6833109636470454e-06
1822,5.714601059025881e-08,7.017931125119503e-09,3.580147350135121e-06
1823,7.313188632451784e-08,6.917880934764753e-09,3.000383641538207e-06
1824,4.6316120716483056e-08,1.0947446504872005e-08,3.4509719224473656e-06
1825,9.862096272961196e-08,1.4969253392393966e-08,3.2043007642812427e-06
1826,1.3476216054186807e-07,8.807984452907647e-09,2.911919705361754e-06
1827,4.2399456390285195e-08,8.295545805836468e-09,2.860119773018255e-06
1828,9.630916508740484e-08,8.255071293206129e-09,2.477438603598614e-06
1829,1.0287811136322489e-07,1.971830476676928e-08,2.972320094940528e-06
1830,6.575206867864836e-08,8.349468672008697e-09,3.4264132082739707e-06
1831,5.456922025359745e-08,1.2472964883158966e-08,3.1338325108265508e-06
1832,6.22378593106987e-08,3.382492252956837e-08,3.888513411709482e-06
1833,1.3321172898095313e-07,3.590924801954998e-08,3.610617071103661e-06
1834,8.027696907220161e-08,2.5203233278148218e-08,3.395902457015154e-06
1835,7.638718813041123e-08,1.5882484660778573e-08,3.6265006784219622e-06
1836,1.0148332307835517e-07,4.099657502365517e-08,3.2010932429216155e-06
1837,7.305785487687899e-08,9.74104708006962e-09,3.590967505573417e-06
1838,5.996553653631054e-08,2.0830134062066463e-08,3.37385042570304e-06
1839,9.088918062616358e-08,1.1186360615589308e-08,3.3622003456912353e-06
1840,8.853866972913238e-08,3.949207094677831e-08,3.840285295098056e-06
1841,7.76886395215115e-08,3.4028906803484915e-08,3.5043354387198633e-06
1842,5.903273203600179e-08,2.2808100297311285e-08,4.261090186474803e-06
1843,5.9069112268161916e-08,1.594865972620596e-08,3.5488720691034814e-06
1844,6.53138769735051e-08,1.2074834687680891e-08,3.6175107140934415e-06
1845,9.095771247302764e-08,2.4553003186156275e-08,4.923993323302511e-06
1846,6.732676638421253e-08,1.8148954339380907e-08,3.706484733356774e-06
1847,4.7460368080010085e-08,1.0247124926365814e-08,3.6113025281281352e-06
1848,7.803865287314693e-08,1.769948720919956e-08,4.733808417256569e-06
1849,7.29009101974043e-08,1.7596771817451895e-08,4.5391292502472425e-06
1850,7.128446100068686e-08,2.104588769924476e-08,3.6164981125352824e-06
1851,4.9660677348128957e-08,2.063820336850597e-08,3.569119396473752e-06
1852,6.901178140061859e-08,1.8229527221080843e-08,3.6406971162250557e-06
1853,9.614809926006274e-08,2.269334142823709e-08,4.217378190674026e-06
1854,7.58567040293201e-08,8.884585955826196e-08,3.8021872086346775e-06
1855,5.306937111981824e-08,1.1675261646360013e-08,4.491791454341865e-06
1856,4.814786080942213e-08,9.836659264905734e-09,3.9082601119844185e-06
1857,5.9554409403972386e-08,9.763018393726952e-09,4.189310935487356e-06
1858,6.753272691062406e-08,1.3702293077955119e-08,4.238902263864475e-06
1859,6.568903621051447e-08,1.018434669930457e-08,4.563605738638898e-06
1860,5.6757080812985805e-08,2.1055046151019496e-08,4.572148981196733e-06
1861,5.800635555219813e-08,1.650587311274876e-08,4.6065531691397155e-06
1862,6.957699127951855e-08,1.3102160689726361e-08,3.919804942853489e-06
1863,9.589672345100553e-08,2.497310469529168e-08,3.866336054869635e-06
1864,7.959248193856183e-08,2.2535221688713136e-08,4.234703638417159e-06
1865,5.836486849375433e-08,4.142023080078161e-08,4.452674907895471e-06
1866,6.957826315101556e-08,2.9680238100571188e-08,4.209728267312585e-06
