year,ton_DET vif_ADJ
1800,3.144164484325529e-09
1801,0.0
1802,3.3567602031325805e-08
1803,7.801356893821776e-09
1804,1.9774807569206132e-08
1805,3.1271653710973624e-08
1806,8.645007376628655e-09
1807,0.0
1808,6.798221985349073e-09
1809,1.8072244145628247e-08
1810,9.360507036149102e-09
1811,5.0141535368197765e-09
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,0.0
1817,1.0898113522728181e-08
1818,1.0729059418679299e-08
1819,3.1053151161586356e-09
1820,1.1866481131050932e-09
1821,9.861488514673056e-09
1822,8.02049271442229e-09
1823,3.9530747564242574e-09
1824,4.210556348027694e-09
1825,6.163809906922779e-09
1826,4.403992281964975e-09
1827,3.6869092223668076e-09
1828,1.1923991571904935e-08
1829,3.429270423183084e-09
1830,1.3567886369969528e-08
1831,0.0
1832,2.705993873419743e-09
1833,2.548398347901326e-08
1834,4.667265462998671e-09
1835,5.294161553592858e-09
1836,1.949017514046858e-08
1837,2.5048407792382932e-08
1838,1.5149188570262595e-08
1839,1.0487212875887053e-08
1840,1.3376346252869098e-08
1841,1.0914932513372833e-08
1842,1.0062398025922903e-08
1843,2.953455480181333e-09
1844,4.9397050894128824e-09
1845,1.0044410470033682e-08
1846,9.952652479938706e-09
1847,6.47186837454683e-09
1848,8.045221711050488e-10
1849,2.4300303991253713e-08
1850,6.788996032014438e-09
1851,8.384270167027807e-09
1852,3.2552727180501506e-09
1853,1.1346670270029335e-08
1854,1.1430461910322265e-08
1855,1.6451505047143655e-08
1856,1.1907535402144731e-08
1857,1.757343343067319e-08
1858,5.8724113904951025e-09
1859,2.953460587207246e-08
1860,1.0985241161165504e-08
1861,5.659156365744877e-09
1862,1.355395884417021e-08
1863,5.494082966350788e-09
1864,1.4384183621984903e-08
1865,2.871175119878444e-08
1866,7.784980660119345e-09
1867,9.7056229719783e-09
1868,1.2349684830326169e-08
1869,8.30198221279943e-09
1870,1.0321287824410774e-08
1871,1.3807530230280918e-08
1872,9.071008832961525e-09
1873,7.781805755335824e-09
1874,1.3741600746186577e-08
1875,1.1443054503956773e-08
1876,8.464420719889176e-09
1877,3.0924081073635534e-09
1878,1.9928991790152395e-08
1879,2.1382637882538802e-08
1880,5.134277225593564e-09
1881,7.669758161910067e-09
1882,5.989846840748214e-09
1883,1.64302811356265e-08
1884,1.0562715146988921e-08
1885,5.156508553483263e-09
1886,1.4197620856748472e-08
1887,1.697520346510828e-08
1888,1.014498351992188e-08
1889,2.5060546970934183e-09
1890,1.3764211992395303e-08
1891,3.824531802365527e-09
1892,5.014809900671935e-09
1893,7.390099754367441e-09
1894,1.1972924207626079e-08
1895,2.2870735305602352e-08
1896,1.47425724961181e-08
1897,1.2236098356765979e-08
1898,1.0185038923360423e-08
1899,6.633094074004475e-09
1900,1.7130474816440255e-08
1901,6.706486588292648e-09
1902,7.856454153909453e-09
1903,2.7001101354784396e-09
1904,2.1498500757388683e-09
1905,8.77329037196617e-09
1906,1.5432553013283723e-09
1907,6.1714118260169926e-09
1908,5.40252820258047e-09
1909,9.351672325408344e-09
1910,7.481810726517324e-09
1911,1.7025198029152477e-08
1912,1.0939784189645252e-08
1913,1.007568034561146e-08
1914,2.2768928353844586e-08
1915,9.424609537234119e-09
1916,1.0987462051303964e-09
1917,6.57985488317081e-09
1918,1.8378201183111287e-08
1919,2.025726608678724e-08
1920,1.4387239843927091e-08
1921,2.574734203619755e-08
