year,son_DET air_NOUN,son_DET vert_NOUN
1800,3.744699938579288e-06,4.4018302336468196e-08
1801,3.2907943818827334e-06,9.524730337773235e-09
1802,3.01660844570506e-06,8.280008501060365e-08
1803,3.2161094338789553e-06,6.826187393116356e-08
1804,5.203246075780044e-06,1.2853624564712618e-07
1805,4.591247318330716e-06,1.02343598484822e-07
1806,3.316801098662836e-06,9.509507936655837e-08
1807,2.9067411730920867e-06,8.825561259584447e-08
1808,3.6189201750858047e-06,5.6651849433819734e-08
1809,3.3411062361210497e-06,3.840351947559384e-08
1810,4.701314708199789e-06,8.892481906386251e-08
1811,3.123817577943555e-06,6.267691565753353e-08
1812,3.5740591215471795e-06,7.468183138570339e-08
1813,3.830487941058891e-06,6.039057365292422e-08
1814,2.712435588136941e-06,9.440030979135372e-09
1815,2.5192067028001475e-06,4.045835311217161e-08
1816,2.336144632408832e-06,2.7811246638975717e-08
1817,3.154225424850665e-06,2.80237220096069e-08
1818,3.2509049674445123e-06,7.39112990810753e-08
1819,3.006980080044741e-06,1.6561680249438382e-08
1820,2.8004895398225926e-06,4.509262918617196e-08
1821,3.0501582557462825e-06,1.9722975808100784e-08
1822,3.708475276198442e-06,3.308453244699194e-08
1823,3.294887733318319e-06,4.4472092342040526e-08
1824,3.3566554122899106e-06,5.894778976056614e-08
1825,3.051086025607219e-06,4.3146670680727084e-08
1826,2.971813813701374e-06,4.1397527628106445e-08
1827,2.367917545598175e-06,2.3964909834361947e-08
1828,2.8690957378785242e-06,3.485474542319622e-08
1829,3.1334958237039245e-06,2.914879937421233e-08
1830,3.266729635242882e-06,5.635891398014792e-08
1831,2.6598597173688177e-06,2.0268567268999504e-08
1832,3.1470708279357495e-06,6.900284266198042e-08
1833,2.992051236105908e-06,4.633451422542123e-08
1834,2.660341408500244e-06,5.6007186666207076e-08
1835,3.758854660418365e-06,4.9916380362446944e-08
1836,3.0209770613964793e-06,7.661654749524516e-08
1837,2.594597589222758e-06,4.87052354003481e-08
1838,2.1821143860734082e-06,5.049729390194102e-08
1839,2.5903414666572644e-06,5.17369161956438e-08
1840,2.4211187366063314e-06,4.5224790301556794e-08
1841,2.19454339855929e-06,3.788123548176259e-08
1842,2.563898988228175e-06,2.3478927246856074e-08
1843,2.5187068644072497e-06,3.307870249935618e-08
1844,2.2870834754940006e-06,3.238251156112426e-08
1845,2.1913555343644475e-06,5.078007420111774e-08
1846,2.2832555970353496e-06,3.102885814953993e-08
1847,1.7231349573876287e-06,4.314578916364553e-08
1848,1.861664259195095e-06,3.218088551193432e-08
1849,1.814981274605998e-06,5.362825561405771e-08
1850,2.033983264482231e-06,4.5486274302675156e-08
1851,1.946440590927523e-06,3.611685706061962e-08
1852,2.186241260915267e-06,5.013120119023995e-08
1853,2.1325768670976686e-06,6.151089815276123e-08
1854,1.806012946303781e-06,3.792835168159314e-08
1855,2.283574971784219e-06,5.678422709820552e-08
1856,2.1438741697465957e-06,3.882891785877973e-08
1857,2.5906168019673714e-06,4.930324282170773e-08
1858,2.563307546665783e-06,4.061751185391316e-08
1859,2.6056650312966667e-06,4.6338779036148026e-08
1860,2.5115007389331367e-06,7.918528088790566e-08
1861,2.4782389971278462e-06,6.649508943468163e-08
1862,2.169085220771194e-06,5.466763411399178e-08
1863,2.2745503827081848e-06,4.6449972423978636e-08
1864,2.256878445905386e-06,5.5139370624956996e-08
