year,rien_PRON eu_VERB,rien_PRON vu_VERB
1800,5.282196298139752e-07,2.3078166577761294e-06
1801,6.667311254204833e-07,2.7669341307046125e-06
1802,4.050490645113314e-07,1.7902721083373763e-06
1803,5.012371957491268e-07,2.1453731733345194e-06
1804,7.118930511751387e-07,2.8376848604239058e-06
1805,5.970043162051297e-07,2.0866723389190156e-06
1806,6.166771981952479e-07,2.316862037332612e-06
1807,4.185023954050848e-07,1.9131539374939166e-06
1808,4.826737836083339e-07,2.005475380428834e-06
1809,5.218360570324876e-07,1.771079951140564e-06
1810,8.471258752251742e-07,2.34246681429795e-06
1811,4.83865790101845e-07,1.8652650624062517e-06
1812,6.507988246085006e-07,2.237787612102693e-06
1813,5.5501811857539e-07,2.470261961207143e-06
1814,5.726952281293052e-07,1.8250727862323401e-06
1815,6.9048923023729e-07,1.5401146811200306e-06
1816,8.111613851724542e-07,1.8842119970940985e-06
1817,9.450221796214464e-07,2.5003387236210983e-06
1818,7.808371265127789e-07,2.600008883746341e-06
1819,6.158874725770147e-07,2.1550886231125332e-06
1820,6.823226499363955e-07,2.1691928395739524e-06
1821,7.060825737426057e-07,2.4190230760723352e-06
1822,8.140800105138624e-07,2.0351999410195276e-06
1823,7.827088097656087e-07,2.1771559204353252e-06
1824,7.663212500119698e-07,2.144857489838614e-06
1825,6.61288765968493e-07,2.7446565127320355e-06
1826,7.019963277343777e-07,2.0231939288350986e-06
1827,5.7607957160144e-07,1.7586556850801571e-06
1828,7.741422223261907e-07,1.918845327963936e-06
1829,7.733004849796998e-07,2.106429292325629e-06
1830,7.023990633570065e-07,2.0310083073127316e-06
1831,6.64185392906802e-07,2.2544884359376738e-06
1832,6.480855176960176e-07,2.2852118490845896e-06
1833,7.10076449195185e-07,2.426770151942037e-06
1834,6.347481189550308e-07,2.1198720787651837e-06
1835,6.39080951714277e-07,2.563886710049701e-06
1836,7.661654990442912e-07,2.2460747004515724e-06
1837,6.749154408680624e-07,1.913419964694185e-06
1838,7.145367248995171e-07,1.923946911119856e-06
1839,7.536810358033108e-07,2.009350055232062e-06
1840,7.299663025150949e-07,1.9427550341788447e-06
1841,6.099521101532446e-07,2.168861328755156e-06
1842,5.977063892714796e-07,2.075537167911534e-06
1843,6.137280479379115e-07,2.0219356429151958e-06
1844,6.668602168247162e-07,1.9056284372709342e-06
1845,6.249855459827813e-07,1.9480576156638563e-06
1846,7.886013122515578e-07,2.182558091590181e-06
1847,5.312325015438546e-07,1.5661921679566149e-06
1848,7.667096042496269e-07,1.6524885495527997e-06
1849,7.298470450223249e-07,1.6314720596710686e-06
1850,7.508629664698674e-07,1.764460080266872e-06
1851,6.05602281211759e-07,1.6684698493918404e-06
1852,7.044409926493245e-07,1.7864936125988606e-06
1853,6.60495686588547e-07,1.8584652252684464e-06
1854,7.43499583677476e-07,1.926032837218372e-06
1855,7.371335755124164e-07,2.1333887616492575e-06
1856,8.909942721402331e-07,1.9222902665205766e-06
1857,7.722547366029175e-07,2.244029701614636e-06
1858,6.342203846543271e-07,2.232495035059401e-06
1859,7.847039000807854e-07,2.1967634893371724e-06
1860,7.154138188525394e-07,2.2634174001723295e-06
1861,7.21070875897567e-07,2.1702865069528343e-06
1862,9.04049045402644e-07,2.24950531446666e-06
1863,8.385968612856232e-07,2.161172460546368e-06
1864,7.930480023787823e-07,2.0890629457426257e-06
1865,8.477026653963549e-07,2.3256518488778966e-06
1866,7.648743576282868e-07,2.041124616880552e-06
1867,7.706264568696497e-07,2.0347838471934665e-06
1868,7.558007268926303e-07,2.088084784190869e-06
1869,7.916184472378518e-07,2.044729399131029e-06
1870,6.617092367378063e-07,1.8549648075349978e-06
1871,8.018988637559232e-07,2.0679431145254057e-06
