year,en_ADP airs_NOUN,en_ADP verres_NOUN
1800,0.0,1.9808235984797307e-07
1801,2.3811825844433088e-09,1.8335106233280385e-07
1802,0.0,1.1189200677108602e-07
1803,7.801356671777171e-09,1.2677204841438083e-07
1804,2.4718509905596875e-08,6.673997887673977e-08
1805,3.1271653710973624e-08,7.675770063997334e-08
1806,4.3225035994964855e-08,8.35684019762084e-08
1807,1.4234775136401367e-08,5.97860605466849e-08
1808,2.2660739951163578e-09,4.985362878073829e-08
1809,2.259030518203531e-09,6.777091510201672e-08
1810,9.360507036149102e-09,1.6146874770583963e-07
1811,1.2535384286138651e-08,6.769107585569145e-08
1812,2.9339290108509886e-08,3.467370746079723e-08
1813,4.3136125782439194e-08,1.8404746526812232e-07
1814,0.0,1.4789382873914292e-07
1815,3.506390555685357e-08,1.8880564311984926e-07
1816,1.228330006597389e-07,2.016315363562171e-07
1817,6.227493631882908e-09,9.963989811012652e-08
1818,5.960588467246453e-09,5.841376804482934e-08
1819,0.0,5.900098543065724e-08
1820,2.0173018810965004e-08,3.322614716694261e-08
1821,1.676452932031225e-08,7.494731057988702e-08
1822,1.0025615893027862e-09,8.421517350143404e-08
1823,1.2847492847356534e-08,6.81905376609393e-08
1824,1.7684335773537896e-08,7.494790565942822e-08
1825,4.4027217427355936e-09,9.862096161938894e-08
1826,7.0463874735082754e-09,6.958307352533666e-08
1827,5.530363722527909e-09,7.097300586123012e-08
1828,1.0089530988466322e-08,5.319934714975716e-08
1829,1.7146351893870815e-08,9.687688679038686e-08
1830,1.982998831806526e-08,1.502904425354501e-07
1831,0.0,7.327867024287116e-08
1832,2.976593194148336e-08,8.38858085216998e-08
1833,2.085053074640797e-08,9.266902623039641e-08
1834,1.8669061851994684e-09,1.820233497262791e-07
1835,6.050470346963266e-09,7.941242330389287e-08
1836,1.1425274948351216e-08,8.26652244434456e-08
1837,2.5048407792382932e-08,1.2524203718555782e-07
1838,2.1461350030449466e-08,8.332053624826585e-08
1839,5.2436064379435265e-08,1.1885507977815735e-07
1840,7.0066574764382494e-09,9.427139102680115e-08
1841,1.733548060656176e-08,1.425361801921099e-07
1842,6.708265054555795e-09,1.2611538746654105e-07
1843,1.3585895075607368e-08,1.1636614899446229e-07
1844,1.0977122322231025e-08,5.43367555394525e-08
1845,5.580227835366713e-09,1.6796485757808455e-07
1846,9.952652035849496e-09,1.0362467706137579e-07
1847,9.168480197274675e-09,9.492073616002017e-08
1848,2.735375304041554e-08,9.654266164282888e-08
1849,6.703531951757213e-09,7.709061833338637e-08
1850,2.0366988096043315e-09,1.602203001382918e-07
