year,son_DET an_NOUN,son_DET vent_NOUN
1800,1.1947824818392405e-07,7.231578180721954e-08
1801,1.5715804924099075e-07,5.476719877606229e-08
1802,1.1860552717735118e-07,9.84649659585557e-08
1803,1.4042442475492578e-07,5.070882025393075e-08
1804,9.887403673580764e-08,2.7190360185613827e-08
1805,1.7910129024301114e-07,1.1371510844071508e-08
1806,1.0950343032334331e-07,2.0171682990621775e-08
1807,2.021338083579849e-07,2.8469550272802735e-08
1808,1.4049658636494655e-07,4.078933102391602e-08
1809,9.713831272684104e-08,4.0662548883574345e-08
1810,9.828532210320873e-08,1.4040760554223652e-08
1811,1.3036799018095735e-07,6.518399464638946e-08
1812,1.0668832839400011e-07,1.8670457180292033e-08
1813,8.914798788062228e-08,4.601186631703058e-08
1814,1.2272040805783035e-07,6.922689976818219e-08
1815,1.7262230644909948e-07,5.1247247334629265e-08
1816,1.3442102897442965e-07,9.270415546325239e-09
1817,1.1053801518556838e-07,2.1796227045456362e-08
1818,1.7762553694566918e-07,2.2650237241350624e-08
1819,1.7079232339511918e-07,3.2088255608186955e-08
1820,1.0798497562802822e-07,5.577246042776096e-08
1821,1.400331290923873e-07,1.873682797803866e-08
1822,1.1128433641260926e-07,2.5064039732569654e-08
1823,1.462637607696493e-07,7.313188632451784e-08
1824,1.3221146666353434e-07,4.968456490672679e-08
1825,1.5673689013340208e-07,5.019102355952043e-08
1826,1.1538459276927426e-07,5.989429296970883e-08
1827,1.4747636600809244e-07,4.33211836958769e-08
1828,1.2199160820403065e-07,1.3758452155343548e-08
1829,8.74463982336593e-08,1.45743989654612e-08
1830,6.053364831615227e-08,1.5655254204105518e-08
1831,7.639690879912564e-08,3.585977381703742e-08
1832,7.71208219507713e-08,3.6530916958099624e-08
1833,1.1583628245492861e-07,2.7800708068959068e-08
1834,1.0641365477681575e-07,4.7606106390318814e-08
1835,1.550433026409337e-07,5.52105419160398e-08
1836,8.468145001883087e-08,4.6373174800162786e-08
1837,9.393152344827627e-08,5.983786210972397e-08
1838,1.1677499323070606e-07,6.122797202579022e-08
1839,1.1326189996996305e-07,6.222412829437474e-08
1840,9.427138925044432e-08,3.439632006996263e-08
1841,6.741575964142044e-08,4.36597287212237e-08
1842,7.714504635103481e-08,3.890793776051282e-08
1843,7.560846043697111e-08,2.8943864305297495e-08
1844,8.232841669508772e-08,1.4819115767839008e-08
1845,7.812318997268974e-08,2.8459163081695493e-08
1846,6.557041376531458e-08,3.863971032025404e-08
1847,7.065122886729114e-08,4.961765753819236e-08
1848,6.75798647598036e-08,2.9767320053331048e-08
1849,6.703532084983976e-08,6.368355487396116e-08
1850,6.992665557703504e-08,4.3449574604892405e-08
1851,6.384944617465749e-08,1.805842941848823e-08
1852,6.64075603395986e-08,1.8229528109259263e-08
1853,1.361600512339578e-07,4.896984129310056e-08
1854,8.78067258902604e-08,2.026309059433018e-08
1855,8.384960636931282e-08,3.449509122788186e-08
1856,6.885661679723043e-08,3.158085409848965e-08
1857,6.882927949813933e-08,6.882927522378068e-08
1858,7.780944633051234e-08,1.712786595886584e-08
1859,7.027199155906771e-08,3.1571474323754956e-08
1860,6.316513795345813e-08,3.661747205452315e-08
1861,5.4233584068086316e-08,3.5369729367573655e-08
1862,4.9246050931595065e-08,2.6204320491274302e-08
1863,6.842630428938179e-08,4.495158822948042e-08
1864,6.376988459511068e-08,4.746780601916356e-08
1865,5.64821325821363e-08,2.4946275767323556e-08
1866,5.936047775545461e-08,3.941146353714231e-08
1867,8.589476685472164e-08,3.2513836956127307e-08
1868,1.0027944497004171e-07,4.692880239964836e-08
1869,5.71371735480497e-08,4.6393431318847433e-08
1870,7.511604183108034e-08,4.243196016773254e-08
1871,7.22240054429335e-08,3.9298356568906456e-08
1872,6.228759585891197e-08,2.6608292236218745e-08
1873,5.028243821314504e-08,3.591602748542755e-08
1874,6.03435516555173e-08,2.7483202547085028e-08
1875,6.122034090783046e-08,2.4030413214859436e-08
1876,6.227395332736307e-08,3.0230074221648806e-08
1877,6.061119739442233e-08,3.401648807077606e-08
1878,6.52221585073498e-08,5.193616181564664e-08
1879,5.254019630474005e-08,2.9324761841031943e-08
1880,6.096953786283166e-08,5.1984553328665584e-08
1881,6.414706832380546e-08,3.416528798760865e-08
1882,6.988154366283084e-08,2.5290462835059202e-08
1883,6.192952090033899e-08,2.4013488364449387e-08
1884,5.0172896060018957e-08,3.4328822451357155e-08
1885,6.832373844467554e-08,3.0294487030069206e-08
1886,4.0656823463436353e-08,3.6784744139595205e-08
1887,5.8760320276185496e-08,4.178511880947866e-08
1888,7.355113318396889e-08,2.5996519603666002e-08
1889,3.696430755928404e-08,3.508476681401973e-08
1890,4.653614438243636e-08,2.0318597693247398e-08
1891,4.398211705947119e-08,2.995883496836882e-08
1892,5.955086601616699e-08,3.573052209659977e-08
1893,4.3108915770417866e-08,2.52495075958592e-08
1894,5.6713853835432815e-08,3.9069543378289495e-08
1895,4.333402414680165e-08,1.9861428057765806e-08
1896,4.8945341502015793e-08,2.5357224264777045e-08
1897,3.7290966981018414e-08,3.146425275879494e-08
1898,2.4330925163518202e-08,3.2818457618155605e-08
1899,4.2009595802028343e-08,2.266307141951529e-08
1900,3.062721309898819e-08,1.868779175850932e-08
1901,5.58873880507349e-08,2.291382916741469e-08
1902,3.830021277906326e-08,2.602450416278046e-08
1903,4.3201761279476614e-08,2.700110068865058e-08
1904,4.245953988402107e-08,1.8811188162715098e-08
1905,3.767354206374307e-08,2.580379465655369e-08
1906,3.7552547016428406e-08,4.11534765154542e-08
1907,5.2457003574257755e-08,2.1085657719854822e-08
1908,4.2729083382653243e-08,4.616705573390334e-08
1909,4.950885273968808e-08,5.8310425599117366e-08
1910,3.7409056519166484e-08,3.206490506446613e-08
1911,3.617854271720233e-08,3.830669548232635e-08
1912,4.1675368378513156e-08,3.229841283314272e-08
1913,7.424185671789374e-08,3.1287638702082177e-08
1914,6.76371111341112e-08,3.3483718908655646e-08
1915,3.062998121805549e-08,3.887651445211304e-08
1916,3.515987700986045e-08,4.504859418830165e-08
1917,3.9479127189601115e-08,3.5092558192673096e-08
1918,4.020231880730307e-08,4.0202315254589394e-08
