year,bien_ADV ôter_VERB,bien_ADV oter_VERB,bien_ADV voter_VERB
1800,2.829747991484055e-08,0.0,6.288328968651058e-09
1801,6.191074675143682e-08,0.0,0.0
1802,5.370816325012129e-08,0.0,0.0
1803,1.1702034896643454e-08,0.0,3.900678446910888e-09
1804,2.4718509905596875e-08,0.0,2.4718509461507665e-09
1805,1.1371510844071508e-08,0.0,0.0
1806,5.76333825108577e-09,0.0,0.0
1807,1.1387820464392462e-08,2.8469551160981155e-09,0.0
1808,3.3991110370834576e-08,0.0,0.0
1809,1.581321384946932e-08,0.0,0.0
1810,3.978215445954447e-08,0.0,0.0
1811,0.0,0.0,0.0
1812,1.600324850414836e-08,0.0,0.0
1813,2.300593315851529e-08,0.0,8.627225156487839e-09
1814,6.293354282149721e-09,0.0,0.0
1815,1.6183340889597275e-08,0.0,8.091670444798638e-09
1816,2.0858434979231788e-08,0.0,0.0
1817,5.60474440192138e-08,0.0,0.0
1818,2.98029441125891e-08,0.0,2.1458118837358597e-08
1819,3.622867339458935e-08,0.0,1.0351049795076506e-08
1820,3.085285271708926e-08,0.0,3.5599443393152796e-09
1821,3.0570614484304315e-08,0.0,1.97229765852569e-09
1822,2.2056354964661296e-08,0.0,0.0
1823,4.15072847204101e-08,0.0,3.9530747564242574e-09
1824,3.03160057057994e-08,0.0,8.421112696055388e-10
1825,1.937197424695114e-08,0.0,0.0
1826,4.051672775062798e-08,1.7615968683770689e-09,5.284790383086602e-09
1827,1.6591091167583727e-08,0.0,5.530363722527909e-09
1828,2.109629271274116e-08,0.0,7.337841001486822e-09
1829,6.858540846366168e-09,0.0,1.5431716349212365e-08
1830,2.1917355041978226e-08,1.0436835840010872e-09,4.174734336004349e-09
1831,4.2096257146795324e-08,0.0,1.091384405071949e-08
1832,1.488296597074168e-08,0.0,4.058990921151917e-09
1833,1.7375443306377747e-08,0.0,1.9692167896323554e-08
1834,2.42697808516823e-08,0.0,1.9602515166639023e-08
1835,1.8907719834260206e-08,0.0,4.5378527602224494e-09
1836,3.36037508930076e-08,2.016224964762614e-09,1.4785650037651976e-08
1837,2.365682938432201e-08,0.0,1.6003149028165353e-08
1838,8.2058102535143e-09,0.0,3.1560809521380406e-09
1839,2.516931019158619e-08,0.0,2.516931019158619e-08
1840,1.7198159341091923e-08,0.0,5.095750932326837e-09
1841,1.5409316489467528e-08,6.420548537278137e-10,1.219904177673925e-08
1842,1.1404051036834062e-08,6.708265054555795e-10,5.366612043644636e-09
1843,8.860366662588604e-09,0.0,1.2404512972352677e-08
1844,3.841992946007622e-09,0.0,1.4819115712327857e-08
1845,6.696273757711424e-09,0.0,2.7343116215661212e-08
1846,9.367202125076801e-09,0.0,1.2879903366069811e-08
1847,1.3483059113639229e-08,0.0,1.240441438454809e-08
1848,1.528592186161859e-08,0.0,1.5285921506347222e-07
