year,bon_ADJ an_NOUN,bon_ADJ vent_NOUN
1800,1.3834323553396644e-07,6.162562571354613e-07
1801,1.166779455274991e-07,3.524150145040039e-07
1802,8.056224487518193e-08,3.8043282302169246e-07
1803,3.120542824142092e-08,4.368759789485921e-07
1804,6.673997243744623e-08,3.287561867182376e-07
1805,5.685755466444675e-08,5.742613211623393e-07
1806,1.0662176119780042e-07,3.054569219784753e-07
1807,3.9857372513552036e-08,3.98573718030093e-07
1808,3.852325791697808e-08,4.328201268499754e-07
1809,3.6144488291256494e-08,4.3373387370593264e-07
1810,3.510190227373755e-08,5.826915381312858e-07
1811,2.507076715119183e-07,3.158916683787538e-07
1812,2.400487453257938e-08,2.9072569551757965e-07
1813,5.1763349162570194e-08,5.205092510340847e-07
1814,1.0069366851439554e-07,3.3984113656515547e-07
1815,3.5063905334808965e-08,2.832084646797739e-07
1816,1.8540831092650478e-08,5.979418187251895e-07
1817,3.425121486433369e-08,1.9149543106777855e-07
1818,5.364529798157491e-08,4.2081756124190406e-07
1819,1.8631889808773394e-08,4.575164211928495e-07
1820,1.1629151686065597e-07,5.161919451879271e-07
1821,7.49473095806863e-08,4.2108555931008596e-07
1822,5.6143449000956025e-08,3.2984274866976193e-07
1823,1.126626291148014e-07,3.913544048828044e-07
1824,2.0210670470532932e-08,8.336901373695582e-07
1825,4.6668849229547504e-08,5.256849249235529e-07
1826,4.84439142134363e-08,4.474456147818273e-07
1827,3.871254605769536e-08,3.9081237446225714e-07
1828,2.9351363395324626e-08,4.980559726863731e-07
1829,5.915491474439705e-08,3.5235754580753564e-07
1830,8.140731755368336e-08,5.333222929948533e-07
1831,8.57516342378517e-08,3.6483423304645157e-07
1832,1.4612366427968482e-07,6.277905981733056e-07
1833,9.614411311531512e-08,9.23215191406257e-07
1834,6.720862266718086e-08,6.170125153026618e-07
1835,1.3916081798015512e-07,6.38324650026334e-07
1836,1.0753200463398116e-07,5.779845206888012e-07
1837,1.2385046099794295e-07,5.239291631653487e-07
1838,1.1425013313193233e-07,6.640394145662754e-07
1839,9.857980054484017e-08,4.991913480356658e-07
1840,9.681926937954444e-08,4.637133272922256e-07
1841,1.4061001163412357e-07,3.6789742807741277e-07
1842,1.2007794580881637e-07,2.750388792271963e-07
1843,1.1754752771153676e-07,2.534064846848594e-07
1844,7.629100307049441e-08,2.508272403112244e-07
1845,1.4285383187484513e-07,3.1863102378792973e-07
1846,1.5865699154460344e-07,3.085322188844941e-07
1847,9.977463655275187e-08,2.507849101718307e-07
1848,1.5044565060406967e-07,2.7514658995642094e-07
1849,1.3742240234648762e-07,2.413271558143748e-07
1850,1.249175332063146e-07,2.824222287145517e-07
1851,1.3285843669663677e-07,2.444337212637038e-07
1852,1.0351766932537032e-07,2.825576643772365e-07
1853,1.8632428044895732e-07,3.320394228456536e-07
1854,1.4963514161081548e-07,3.5382475838119376e-07
1855,1.841507177857693e-07,3.9112126160034677e-07
1856,1.972509142689205e-07,3.3341099570094457e-07
1857,1.6938836022717396e-07,3.7929326263119734e-07
1858,1.9770451054057503e-07,3.958983829654983e-07
1859,1.680417205385254e-07,4.1348446888633816e-07
1860,1.6386318502092934e-07,2.8149679759392754e-07
1861,2.0703080760853254e-07,2.6315078427430194e-07
1862,2.5571801476331757e-07,3.121928529581375e-07
1863,1.8530042567022065e-07,3.3114335895589875e-07
1864,1.8459702566531178e-07,3.739887799447672e-07
1865,1.74623919768635e-07,2.5746438542251227e-07
1866,1.6494427779178977e-07,3.06533616711846e-07
1867,2.052739329627684e-07,3.5910803752869924e-07
1868,1.9808895634909618e-07,3.1466997674201025e-07
1869,2.3538562921032735e-07,3.892164848195989e-07
1870,1.5883315729325886e-07,3.1594607419194176e-07
1871,1.6887672416032729e-07,4.5989696517700906e-07
1872,1.4815981774773945e-07,3.0841431453154655e-07
1873,1.711997255071651e-07,2.621869983343572e-07
1874,1.7087382664371376e-07,3.0709490983493737e-07
1875,2.6662317065273555e-07,2.574687179013324e-07
1876,1.6324239293652454e-07,3.4704125417839293e-07
1877,1.8987384420299236e-07,2.424447888005332e-07
1878,1.8117265554451478e-07,2.753824464019061e-07
1879,2.1138265182685245e-07,3.29903566353984e-07
1880,2.413110191668011e-07,2.599227839628071e-07
1881,3.012123261925126e-07,3.744236587999161e-07
1882,2.881781799857208e-07,2.7752956710536125e-07
1883,2.3507941193656734e-07,3.4440398577473275e-07
1884,2.535051635277341e-07,3.234831407183947e-07
1885,2.7329495377870217e-07,2.7587319673116895e-07
1886,2.342607352545656e-07,2.2716192860094964e-07
1887,2.6246276618735465e-07,3.845536538094052e-07
