year,un_DET air_NOUN,un_DET vert_NOUN
1800,3.1539114957013226e-05,1.2422593499650247e-05
1801,2.9183774074681423e-05,5.474338649946731e-06
1802,2.820126178448845e-05,1.395964682160411e-05
1803,3.28456627585183e-05,2.465618854330387e-05
1804,3.575037993641672e-05,9.05933393369196e-06
1805,3.487073780661376e-05,7.3573673944338225e-06
1806,3.055722015687934e-05,5.567384960158961e-06
1807,2.429306718454427e-05,9.409186532138847e-06
1808,2.6828049868754533e-05,6.3925945141818374e-06
1809,2.871905564916233e-05,1.5966827049851418e-05
1810,4.341403035823532e-05,6.891673365316819e-06
1811,3.0200246897038596e-05,1.6997981219901703e-05
1812,2.5333143298666982e-05,4.800974693353055e-06
1813,3.3326970822145086e-05,5.383388270274736e-06
1814,2.6513900877489505e-05,3.5872119497071253e-06
1815,2.3487422566859095e-05,6.8293702497612685e-06
1816,2.6483259148335492e-05,1.2962358596269041e-05
1817,2.63189456291002e-05,1.710536889731884e-05
1818,2.873718946716508e-05,1.1393069144105539e-05
1819,2.4065156139840838e-05,8.563423762097955e-06
1820,2.803930794925691e-05,5.659124781232094e-06
1821,3.1554789529764093e-05,6.617058716074098e-06
1822,2.90572434380465e-05,6.890605618536938e-06
1823,2.759740365831931e-05,1.0467741958564147e-05
1824,2.4607332676396254e-05,4.557506144919898e-06
1825,2.7951998561093205e-05,7.147378255467629e-06
1826,2.211420704156808e-05,1.2173514733149204e-05
1827,1.9799625064820248e-05,9.510382369626313e-06
1828,2.5229331214404738e-05,8.173437890945934e-06
1829,2.8438082637194384e-05,7.2426191763952374e-06
1830,2.8202417325928764e-05,5.624410732707474e-06
1831,2.4743244182445778e-05,9.488808245805558e-06
1832,2.7678257595198374e-05,7.932620974315796e-06
1833,2.8152851399454448e-05,6.489148745458806e-06
1834,2.4972671269551938e-05,6.861813744762912e-06
1835,3.5641052249957283e-05,7.4057757046830375e-06
1836,2.651873523973336e-05,5.610482276097173e-06
1837,2.4754087718292794e-05,4.556026851787465e-06
1838,2.219482431087272e-05,6.20927357886103e-06
1839,2.432054471057654e-05,8.165344297594856e-06
1840,2.5315690649563294e-05,4.035834535898175e-06
1841,2.1713653779897868e-05,5.348316790332319e-06
1842,2.5270704668400867e-05,4.252369308233028e-06
1843,2.5331198287403822e-05,3.514021500450326e-06
1844,2.3661187839252307e-05,3.971522801293759e-06
1845,2.451003473424862e-05,4.31742228101939e-06
1846,2.186480668342483e-05,4.6244704208220355e-06
1847,1.578380854994066e-05,4.156018349021906e-06
1848,1.847504712770842e-05,4.95344283990562e-06
1849,1.6754639375449187e-05,5.504437467607204e-06
1850,1.928482288349187e-05,4.268920747563243e-06
