year,mon_DET if_NOUN,mon_DET vif_ADJ
1800,0.0,2.515331631869344e-08
1801,0.0,1.1905912700171939e-08
1802,0.0,3.3567602031325805e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,3.460591457837836e-08
1805,0.0,4.5486043376286034e-08
1806,0.0,2.881669125542885e-08
1807,0.0,1.7081731584767113e-08
1808,0.0,1.1330369531492579e-08
1809,0.0,2.0331274441787173e-08
1810,0.0,1.6380887757350138e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,1.7254450312975678e-08
1814,0.0,1.667738831478971e-07
1815,0.0,8.091670444798638e-09
1816,0.0,2.3176038865813098e-08
1817,0.0,7.784366928831332e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,2.3807414706311647e-08
1820,0.0,2.3732962262101864e-08
1821,0.0,3.8459806006585495e-08
1822,0.0,4.010246357211145e-09
1823,0.0,4.7436898187314114e-08
1824,0.0,3.621078370485975e-08
1825,8.805443041381977e-10,1.4088708422121954e-08
1826,0.0,6.517908501812997e-08
1827,0.0,4.7008092973754856e-08
1828,0.0,2.935136400594729e-08
1829,0.0,7.715858174606183e-08
1830,0.0,3.444155893816969e-08
1831,0.0,8.419251429359065e-08
1832,0.0,1.1771073360478113e-07
1833,0.0,6.023486887052343e-08
1834,0.0,4.387229557423211e-08
1835,0.0,4.689114518896531e-08
1836,2.688300027031687e-09,3.5619976301859424e-08
1837,6.957891152126194e-09,3.618103228131275e-08
1838,1.8936485712828244e-09,6.059675250469354e-08
1839,0.0,3.775396617555771e-08
1840,0.0,4.2676914779882225e-08
1841,0.0,5.457466301095337e-08
1842,6.708265054555795e-10,5.366612088053557e-08
1843,1.1813822142769936e-09,6.143187425422525e-08
1844,5.488561272137815e-10,6.586273310071888e-08
1845,1.1160455892778032e-09,7.365900778211198e-08
1846,0.0,6.849766820415937e-08
1847,0.0,6.849393763275202e-08
1848,0.0,5.631655319859874e-08
1849,0.0,4.860060620615059e-08
1850,0.0,6.99266582415703e-08
1851,0.0,6.900899762740664e-08
1852,1.9531636308300904e-09,6.510545347282459e-08
1853,0.0,4.598387626231215e-08
1854,0.0,3.636965217879151e-08
1855,5.306937111981824e-10,6.952087971967558e-08
1856,5.177189232874468e-10,3.831119954611495e-08
1857,9.763018171682347e-10,6.638852356743996e-08
1858,4.893676019968041e-10,6.459652079904288e-08
1859,0.0,4.939408171367177e-08
1860,0.0,1.0390207547117392e-07
1861,0.0,9.620565855072982e-08
1862,0.0,5.602302999285769e-08
1863,4.994620828036034e-10,5.793760338157483e-08
