year,en_ADP vallée_NOUN
1800,3.458580888349161e-08
1801,4.0480104601670064e-08
1802,3.3567602031325805e-08
1803,3.120542824142092e-08
1804,4.943701892301533e-09
1805,3.1271654599152043e-08
1806,2.0171682990621775e-08
1807,5.693910232196231e-09
1808,1.1194405025172216e-06
1809,6.7770917766551975e-09
1810,6.552354925304371e-08
1811,1.2535384108502967e-07
1812,7.468183005343576e-08
1813,4.026038347149097e-08
1814,2.8320094269673746e-08
1815,2.157778822287071e-08
1816,3.9399266071882266e-08
1817,2.0239354192597148e-08
1818,1.2159600881744836e-07
1819,7.659776812829477e-08
1820,2.7292905713238724e-08
1821,5.71966314311112e-08
1822,2.105379337535851e-08
1823,5.929612134636386e-08
1824,4.884245363712125e-08
1825,1.2679837979590047e-07
1826,4.227832484104965e-08
1827,2.949527377893446e-08
1828,4.861319524707142e-08
1829,2.8291481157793896e-08
1830,1.461156973192601e-08
1831,3.274153215215847e-08
1832,2.841293511579579e-08
1833,3.9384337569003947e-08
1834,5.880754549991707e-08
1835,8.546289365085613e-08
1836,7.056787687531596e-08
1837,4.1747346024578746e-08
1838,9.594486272135327e-08
1839,2.3771014490137077e-08
1840,5.6053258035149156e-08
1841,9.37400130851529e-08
1842,7.848669980603518e-08
1843,8.210606239344997e-08
1844,6.03741752147613e-08
1845,6.528866691724033e-08
1846,5.913046230432428e-08
1847,8.467361034547594e-08
1848,6.194820656446609e-08
1849,7.541473445726865e-08
1850,5.7706468936657984e-08
1851,6.384944484238986e-08
1852,3.014382610189159e-07
1853,7.823230774306467e-08
1854,8.209149610083344e-08
1855,9.287139945968192e-08
1856,8.076415269897552e-08
1857,9.763017772002058e-08
1858,9.689478086549741e-08
1859,9.318677030023537e-08
1860,5.8130236707532035e-08
1861,6.93246668959091e-08
1862,7.816116465164669e-08
1863,1.0988166138092836e-07
1864,8.19898481330128e-08
1865,8.142841068092821e-08
1866,5.838735628316272e-08
1867,1.5334884295725715e-07
1868,1.1213514095054222e-07
1869,6.20206943580115e-08
1870,4.300536504686647e-08
1871,9.02800074698007e-08
1872,8.950062380108648e-08
1873,6.883905001586754e-08
1874,9.320390503830822e-08
1875,9.154443247894051e-08
1876,8.827181829929032e-08
1877,7.978412774889421e-08
1878,1.2138568195041444e-07
1879,1.1852090864294951e-07
1880,1.1487944884258638e-07
1881,1.0737661970683376e-07
1882,6.189508106047015e-08
1883,8.657494304786795e-08
1884,9.110342169549313e-08
1885,6.70346098630148e-08
1886,7.356948650283357e-08
1887,9.662808353461116e-08
1888,1.014498351992188e-07
1889,7.580815442054245e-08
1890,1.9138808698970777e-07
1891,1.0007525785837856e-07
1892,7.459529705045043e-08
1893,6.774258065611605e-08
1894,1.0397539540463185e-07
1895,8.365873949145453e-08
1896,9.848038562410011e-08
1897,7.399926094109333e-08
1898,5.771521938147117e-08
1899,7.738609575369537e-08
1900,7.163653492625599e-08
1901,6.594711976504186e-08
1902,8.347482638448867e-08
1903,7.39830201545999e-08
1904,7.470728924374725e-08
1905,1.2024568474267028e-07
