year,en_ADP est_NOUN,en_ADP vestes_NOUN
1800,7.671761068195337e-06,1.8864987794131594e-08
1801,7.376903607081431e-06,4.7623650800687756e-08
1802,6.917163801745119e-06,6.713520406265161e-09
1803,8.140715650029051e-06,2.145373123596528e-08
1804,8.216432204832813e-06,4.943701892301533e-09
1805,7.650183903029628e-06,0.0
1806,6.140837092161178e-06,1.152667650217154e-08
1807,9.070398920840717e-06,0.0
1808,7.006700907474794e-06,6.798221985349073e-09
1809,7.99470866130747e-06,1.581321384946932e-08
1810,8.880780999032112e-06,1.1700633351097167e-08
1811,5.593288370686622e-06,3.760615285841595e-08
1812,8.90047399604299e-06,2.6672082320544632e-09
1813,7.448170994184267e-06,5.751483289628823e-09
1814,6.3814613948665055e-06,2.2026739543434815e-08
1815,7.3337510133608674e-06,1.0788894222457657e-08
1816,7.261053015739094e-06,4.4034472068688046e-08
1817,7.558620296110874e-06,1.5568733857662664e-08
1818,6.324184543160527e-06,4.6492591110336434e-08
1819,6.584303017476145e-06,4.140420006848444e-09
1820,5.691164250087866e-06,8.306536791735653e-09
1821,6.425745994853571e-06,4.7335142028259725e-08
1822,6.3612530709633575e-06,3.0076847679083585e-08
1823,5.118243690205304e-06,1.9765373338032077e-08
1824,6.258571062289775e-06,4.0421340941065864e-08
1825,6.044936586846461e-06,3.522177394188475e-08
1826,5.6776266390556884e-06,3.5231937367541377e-09
1827,6.2308767585506075e-06,8.295545583791863e-09
1828,6.092242679223148e-06,1.3758452155343548e-08
1829,6.360439297914411e-06,5.143905745796928e-09
1830,6.376906505067836e-06,2.2961039292113128e-08
1831,5.584769975364168e-06,4.2096257146795324e-08
1832,6.410499479692078e-06,2.705993829010822e-08
1833,6.1983998165260346e-06,2.3167256557599103e-08
1834,6.069311909051578e-06,1.8669062740173104e-08
1835,5.575508595256906e-06,5.672315950278062e-08
1836,5.732127556612454e-06,1.9490174807401672e-08
1837,5.791052836379151e-06,2.2265250976261086e-08
