year,bon_ADJ air_NOUN,bon_ADJ ver_NOUN
1800,7.105811619112501e-07,0.0
1801,7.524536727032682e-07,0.0
1802,6.713520406265161e-07,0.0
1803,7.196751994342776e-07,0.0
1804,1.3199684190112748e-06,2.4718509461507665e-09
1805,6.680762680844055e-07,0.0
1806,1.550337970002147e-06,2.881669125542885e-09
1807,5.181458391234628e-07,0.0
1808,4.849398576034503e-07,0.0
1809,4.6084223637166133e-07,0.0
1810,1.0881589105338207e-06,0.0
1811,1.2911444855490117e-06,0.0
1812,7.841592264412611e-07,2.9339290108509886e-08
1813,9.144858381660015e-07,0.0
1814,3.776012533762696e-07,0.0
1815,3.3985017466875433e-07,2.697223555614414e-09
1816,4.102158772667508e-07,0.0
1817,8.593941061008081e-07,0.0
1818,9.274676244785951e-07,1.1921177378582115e-09
1819,5.527460871235235e-07,0.0
1820,8.28280406039994e-07,1.1866481131050932e-09
1821,7.632792176082148e-07,9.86148829262845e-10
1822,6.977828377330297e-07,2.0051231786055723e-09
1823,7.372484560619341e-07,0.0
1824,9.810596566239838e-07,3.3684450784221553e-09
1825,1.3498744237949722e-06,0.0
1826,5.460950092128769e-07,8.807984341885344e-10
1827,5.03263095197326e-07,9.217273055917019e-10
1828,5.971168093310553e-07,0.0
1829,6.198406481416896e-07,8.57317605795771e-10
1830,4.98880751820252e-07,1.0436835840010872e-09
1831,3.3365179774591525e-07,4.677361609140007e-09
1832,6.19672618995537e-07,0.0
1833,6.278326623032626e-07,0.0
1834,4.667265329771908e-07,0.0
1835,6.723585102008656e-07,2.2689263801112247e-09
1836,5.322834226717532e-07,1.3441500135158435e-09
1837,4.007745246781269e-07,2.7831563720326358e-09
1838,6.059675570213585e-07,0.0
1839,4.1459446720182314e-07,1.3982950353153e-09
1840,3.59887414425053e-07,1.2739377330817092e-09
1841,4.0898894715368783e-07,1.2841097074556274e-09
1842,4.0786251842561683e-07,0.0
1843,5.180360744816426e-07,5.906911071384968e-10
1844,4.2975435121661576e-07,5.488561272137815e-10
1845,4.213072202219337e-07,0.0
1846,4.589929005760496e-07,0.0
1847,3.386944342764764e-07,0.0
1848,5.52706711898221e-07,8.045221711050488e-10
1849,3.988601520177326e-07,0.0
1850,3.604956759772904e-07,0.0
1851,4.108292444016115e-07,1.2898877521649865e-09
1852,4.6420188937190687e-07,0.0
1853,4.7357420385196747e-07,0.0
1854,4.769619863509433e-07,0.0
1855,5.577591082328581e-07,0.0
1856,5.161657554708654e-07,0.0
1857,6.756008749109199e-07,1.4644527812635033e-09
1858,6.890296075368063e-07,0.0
1859,6.385585606949462e-07,5.092173349652285e-10
1860,5.373613741477268e-07,0.0
1861,6.045865461601352e-07,4.715963730639317e-10
1862,9.026936283462739e-07,0.0
1863,6.822652170446197e-07,0.0
1864,6.142046231616405e-07,4.794727948009836e-10
1865,6.61311617022875e-07,0.0
1866,6.164731303215376e-07,0.0
1867,5.604996999863943e-07,9.7056229719783e-10
1868,4.959633770340588e-07,0.0
1869,6.04579668106453e-07,0.0
1870,4.799398993782233e-07,0.0
1871,5.098165161143697e-07,0.0
1872,5.249090690995217e-07,0.0
1873,5.315571735553526e-07,0.0
1874,5.257655857349164e-07,3.5847653734322193e-09
1875,5.292412765811605e-07,0.0
1876,5.719529816428093e-07,0.0
1877,5.077733866709622e-07,0.0
1878,5.525766368918994e-07,7.850815109122777e-09
1879,5.211254732184756e-07,0.0
1880,5.211290954321157e-07,1.2835692508872398e-09
1881,4.887727982350043e-07,0.0
1882,6.682006414848729e-07,6.655385131892899e-10
1883,6.628986284340499e-07,0.0
1884,6.654510489312315e-07,1.3203393933736152e-09
1885,6.084679926576797e-07,0.0
1886,6.492184638773324e-07,0.0
1887,5.347189247495443e-07,0.0
