year,aucun_DET empire_NOUN,aucun_DET vampire_NOUN
1800,2.075148550773065e-07,0.0
1801,2.0478170359439218e-07,0.0
1802,2.0364345232337655e-07,0.0
1803,2.398917189339045e-07,0.0
1804,2.8426285858529354e-07,0.0
1805,3.184022963065303e-07,0.0
1806,1.5561013011478053e-07,0.0
1807,2.8469550628074103e-07,0.0
1808,2.8552532205239345e-07,0.0
1809,3.4337262722061723e-07,0.0
1810,1.6380887757350138e-07,0.0
1811,1.0028306984821711e-07,0.0
1812,1.4402924630729785e-07,0.0
1813,1.4378707646756084e-07,0.0
1814,2.706142288033675e-07,0.0
1815,1.3486117422800703e-07,0.0
1816,1.5064425262778514e-07,0.0
1817,2.4909974882803e-07,0.0
1818,1.6808859704120493e-07,0.0
1819,1.4594980035642635e-07,0.0
1820,1.6019749971007968e-07,0.0
1821,2.50481804964231e-07,0.0
1822,1.7645083971729036e-07,0.0
1823,1.4132241688002978e-07,0.0
1824,1.8779081756292726e-07,0.0
1825,1.9195865652577027e-07,0.0
1826,1.382853582754251e-07,0.0
1827,2.1199727484599862e-07,0.0
1828,2.045423125318635e-07,0.0
1829,1.4917326041086199e-07,0.0
1830,1.972561989305177e-07,0.0
1831,1.3252525432605466e-07,0.0
1832,1.1500473817704915e-07,0.0
1833,1.4595372133108242e-07,0.0
1834,1.5775357442571192e-07,0.0
1835,1.0890846624533879e-07,0.0
1836,1.0820407680967037e-07,0.0
1837,1.0923888760228095e-07,0.0
1838,9.089512786886189e-08,0.0
1839,1.1885507689157748e-07,0.0
1840,1.745294753163762e-07,0.0
1841,1.4317822660814272e-07,0.0
1842,1.328236498565616e-07,0.0
1843,1.789794055184757e-07,0.0
1844,1.306277577217685e-07,0.0
1845,1.9977215970357065e-07,0.0
1846,1.2528632553632235e-07,0.0
1847,1.4130246484000963e-07,0.0
1848,1.319416318423805e-07,0.0
1849,1.248532868203256e-07,0.0
1850,8.96147440698769e-08,0.0
1851,1.3543821353323438e-07,0.0
1852,1.458362248740741e-07,0.0
1853,1.4332637099379042e-07,0.0
1854,1.5275253351099138e-07,0.0
1855,1.58146718831631e-07,0.0
1856,1.755067131625765e-07,0.0
1857,1.137391620886774e-07,0.0
1858,1.0961834151501648e-07,0.0
1859,6.925355777731568e-08,0.0
1860,1.0573295128324389e-07,0.0
1861,1.344049680440662e-07,0.0
1862,9.48777127973699e-08,0.0
1863,9.889348984160051e-08,0.0
1864,1.0116875726051688e-07,0.0
1865,7.578019278753345e-08,0.0
1866,1.2310000174764468e-07,0.0
1867,7.085104414272791e-08,0.0
1868,7.212216246443859e-08,0.0
1869,9.669367828646358e-08,0.0
1870,8.887775493349181e-08,0.0
1871,8.390729888674286e-08,0.0
1872,1.0099056613199764e-07,0.0
1873,8.559986336420522e-08,0.0
1874,5.855116924635695e-08,0.0
1875,6.179249112392426e-08,0.0
1876,8.04119935082781e-08,0.0
