year,son_DET if_NOUN,son_DET vif_NOUN
1800,0.0,2.2009151834367913e-08
1801,2.3811825844433088e-09,4.762365191091078e-08
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,0.0,3.900678446910888e-09
1804,2.4718509461507665e-09,1.2359254952798437e-08
1805,0.0,5.685755422035754e-09
1806,5.76333825108577e-09,1.729001475325731e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,0.0
1811,0.0,1.504245972228091e-08
1812,0.0,1.3336041604361526e-08
1813,0.0,2.013019195779009e-08
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,3.113746815941454e-09
1818,1.5497530370112145e-08,8.34482416500748e-09
1819,0.0,1.8631889475706487e-08
1820,0.0,1.3053129244156025e-08
1821,0.0,2.9584463767662328e-09
1822,1.0025615893027862e-09,1.5038423839541792e-08
1823,0.0,1.9765373782121287e-09
1824,2.5263338088166165e-09,1.2631669044083083e-08
1825,0.0,4.4027217427355936e-09
1826,8.807984341885344e-10,1.4973572604048968e-08
1827,1.8434546111834038e-09,2.488663675137559e-08
1828,9.172301251858528e-10,1.8344602503717056e-09
1829,0.0,5.143905634774626e-09
1830,0.0,1.0436835617966267e-08
1831,0.0,0.0
1832,0.0,5.411987746839486e-09
1833,0.0,1.7375443306377747e-08
1834,8.401078055442213e-09,1.9602515166639023e-08
1835,1.5126175867408165e-09,3.025235173481633e-08
1836,2.688300027031687e-09,9.409050427677812e-09
1837,6.957890930081589e-10,3.478945487245255e-08
1838,0.0,2.2092566220877075e-08
1839,0.0,3.146163862766116e-08
1840,1.2739377330817092e-09,1.7835128929277744e-08
1841,0.0,1.733548060656176e-08
1842,1.341653010911159e-09,6.708265054555795e-09
1843,4.134837805480629e-09,2.539971788451112e-08
1844,5.488561272137815e-10,2.030767731753258e-08
1845,3.9061593959388574e-09,2.0088821273134272e-08
1846,4.6836012845830055e-09,2.2247104825012798e-08
1847,1.0786447290911383e-09,1.6179670936367074e-08
1848,0.0,9.65426583121598e-09
1849,1.6758829879393033e-09,2.0948537127196687e-08
1850,2.0366988096043315e-09,8.146795238417326e-09
1851,6.449438760824933e-10,1.0964045893402385e-08
1852,3.2552727180501506e-09,2.4089017225392695e-08
1853,0.0,2.7470886010405593e-08
1854,1.0391328908454511e-09,8.832629738719788e-09
1855,2.653468555990912e-09,2.388121700391821e-08
1856,2.5885946164372342e-09,7.248064981535407e-09
1857,0.0,1.757343343067319e-08
1858,1.4681028059904122e-09,3.474509924217273e-08
1859,0.0,1.6294954496842706e-08
1860,4.577183909670879e-10,1.2816115280145368e-08
1861,4.715963730639317e-10,1.792066256500746e-08
1862,0.0,1.536115412648087e-08
1863,2.497310414018017e-09,1.9978482868054925e-08
1864,3.835782358407869e-09,3.2604148714199255e-08
1865,4.706844358715045e-10,2.682901328876497e-08
1866,1.9462451650298362e-09,1.8002767276925624e-08
1867,4.85281148598915e-10,2.1837651686951176e-08
1868,4.93987406535723e-10,2.173544610961642e-08
1869,0.0,4.785848872757015e-08
1870,0.0,4.7019199644893206e-08
1871,0.0,1.6993883633631413e-08
1872,0.0,1.269941218851045e-08
1873,0.0,2.7535620006347017e-08
1874,5.974609140757536e-10,3.047050717297495e-08
1875,1.716458086775674e-09,1.94531928343622e-08
1876,1.209202959984168e-09,1.6928840551599933e-08
1877,0.0,2.1028374375120507e-08
1878,0.0,2.777980773194244e-08
1879,1.221865053580018e-09,2.8713828092996607e-08
1880,6.417846254436199e-10,2.952209254836191e-08
1881,6.972507571312292e-10,1.4642266066289267e-08
1882,0.0,2.3293848627758962e-08
