year,un_DET an_NOUN,un_DET vent_NOUN
1800,2.065401696427216e-05,8.552127667371678e-06
1801,1.8870872679599415e-05,5.8553279131956515e-06
1802,2.064631223674951e-05,7.507953796448419e-06
1803,1.965746980658878e-05,5.2308098474895814e-06
1804,2.160644874038553e-05,5.465262461257225e-06
1805,1.9544784152003558e-05,5.102965303649398e-06
1806,2.088921922904774e-05,6.0082799961946876e-06
1807,2.2809804022472235e-05,4.486801259417916e-06
1808,2.2792173126617854e-05,5.0624092295947776e-06
1809,2.104286875237449e-05,5.880256566115349e-06
1810,2.2191421578554582e-05,5.7309704857289034e-06
1811,2.3202996260351938e-05,6.1724230135951075e-06
1812,1.9139885921504174e-05,4.507581763846247e-06
1813,2.1648583356181916e-05,5.567436005549098e-06
1814,1.9182143887519487e-05,4.7011354809001205e-06
1815,1.9614209008977923e-05,4.102477092260415e-06
1816,1.8413362852243154e-05,5.170574382873383e-06
1817,1.8037934694348223e-05,3.84703417921628e-06
1818,2.2023183362307464e-05,4.069889882885036e-06
1819,2.257356914014963e-05,4.603111733558762e-06
1820,2.1815338527630956e-05,4.670646887916519e-06
1821,2.1181491547395126e-05,4.8508662473523145e-06
1822,1.979156860443254e-05,4.221786980451725e-06
1823,2.0159692155630182e-05,3.8710483636350546e-06
1824,1.9963090494456992e-05,4.277083263559689e-06
1825,2.186831864037231e-05,4.771669779302101e-06
1826,2.178390661811136e-05,4.566940077666004e-06
1827,2.2704908076320862e-05,3.956053632236944e-06
1828,2.097338466455767e-05,4.180734777037287e-06
1829,2.0859394453509594e-05,3.988241417118843e-06
1830,2.163869237392646e-05,4.935579539733226e-06
1831,2.1741936109265225e-05,4.312527465799576e-06
1832,2.361114900395478e-05,3.858747277263319e-06
1833,2.2751404912924045e-05,6.9385935148602584e-06
1834,2.3242048655447434e-05,4.727006370330855e-06
1835,2.2531194360908557e-05,5.893914305943326e-06
1836,2.33613275213429e-05,4.693771984420891e-06
1837,2.430878402037706e-05,4.376513231818535e-06
1838,2.4272787300105847e-05,4.2512408526818035e-06
1839,2.1895203417443554e-05,3.995628134134677e-06
1840,2.3132797764446877e-05,4.384256811817977e-06
1841,2.3125531356527063e-05,4.353774102128227e-06
1842,2.389282769854617e-05,4.124912265979219e-06
1843,2.350182637655962e-05,4.157284109851389e-06
1844,2.482750744547957e-05,3.629585648923239e-06
1845,2.3381713617709465e-05,4.058499769143964e-06
1846,2.4084248366307293e-05,3.726390048086614e-06
1847,2.4692335387044295e-05,3.3513491075609636e-06
1848,2.4372999632760184e-05,3.1674037330731153e-06
1849,2.701523294490471e-05,3.0383758371499425e-06
1850,2.3052035430737305e-05,3.7258010934237973e-06
1851,2.4945139216470125e-05,3.3401643122488167e-06
1852,2.4500484073541884e-05,3.2083967482776643e-06
1853,2.3782621269674564e-05,3.704986454522441e-06
1854,2.3131617240323976e-05,3.3860144128539105e-06
1855,2.4107293256747653e-05,3.675054074392392e-06
1856,2.357847222356213e-05,3.1886309272977087e-06
1857,2.367824788507278e-05,3.8544395408735e-06
1858,2.352292119667254e-05,3.5347021594134276e-06
1859,2.2499768192574265e-05,3.371527895978943e-06
1860,2.318297811143566e-05,3.3935241674498684e-06
1861,2.3103035232452385e-05,3.741174083415899e-06
1862,2.4454505023641104e-05,3.5131861295667477e-06
1863,2.4611993467260618e-05,3.3419007365864672e-06
1864,2.474175516908872e-05,3.6626927624183736e-06
1865,2.437862940496416e-05,3.5451952271614573e-06
1866,2.334715657070774e-05,3.549951117065575e-06
1867,2.4310645130753983e-05,3.567787018710078e-06
1868,2.4710238449188182e-05,3.08050536546034e-06
1869,2.4774581220299297e-05,3.375000090954927e-06
1870,2.4546889108023606e-05,3.6634837385918217e-06
1871,2.594647332898603e-05,3.185291092222542e-06
1872,2.82942912690487e-05,3.0363690939338994e-06
1873,2.694480235732044e-05,2.90500804567273e-06
1874,2.7689326543622883e-05,3.0201649678929243e-06
1875,2.7299123075863463e-05,3.1903235822028364e-06
1876,2.7892685466213152e-05,3.045377695798379e-06
1877,2.7294210667605512e-05,3.311968868047188e-06
1878,2.6071350475831423e-05,2.976666735321487e-06
1879,2.6424664724800095e-05,3.096206057762174e-06
1880,2.8336716695775976e-05,2.9047173200069665e-06
1881,2.9624092121594003e-05,3.093004465881677e-06
1882,2.9720954216827522e-05,3.0069030572121846e-06
1883,2.915806226155837e-05,2.8215849283697025e-06
1884,2.921515010712028e-05,3.1866391623225354e-06
1885,2.9382429829638568e-05,2.872819891308609e-06
1886,2.9132226245565107e-05,2.805966033747609e-06
1887,2.9009317131567514e-05,2.836164952668696e-06
