year,en_ADP oies_NOUN,en_ADP voix_NOUN
1800,9.432493897065797e-09,7.860410988769218e-08
1801,0.0,9.28661187948876e-08
1802,6.713520406265161e-09,9.622712582313397e-08
1803,1.950339267864365e-08,2.5354410126965377e-08
1804,1.9774807569206132e-08,4.449331569844617e-08
1805,2.842877711017877e-09,3.695741046527701e-08
1806,0.0,8.645007198992971e-08
1807,1.9928686256776018e-08,4.839823830593559e-08
1808,2.039466551195801e-08,2.4926814390369145e-08
1809,2.4849335034105025e-08,2.710836710662079e-08
1810,2.106114038724627e-08,7.488405628919281e-08
1811,2.5070768572277302e-08,2.5070768572277302e-08
1812,5.3344164641089264e-09,5.601137331723294e-08
1813,1.1502966579257645e-08,2.5881675469463516e-08
1814,0.0,1.1013369771717407e-07
1815,2.697223555614414e-09,6.203614333344376e-08
1816,4.6352077731626196e-09,6.952811304472561e-08
1817,0.0,6.85024303948012e-08
1818,2.384235475716423e-09,4.172412104708201e-08
1819,1.035105001712111e-09,6.314140676977331e-08
1820,1.3053129244156025e-08,1.1391821885808895e-07
1821,1.1833785507064931e-08,3.944595405869222e-08
1822,3.0076847679083585e-09,6.316138012607553e-08
1823,2.668325471688604e-08,1.2353358158634364e-07
1824,0.0,7.410579172528742e-08
1825,3.522177216552791e-09,1.0654586191094495e-07
1826,0.0,8.71990444295534e-08
1827,1.8434546111834038e-09,5.069500019772022e-08
1828,4.586150570418113e-09,6.787502826455238e-08
1829,5.143905745796928e-09,7.372931065674493e-08
1830,8.349468672008697e-09,5.218418053232199e-08
1831,3.1182412207897414e-09,5.6128342862393765e-08
1832,0.0,7.441482807735156e-08
1833,2.548398292390175e-08,1.4247862623051333e-07
1834,2.42697808516823e-08,8.68111342811062e-08
1835,5.294161553592858e-09,1.1571524538567246e-07
1836,6.720750067579218e-10,9.341842854837523e-08
1837,0.0,1.1132625565846155e-07
1838,1.8936485712828244e-09,7.827080850120183e-08
1839,1.2584655095793096e-08,8.73934373757379e-08
1840,1.4650283985950807e-08,1.0127804728199408e-07
1841,5.778493683550323e-09,1.592296086094791e-07
1842,1.341653010911159e-08,7.043678573737111e-08
1843,4.7255288571079745e-09,9.80547226192563e-08
1844,9.330554162634286e-09,1.245903433755302e-07
1845,3.9061593959388574e-09,7.310098615320726e-08
1846,9.367202347121406e-09,1.1943183153562131e-07
1847,9.168480197274675e-09,1.0031395891729744e-07
1848,1.287235473768078e-08,1.1102405750307298e-07
1849,1.1731180693530519e-08,1.1731181048801886e-07
1850,6.1100964288129944e-09,1.2899092727280959e-07
1851,6.449438760824933e-10,8.577753618510542e-08
1852,5.208436348880241e-09,9.635607511881972e-08
1853,2.9859659189668264e-09,1.0749477041827049e-07
1854,5.195664343204953e-09,9.560022445898042e-08
1855,4.776243400783642e-09,1.4063383346751834e-07
1856,3.106313539724681e-09,1.3512464008824665e-07
