year,en_ADP air_NOUN,en_ADP verres_NOUN
1800,9.023752340908686e-07,1.9808235984797307e-07
1801,4.4528114284680953e-07,1.8335106233280385e-07
1802,2.506380951672327e-07,1.1189200677108602e-07
1803,4.5442902552039754e-07,1.2677204841438083e-07
1804,3.8808059343864443e-07,6.673997887673977e-08
1805,2.7575912708854844e-07,7.675770063997334e-08
1806,3.7749865100522584e-07,8.35684019762084e-08
1807,2.0498076924724273e-07,5.97860605466849e-08
1808,2.062127402169267e-07,4.985362878073829e-08
1809,2.4397530085096264e-07,6.777091510201672e-08
1810,1.7550951270095538e-07,1.6146874770583963e-07
1811,2.0808736911348547e-07,6.769107585569145e-08
1812,1.3869483117545656e-07,3.467370746079723e-08
1813,2.0992913585260453e-07,1.8404746526812232e-07
1814,1.3530711839848664e-07,1.4789382873914292e-07
1815,2.8320846801044297e-07,1.8880564311984926e-07
1816,1.7150268938337376e-07,2.016315363562171e-07
1817,1.3077736582545185e-07,9.963989811012652e-08
1818,2.2888661255215936e-07,5.841376804482934e-08
1819,1.3870406800897683e-07,5.900098543065724e-08
1820,1.8511710120350244e-07,3.322614716694261e-08
1821,8.776724769177235e-08,7.494731057988702e-08
1822,1.0426640528748976e-07,8.421517350143404e-08
1823,9.586206450862278e-08,6.81905376609393e-08
1824,1.4905369027928828e-07,7.494790565942822e-08
1825,1.1270966804310945e-07,9.862096161938894e-08
1826,9.776862741617265e-08,6.958307352533666e-08
1827,1.6222400611720644e-07,7.097300586123012e-08
1828,1.4033620721054518e-07,5.319934714975716e-08
1829,1.3717081515096652e-07,9.687688679038686e-08
1830,1.8786305133744463e-07,1.502904425354501e-07
1831,1.7306238930814288e-07,7.327867024287116e-08
1832,1.1094574858816486e-07,8.38858085216998e-08
1833,1.4247862734073635e-07,9.266902623039641e-08
1834,1.474855890748472e-07,1.820233497262791e-07
1835,1.1722786297241328e-07,7.941242330389287e-08
1836,1.9624590608113834e-07,8.26652244434456e-08
1837,9.253994626146067e-08,1.2524203718555782e-07
1838,1.7484688585867048e-07,8.332053624826585e-08
1839,1.3143973565110656e-07,1.1885507977815735e-07
1840,1.1720227499623093e-07,9.427139102680115e-08
1841,1.4703056194775854e-07,1.425361801921099e-07
1842,1.1739464067517247e-07,1.2611538746654105e-07
1843,1.9729083622355148e-07,1.1636614899446229e-07
1844,1.5203314940315238e-07,5.43367555394525e-08
1845,1.9419193170167048e-07,1.6796485757808455e-07
1846,1.0362467706137579e-07,1.0362467706137579e-07
1847,9.977463566457345e-08,9.492073616002017e-08
1848,7.562508130831702e-08,9.654266164282888e-08
1849,4.776266493422554e-08,7.709061833338637e-08
1850,1.0726613819400654e-07,1.602203001382918e-07
1851,9.28719168236114e-08,1.3350337568773796e-07
1852,1.295598495154593e-07,9.244974252808902e-08
1853,1.8632426690423642e-07,1.027172265022358e-07
1854,1.5327209934579145e-07,1.0910895298366086e-07
1855,1.645150575768639e-07,9.074862816760287e-08
1856,1.0457922500206607e-07,1.0043746756505101e-07
1857,1.649950125415245e-07,9.56775778604424e-08
1858,1.1793758891709416e-07,9.444794812907276e-08
1859,9.522363986214089e-08,1.1100937724606297e-07
