year,en_ADP oie_NOUN,en_ADP voies_NOUN
1800,3.144164484325529e-09,2.829747991484055e-08
1801,1.666827853519237e-08,5.000483582762172e-08
1802,2.0140561218795483e-08,1.1189200677108602e-08
1803,9.751696339321825e-09,1.5602713787643552e-08
1804,1.2359254952798437e-08,0.0
1805,3.695740957709859e-08,0.0
1806,1.4408345627714425e-08,2.305335300434308e-08
1807,0.0,3.701041606518629e-08
1808,1.0877154998922833e-07,1.1330369531492579e-08
1809,0.0,1.581321384946932e-08
1810,2.3401266702194334e-08,2.3401267590372754e-09
1811,1.504245972228091e-08,3.259199843341776e-08
1812,2.6672082320544632e-09,1.3336041604361526e-08
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,1.1642705288750221e-07,0.0
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,1.1588019432906549e-08
1817,4.670620334934483e-09,3.113746815941454e-09
1818,4.768470951432846e-09,1.3113295338484932e-08
1819,4.140420006848444e-09,1.2421260464634543e-08
1820,2.3732962262101864e-09,1.542642635854463e-08
1821,1.577838126820552e-08,1.2819934447350079e-08
1822,1.0025615893027862e-09,1.0025615893027862e-08
1823,1.9765373782121287e-09,1.3835761869529506e-08
1824,1.9368560089105813e-08,1.9368560089105813e-08
1825,7.924898959288385e-09,2.0252519661312363e-08
1826,3.5231937367541377e-09,2.290075862276808e-08
1827,1.8434546111834038e-09,6.359918103271411e-08
1828,7.337841001486822e-09,5.1364885678140126e-08
1829,9.430493719264632e-09,2.743416338546467e-08
1830,2.0873671680021744e-09,1.7742621594152297e-08
1831,1.5591206103948707e-09,2.8064171431196883e-08
1832,2.0294953273491956e-08,4.8707889277466165e-08
1833,2.3167257001688313e-09,3.8225973497674204e-08
1834,3.733812370398937e-09,3.080395316601425e-08
1835,7.563087933704082e-09,4.310960122211327e-08
1836,2.016224964762614e-09,3.696412420595152e-08
1837,1.3915781860163179e-09,4.383471363667013e-08
1838,4.418513332993257e-09,1.830527018853445e-08
1839,2.0974426639952526e-09,4.334714631681891e-08
1840,5.732719632334238e-09,4.968357103507515e-08
1841,2.3113974734201292e-08,7.062603657459476e-08
1842,1.341653010911159e-09,2.817471411731276e-08
1843,1.7720733214154905e-09,1.1577545677710077e-07
1844,3.2931368743049916e-09,6.037417676907353e-08
1845,3.9061593959388574e-09,3.961961780873935e-08
1846,2.9272506640865004e-09,6.088681203664237e-08
1847,7.011190739092399e-09,4.853901458545806e-08
1848,4.82713291560799e-09,5.63165514222419e-08
1849,1.9272654583346593e-08,6.619738002200393e-08
1850,6.788996032014438e-09,5.499086697113853e-08
1851,1.0964046337491595e-08,4.772584816237213e-08
1852,5.208436348880241e-09,2.799534470909748e-08
1853,1.791579506971175e-08,5.0761421732659073e-08
1854,7.79349651480743e-09,4.9878380536938494e-08
1855,1.0083180512765466e-08,2.653468555990912e-08
1856,1.3978411317339123e-08,7.558696069054349e-08
1857,1.4156376515472857e-08,3.172980811427806e-08
1858,1.5659763041853125e-08,6.900083349137276e-08
1859,2.036869339860914e-09,5.4995471288066256e-08
1860,4.57718396518203e-09,5.996110985506675e-08
1861,7.073945706981277e-09,6.130753149591328e-08
1862,1.490935469528054e-08,3.8402884428023754e-08
1863,3.9956967790022446e-08,5.793760138317339e-08
1864,1.4384183844029508e-09,6.185199197261682e-08
1865,1.3179164426446732e-08,1.840376171458047e-07
1866,1.702964580463373e-08,3.843834051053818e-08
1867,1.4073153309368536e-08,6.163070764841905e-08
1868,1.2349685274415378e-08,1.9314907717671304e-07
1869,2.24641887314192e-08,7.81363098667498e-08
1870,9.17447806614291e-09,9.289158953151855e-08
1871,2.2304472935275044e-08,6.372706451429622e-08
1872,7.256807155187062e-09,7.619647846013322e-08
1873,2.5141218329416404e-08,7.003625057677709e-08
1874,1.1949218503559678e-08,1.1411503209046714e-07
1875,9.7265964171811e-09,6.465325697035951e-08
1876,2.1161051577678336e-08,4.232210315535667e-08
1877,2.2265337129567797e-08,4.4530676035492434e-08
1878,2.1740719446938783e-08,8.937850992651875e-08
1879,1.5273313280772527e-08,5.681672377022551e-08
1880,1.6044615858135103e-08,6.35366745882493e-08
1881,2.1614772693911988e-08,5.438555916725818e-08
1882,3.327692410515226e-08,6.455723422504889e-08
1883,8.847074184359371e-09,6.256145468341856e-08
1884,1.4523733327109767e-08,4.7532218161450146e-08
1885,1.546952527187173e-08,6.058897383809381e-08
1886,2.0005737511041843e-08,9.034849313138693e-08
1887,2.0239665943222462e-08,6.724792456225259e-08
1888,3.1703073499755874e-09,5.199304098368884e-08
1889,1.3783300722991498e-08,6.202485280937253e-08
1890,7.865263995654459e-09,7.275369284798217e-08
1891,1.0836173736095134e-08,5.2268603667471325e-08
1892,7.522214628963297e-09,5.0774950466347946e-08
1893,1.2932674486876294e-08,7.205347429817266e-08
1894,8.192001077489408e-09,6.364554394622246e-08
1895,9.629783193076946e-09,9.810341339289153e-08
1896,2.94851448812139e-09,8.373780957526833e-08
1897,8.740070001067579e-09,7.225124676324413e-08
1898,3.960848538042683e-09,8.657283245838698e-08
