year,en_ADP iles_NOUN,en_ADP ville_NOUN
1800,3.144164484325529e-08,2.4555924316160826e-06
1801,7.143547975374531e-09,1.9573321559107626e-06
1802,8.951360541686881e-09,1.8797857421759545e-06
1803,9.751695895232615e-09,1.8118651254894758e-06
1804,1.9774807569206132e-08,2.340842861769943e-06
1805,2.2743021688143017e-08,3.058936519195754e-06
1806,8.645007376628655e-09,3.7404065267310216e-06
1807,8.540865792383556e-09,2.7131482518427674e-06
1808,2.4926814390369145e-08,2.207156102329577e-06
1809,2.25903047379461e-08,2.2816208300469043e-06
1810,1.8721014072298203e-08,2.995362343938268e-06
1811,7.521230305229665e-09,2.5020625429306165e-06
1812,8.00162469616339e-09,2.7365556718450534e-06
1813,8.627224934443234e-09,2.6801911250373678e-06
1814,3.1466771410748606e-09,2.882356199052083e-06
1815,0.0,2.570454067374328e-06
1816,2.3176038865813098e-09,1.9027527784487575e-06
1817,2.3353101674672416e-08,2.6902772880532666e-06
1818,2.0266001987678806e-08,2.9135357753062863e-06
1819,8.280840235741493e-09,3.0307874752111275e-06
1820,3.5599443393152796e-09,2.612999168150054e-06
1821,3.94459531705138e-09,2.6833109636470454e-06
1822,1.4035862250239006e-08,3.580147350135121e-06
1823,6.917880712720148e-09,3.000383641538207e-06
1824,1.6000114122505238e-08,3.4509719224473656e-06
1825,2.641632912414593e-09,3.2043007642812427e-06
1826,8.807984452907647e-09,2.911919705361754e-06
1827,5.530363889061363e-09,2.860119773018255e-06
1828,2.7516904310687096e-09,2.477438603598614e-06
1829,2.5719527840806222e-08,2.972320094940528e-06
1830,9.39315203396518e-09,3.4264132082739707e-06
1831,4.677361609140007e-09,3.1338325108265508e-06
1832,8.117981509236927e-09,3.888513411709482e-06
1833,1.3900354645102198e-08,3.610617071103661e-06
1834,6.534171870242744e-09,3.395902457015154e-06
1835,1.1344631900556124e-08,3.6265006784219622e-06
1836,1.0753199664037538e-08,3.2010932429216155e-06
1837,6.262101726051128e-09,3.590967505573417e-06
1838,1.3255539776935166e-08,3.37385042570304e-06
1839,1.1885507911202353e-08,3.3622003456912353e-06
1840,1.4013315285943406e-08,3.840285295098056e-06
1841,7.704658244733764e-09,3.5043354387198633e-06
1842,4.695785538189057e-09,4.261090186474803e-06
1843,4.13483786099178e-09,3.5488720691034814e-06
1844,4.9397050894128824e-09,3.6175107140934415e-06
1845,5.580227946389016e-09,4.923993323302511e-06
1846,1.1709002656346001e-08,3.706484733356774e-06
1847,6.47186837454683e-09,3.6113025281281352e-06
1848,1.126331028444838e-08,4.733808417256569e-06
1849,1.0893238977516262e-08,4.5391292502472425e-06
1850,8.146795238417326e-09,3.6164981125352824e-06
1851,7.739326290945314e-09,3.569119396473752e-06
1852,1.1718982229069752e-08,3.6406971162250557e-06
1853,4.180352286553557e-09,4.217378190674026e-06
1854,9.352196128631363e-09,3.8021872086346775e-06
1855,3.714855978387277e-09,4.491791454341865e-06
1856,1.7084724746041502e-08,3.9082601119844185e-06
1857,7.810414537345878e-09,4.189310935487356e-06
1858,4.893675908945738e-09,4.238902263864475e-06
1859,2.5460866748261424e-09,4.563605738638898e-06
1860,3.661747072225552e-09,4.572148981196733e-06
1861,3.3011746669586728e-09,4.6065531691397155e-06
1862,5.421583626485926e-09,3.919804942853489e-06
1863,2.996772441310469e-09,3.866336054869635e-06
1864,6.712619238236073e-09,4.234703638417159e-06
1865,5.648213063924601e-09,4.452674907895471e-06
1866,5.352174370365503e-09,4.209728267312585e-06
1867,3.396968040192405e-09,4.787298344410829e-06
1868,4.939873954334928e-09,4.34461915688189e-06
1869,1.953407657850903e-09,4.191036225620337e-06
1870,2.2936195165357276e-09,4.986902020220896e-06
1871,3.18635318130589e-09,6.201705517128175e-06
1872,5.442605366390296e-09,5.351895282501573e-06
1873,1.1972008717719973e-08,4.903136087364146e-06
1874,6.5720701658555924e-09,5.625094388506113e-06
