year,un_DET ignoble_ADJ,un_DET vignoble_NOUN
1800,1.2576657937302116e-08,2.5782149615238836e-07
1801,1.6668277424969347e-08,3.166972768475773e-07
1802,6.713520406265161e-09,1.1860552717735118e-07
1803,4.095712213825209e-08,1.3652375230321923e-07
1804,1.9774807569206132e-08,1.507829097135982e-07
1805,8.528632911009026e-09,1.449867568226182e-07
1806,2.881669125542885e-09,1.0950342499427279e-07
1807,8.540865792383556e-09,1.5658253005312872e-07
1808,5.6651849433819734e-08,1.0197333155659294e-07
1809,6.7770917766551975e-09,2.1686693685296632e-07
1810,2.574139434941003e-08,8.424456554578796e-08
1811,2.5070768572277302e-08,8.52406101259362e-08
1812,8.00162425207418e-09,1.0402111882967802e-07
1813,1.1502966579257645e-08,9.489947672136623e-08
1814,1.6992056828257773e-07,4.72001566720337e-08
1815,1.8880564667256294e-08,1.7801675689099739e-07
1816,5.7940098940889584e-08,8.806894413737609e-08
1817,2.8023721676539992e-08,7.784367106467016e-08
1818,3.457141417584353e-08,9.894577335245458e-08
1819,3.3123360054787554e-08,5.072014630513877e-08
1820,3.2039500830194356e-08,1.0679833195581523e-07
1821,2.9584464655840748e-08,3.8459803231027934e-08
1822,3.308453244699194e-08,6.817418807258946e-08
1823,2.0753642027138142e-08,1.6207606634566218e-07
1824,4.126345132249298e-08,9.600068295867459e-08
1825,4.9310479255382234e-08,1.1623184681397447e-07
1826,4.227832395287123e-08,1.3740455573341137e-07
1827,4.977327350275118e-08,1.336504537041705e-07
1828,2.4765213879618386e-08,8.805409135170805e-08
1829,3.5150023336427694e-08,1.2602568943975712e-07
1830,6.575206867864836e-08,9.184415294960502e-08
1831,2.2451336745277217e-07,1.7306238930814288e-07
1832,1.8671357171484715e-07,5.547287562635006e-08
1833,1.5869570724191817e-07,1.158362863407092e-07
1834,1.3441724666662935e-07,8.867804535128698e-08
1835,9.605121675804185e-08,1.0437061348511634e-07
1836,1.0013917828288754e-07,1.3172669977024043e-07
1837,9.949784085527824e-08,1.0923888460467879e-07
1838,8.900148262824814e-08,9.215756180402934e-08
