year,un_DET empire_NOUN,un_DET vampire_NOUN
1800,5.753821113785307e-06,6.288328968651058e-09
1801,5.302893463010605e-06,2.3811825844433088e-09
1802,5.046329363267432e-06,0.0
1803,5.2347104713135195e-06,7.801356893821776e-09
1804,5.591326882381509e-06,0.0
1805,5.034736460629574e-06,2.842877711017877e-09
1806,4.26198857894633e-06,0.0
1807,5.611348669276595e-06,6.263301344233696e-08
1808,5.180245153724172e-06,4.305540457494317e-08
1809,4.791403696913221e-06,3.840352036377226e-08
1810,5.262944872796993e-06,3.510190182964834e-08
1811,4.24949521260487e-06,1.0028307073639553e-08
1812,4.542255567230313e-06,2.6672083208723052e-08
1813,4.514914408559889e-06,3.1633157648869314e-08
1814,6.029033279730811e-06,6.293354282149721e-09
1815,5.1193302965657494e-06,1.0788894222457657e-08
1816,4.032630755546052e-06,1.3905623319487859e-08
1817,5.445943244808404e-06,1.8682480451559513e-08
1818,4.886490579281144e-06,2.980294344645529e-08
1819,5.603023396361095e-06,3.4158465056499665e-08
1820,5.691164162158202e-06,1.2697134543770972e-07
1821,5.1486828951397e-06,5.5224333550540905e-08
1822,4.88648518626178e-06,5.6143449000956025e-08
1823,3.847329914208331e-06,2.3718448094456335e-08
1824,4.209714226988126e-06,2.778967189698278e-08
1825,4.474926228681397e-06,2.4655240515869536e-08
1826,4.669993110439918e-06,1.2066938381849468e-07
1827,4.496185635360916e-06,6.54426393076335e-08
1828,4.4091250117617165e-06,8.80540890202397e-08
1829,4.666379680884347e-06,4.6295149047637096e-08
1830,4.722668041523548e-06,7.410153757270166e-08
1831,3.9367796276224e-06,1.3720261993199756e-07
1832,3.9115142129730884e-06,9.8768779821512e-08
1833,3.9998267382657104e-06,5.5601415582806624e-08
1834,4.577653974990881e-06,3.453776287187793e-08
1835,4.003142521469272e-06,4.159698363537245e-08
1836,4.0788230428745464e-06,7.796070056187432e-08
1837,3.738474823933302e-06,8.627784509052105e-08
1838,3.873142482291314e-06,3.91354035844671e-08
1839,3.2412479598065147e-06,6.082583325905944e-08
1840,4.152400030932313e-06,7.771020127389505e-08
1841,4.184913663607404e-06,5.393260682495793e-08
1842,3.863960728267557e-06,5.9032732480091e-08
1843,4.200404262633128e-06,6.615740266724401e-08
1844,4.27668714308993e-06,7.190015011149242e-08
1845,3.6249160650925205e-06,1.0211817047522942e-07
1846,3.4061488491943237e-06,6.557041842825129e-08
1847,3.822177493617573e-06,4.314579094000237e-08
1848,3.4570317311022336e-06,9.010648005514099e-08
1849,3.8855345998456414e-06,5.9493845405711454e-08
1850,2.978332666714323e-06,4.8880770542325536e-08
1851,3.1873125827530657e-06,6.449438760824933e-08
1852,3.2370431206629746e-06,5.33864739082901e-08
1853,3.6404896945896326e-06,9.316213822607722e-08
1854,4.058852908883637e-06,5.975014244485877e-08
1855,4.121367219056538e-06,5.5722839675809155e-08
1856,3.621443962487092e-06,5.228961263981091e-08
1857,3.513710218783217e-06,3.6611316922563475e-08
1858,3.6878743614465748e-06,3.572383422412173e-08
1859,3.663309463775022e-06,8.656694761022266e-08
1860,3.990389068064815e-06,1.0435979064249423e-07
1861,3.79823709195648e-06,6.64950854933899e-08
1862,4.057151578251705e-06,5.511943279579157e-08
1863,3.9542412579862685e-06,9.689564284265373e-08
1864,3.3471996516709623e-06,7.048250250107913e-08
1865,3.982460803797494e-06,7.013197933503079e-08
1866,3.38062775639969e-06,6.909170446878221e-08
1867,3.0563006028216932e-06,6.405711161505678e-08
1868,3.2815582748924044e-06,4.7422791693563227e-08
1869,3.02582848377142e-06,6.397410079461707e-08
1870,3.1038405055028306e-06,6.020751186497364e-08
1871,2.8528481479384027e-06,6.372706451429622e-08
1872,2.7884281266210564e-06,9.131482325841489e-08
1873,2.6116937092979242e-06,7.422645675880801e-08
1874,2.3002244979863917e-06,7.647499805640834e-08
1875,2.618170796608865e-06,5.0921592276154115e-08
1876,2.733403391630418e-06,5.683253867516669e-08
1877,2.502376510449267e-06,5.5044861335673545e-08
1878,2.7828120892081643e-06,5.3747890582656055e-08
1879,2.3649198261921356e-06,6.475884517520569e-08
1880,2.5299149015722833e-06,7.637236953961235e-08
1881,2.174725196368854e-06,4.183504587196296e-08
1882,2.429881192256289e-06,5.723631213427893e-08
1883,2.2357820004259565e-06,4.9922778466715556e-08
1884,2.795818605960676e-06,4.291103117282091e-08
1885,2.187648668439124e-06,6.639005101227724e-08
1886,2.3019506087962327e-06,4.904632433522238e-08
1887,2.25770218520438e-06,5.0272717988519844e-08
1888,2.1665879508248054e-06,4.565242694987148e-08
1889,2.0925556274420387e-06,5.826577087475471e-08
1890,1.9584507331416035e-06,4.7847019957192316e-08
1891,1.9607100369967156e-06,5.354345000707639e-08
1892,1.8134806190062136e-06,4.387958796314706e-08
1893,2.143744854521401e-06,4.9267331658775504e-08
1894,2.132440959812243e-06,4.915200779720408e-08
1895,1.965679459203784e-06,7.041779270799964e-08
1896,1.9413019032299417e-06,6.250850503874972e-08
1897,2.0306096786271155e-06,4.544836695874466e-08
