year,en_PRON irez_VERB
1800,2.829747991484055e-08
1801,9.524730337773235e-09
1802,2.9091921760482364e-08
1803,3.90067853572873e-08
1804,8.404293083685843e-08
1805,5.401467717547348e-08
1806,5.76333825108577e-08
1807,1.9928686256776018e-08
1808,1.4276265858370607e-07
1809,3.388545621874073e-08
1810,7.722418615685456e-08
1811,1.2535384286138651e-08
1812,2.1337665856435706e-08
1813,2.300593315851529e-08
1814,4.405347908686963e-08
1815,2.4275012222574333e-08
1816,2.0858434979231788e-08
1817,2.0239355080775567e-08
1818,3.5763530803478716e-08
1819,6.521161566297451e-08
1820,6.526564533260171e-08
1821,8.480879643002481e-08
1822,1.2030739071633434e-07
1823,5.830785099192326e-08
1824,2.433701524751086e-07
1825,1.6290069027036225e-07
1826,4.580151724553616e-08
1827,3.041700225026034e-08
1828,4.677873732816806e-08
1829,1.971830521085849e-08
1830,5.4271545479878114e-08
1831,4.2096257146795324e-08
1832,2.841293600397421e-08
1833,3.359252431778259e-08
1834,3.080395316601425e-08
1835,1.5277437626082246e-07
1836,7.997692819117219e-08
1837,9.114837240531415e-08
1838,6.375283589932224e-08
1839,1.0277468476260765e-07
1840,6.942960339983983e-08
1841,9.052973126699726e-08
1842,1.0196562527653441e-07
1843,6.025049259505977e-08
1844,3.567564732520623e-08
1845,5.5802278353667134e-08
1846,3.9810608143397985e-08
1847,2.6966118227278457e-08
1848,3.861706332486392e-08
1849,4.608678239037545e-08
1850,5.159636984330973e-08
1851,4.127640806927957e-08
1852,7.487127362537649e-08
1853,2.388772735173461e-08
1854,5.975014261139222e-08
1855,6.739810487488285e-08
1856,6.316170697573398e-08
1857,4.002837528105374e-08
1858,5.3830436996804565e-08
1859,7.027199444564758e-08
1860,5.40107691904268e-08
1861,5.0932406736592384e-08
1862,5.647482836934614e-08
1863,5.4441368746438457e-08
1864,7.240038968348017e-08
1865,6.401308638714909e-08
1866,4.670988573707291e-08
1867,7.521857980918867e-08
1868,5.335063946176888e-08
1869,1.3283171540479088e-07
1870,6.078091985273204e-08
1871,3.9298356568906456e-08
1872,5.624025689598966e-08
1873,5.986004225633224e-08
1874,7.169531102135807e-08
1875,7.609631325067312e-08
1876,1.0338685285660176e-07
1877,7.978412952525105e-08
1878,6.461824852976861e-08
1879,7.453376582589044e-08
1880,5.455169471701993e-08
1881,4.2532295907449225e-08
1882,4.19289278852375e-08
1883,6.5721124542506e-08
1884,8.516189353713344e-08
