year,son_DET âne_NOUN,son_DET ane_NOUN,son_DET van_NOUN
1800,5.91102930602716e-07,4.4018303668735825e-08,1.8864986905953174e-08
1801,2.7145480885337747e-07,2.3811825400343878e-08,3.333655484993869e-08
1802,8.056224487518193e-07,2.9091921760482364e-08,2.2378401354217203e-09
1803,3.4130937143217466e-07,8.581492316750428e-08,1.3652374342143503e-08
1804,2.546006498960196e-07,3.460591280202152e-08,4.943701892301533e-09
1805,5.884757108276517e-07,3.4114532976303735e-08,1.9900143755080535e-08
1806,3.976703339958476e-07,3.1698360380971735e-08,2.881669125542885e-09
1807,8.142291769708265e-07,2.562259560079383e-08,8.540865792383556e-09
1808,6.435650101721535e-07,9.064295980465431e-09,9.064295980465431e-09
1809,5.850889124303649e-07,6.551188569403621e-08,4.518061036407062e-09
1810,1.4110964912106283e-06,2.574139479349924e-08,0.0
1811,3.560049037787394e-07,5.766276522933822e-08,2.0056614147279106e-08
1812,6.588004453078611e-07,4.800974906515876e-08,2.6672082320544632e-09
1813,4.3998847343296177e-07,5.7514832008109806e-08,2.8757416448144113e-09
1814,2.7690759907272877e-07,3.776012569289833e-08,0.0
1815,2.724195871106616e-07,1.3486117778072071e-08,2.697223555614414e-09
1816,1.8309070526356663e-07,2.0858434979231788e-08,3.0128852301913867e-08
1817,4.1724206489845983e-07,3.42512151974006e-08,2.1796227933634782e-08
1818,3.993594361872965e-07,2.3842354535119625e-08,8.34482416500748e-09
1819,5.97255558787424e-07,1.9666995698663925e-08,5.175525008560555e-09
1820,8.86426164470322e-07,2.7292906601417144e-08,2.3732962262101864e-09
1821,7.544038336249059e-07,3.845980489636247e-08,2.9584464877885353e-09
1822,5.554191204737435e-07,2.606660132187244e-08,1.2030739071633434e-08
1823,3.2118732140595796e-07,1.1859224269272772e-08,1.8777104315859106e-08
1824,5.482144516122389e-07,4.126345309884982e-08,5.894778887238772e-09
1825,7.238074086757251e-07,3.962449479644192e-08,7.044354433105582e-09
1826,7.310626899403871e-07,1.761596868377069e-08,1.6735169694470642e-08
1827,3.0693519015301263e-07,3.318218311232357e-08,7.373818333711313e-09
1828,3.9440894283870875e-07,2.2930752408001354e-08,2.5682442839070063e-08
1829,7.56154122427688e-07,2.7434163218931218e-08,1.2002446869718852e-08
1830,6.857000969251459e-07,2.7135773628117477e-08,1.7742621150063087e-08
