year,un_DET air_NOUN,un_DET ver_NOUN
1800,3.1539114957013226e-05,1.8990753503089763e-06
1801,2.9183774074681423e-05,1.3286998949979534e-06
1802,2.820126178448845e-05,1.8148883214053058e-06
1803,3.28456627585183e-05,1.852822311576574e-06
1804,3.575037993641672e-05,1.5053571740253346e-06
1805,3.487073780661376e-05,9.779499272610792e-07
1806,3.055722015687934e-05,6.282038418348179e-07
1807,2.429306718454427e-05,1.03059772271763e-06
1808,2.6828049868754533e-05,1.0038707669579594e-06
1809,2.871905564916233e-05,1.021081792451639e-06
1810,4.341403035823532e-05,1.156022648274302e-06
1811,3.0200246897038596e-05,9.702387053778239e-07
1812,2.5333143298666982e-05,8.401706024230293e-07
1813,3.3326970822145086e-05,8.253378638301001e-07
1814,2.6513900877489505e-05,9.062430073036865e-07
1815,2.3487422566859095e-05,1.0950728190906034e-06
1816,2.6483259148335492e-05,1.439232029554205e-06
1817,2.63189456291002e-05,1.3233423459269034e-06
1818,2.873718946716508e-05,9.739601907199358e-07
1819,2.4065156139840838e-05,8.601722794043809e-07
1820,2.803930794925691e-05,7.35721839006942e-07
1821,3.1554789529764093e-05,1.0403870440711671e-06
1822,2.90572434380465e-05,8.792464996076887e-07
1823,2.759740365831931e-05,8.113685900923429e-07
1824,2.4607332676396254e-05,1.0770603244836252e-06
1825,2.7951998561093205e-05,6.850634886035323e-07
1826,2.211420704156808e-05,7.372282686546328e-07
1827,1.9799625064820248e-05,8.415370338354933e-07
1828,2.5229331214404738e-05,1.3253975810201268e-06
1829,2.8438082637194384e-05,7.93018793743272e-07
1830,2.8202417325928764e-05,1.0520330044894166e-06
1831,2.4743244182445778e-05,1.164663096187013e-06
1832,2.7678257595198374e-05,8.523880659083716e-07
1833,2.8152851399454448e-05,8.919394016704274e-07
1834,2.4972671269551938e-05,8.373074171785788e-07
1835,3.5641052249957283e-05,9.650500061297862e-07
1836,2.651873523973336e-05,8.797461932275041e-07
1837,2.4754087718292794e-05,9.880205151802102e-07
1838,2.219482431087272e-05,8.376239080121195e-07
1839,2.432054471057654e-05,8.739344021790885e-07
1840,2.5315690649563294e-05,7.204118048775854e-07
1841,2.1713653779897868e-05,8.449442034930144e-07
1842,2.5270704668400867e-05,8.727452964762961e-07
1843,2.5331198287403822e-05,9.752310390354069e-07
1844,2.3661187839252307e-05,8.271261551229259e-07
1845,2.451003473424862e-05,9.78213972047115e-07
1846,2.186480668342483e-05,8.606117187781592e-07
1847,1.578380854994066e-05,6.261532696782979e-07
1848,1.847504712770842e-05,8.471618677674542e-07
1849,1.6754639375449187e-05,6.318078700218166e-07
1850,1.928482288349187e-05,9.1787224221207e-07
