year,son_DET if_NOUN,son_DET vif_ADJ
1800,0.0,8.174827570428533e-08
1801,2.3811825844433088e-09,2.8574191013319705e-08
1802,2.2378401354217203e-09,2.6854081625060644e-08
1803,0.0,5.0708819365752333e-08
1804,2.4718509461507665e-09,5.685257131737842e-08
1805,0.0,9.381496379745613e-08
1806,5.76333825108577e-09,8.35684019762084e-08
1807,0.0,1.0533734240425474e-07
1808,0.0,7.478044494746428e-08
1809,0.0,9.48792822086375e-08
1810,0.0,3.042164919975221e-08
1811,0.0,7.270522672797597e-08
1812,0.0,5.601137331723294e-08
1813,0.0,2.3005932492381476e-08
1814,0.0,6.608021863030444e-08
1815,0.0,1.4295284911369777e-07
1816,0.0,7.416332437060191e-08
1817,1.556873407970727e-09,1.1987925185863446e-07
1818,1.5497530370112145e-08,9.77536522839273e-08
1819,0.0,1.438795935726489e-07
1820,0.0,5.102586797534059e-08
1821,0.0,9.664258238117895e-08
1822,1.0025615893027862e-09,6.717162648328667e-08
1823,0.0,1.284749315821898e-07
1824,2.5263338088166165e-09,6.568467902923203e-08
1825,0.0,7.748789698780456e-08
1826,8.807984341885344e-10,8.719904531773182e-08
1827,1.8434546111834038e-09,2.1752764922666756e-07
1828,9.172301251858528e-10,9.997808536610364e-08
1829,0.0,2.1947330042237922e-07
1830,0.0,1.6177095751856996e-07
1831,0.0,1.1069756622461568e-07
1832,0.0,1.1500473662273691e-07
1833,0.0,1.8186296735223095e-07
1834,8.401078055442213e-09,1.260161708316332e-07
1835,1.5126175867408165e-09,1.4294236194700716e-07
1836,2.688300027031687e-09,1.418078250381427e-07
1837,6.957890930081589e-10,1.3985360336477015e-07
1838,0.0,1.2056228770873645e-07
1839,0.0,1.4472353671024507e-07
1840,1.2739377330817092e-09,1.4268102122017012e-07
1841,0.0,1.5280905918402254e-07
1842,1.341653010911159e-09,1.5697340405296245e-07
1843,4.134837805480629e-09,1.8547701063909017e-07
1844,5.488561272137815e-10,2.0801646627433001e-07
1845,3.9061593959388574e-09,1.6294265847704992e-07
1846,4.6836012845830055e-09,1.9378400040181987e-07
1847,1.0786447290911383e-09,2.5294218453097983e-07
1848,0.0,1.9067175660580915e-07
1849,1.6758829879393033e-09,1.9524037186968712e-07
1850,2.0366988096043315e-09,1.7447719358187896e-07
1851,6.449438760824933e-10,2.12186531456382e-07
1852,3.2552727180501506e-09,1.6862312435250715e-07
1853,0.0,1.6542251168871758e-07
1854,1.0391328908454511e-09,1.7301563026705935e-07
1855,2.653468555990912e-09,1.883962603699274e-07
1856,2.5885946164372342e-09,2.2106597885596102e-07
1857,0.0,1.8842624749382253e-07
1858,1.4681028059904122e-09,2.1091743085399628e-07
1859,0.0,2.6122849483556365e-07
1860,4.577183909670879e-10,2.6044176237860484e-07
