year,en_ADP eau_NOUN,en_ADP veau_NOUN
1800,3.1787503758096136e-06,2.861189756231397e-07
1801,2.576439555923571e-06,1.3334621939975477e-07
1802,1.4859258499200223e-06,6.847790814390464e-07
1803,2.201932985057553e-06,1.053183189547724e-07
1804,3.030489324373775e-06,1.2112069280867388e-07
1805,2.771805839074659e-06,4.378031688290207e-07
1806,1.8154515828427975e-06,3.5156364663890827e-07
1807,1.3608445215140819e-06,2.1636859059981361e-07
1808,1.4004336890138802e-06,2.8779140670565084e-07
1809,2.3855361632740824e-06,2.1234886560250743e-07
1810,1.8884823020925978e-06,4.890864833129172e-07
1811,1.5669229469494894e-06,2.7828550974717814e-07
1812,1.2935960285176407e-06,7.334822456073198e-07
1813,4.155446731601842e-06,3.997280941803183e-07
1814,1.2838443126383936e-06,1.7936059748535627e-07
1815,1.4484090797850513e-06,3.020890346761007e-07
1816,2.1762300548289204e-06,2.2944278477154967e-07
1817,1.3918448757976876e-06,1.5724421142948586e-07
1818,1.5902850138971303e-06,7.534184167656832e-07
1819,1.3725492635785486e-06,1.666519011678247e-07
1820,9.97971028482425e-07,6.562164003298676e-07
1821,1.6942037053269132e-06,4.605315098160645e-07
1822,1.7294187273364514e-06,1.373509377344817e-07
1823,1.5199573006885458e-06,5.761606431953226e-07
1824,1.6134852103277808e-06,3.0400217454484846e-07
1825,9.906123521474797e-07,4.1649746540528554e-07
1826,1.0745741292339517e-06,2.624779256166221e-07
1827,1.295948550250614e-06,2.617705430196793e-07
1828,1.5776357807917307e-06,1.72439257539736e-07
1829,1.1325165587550146e-06,1.8689523528792051e-07
1830,1.4121038334202751e-06,2.3587249287082557e-07
1831,1.3642305702887825e-06,2.401045742228547e-07
1832,1.2853470745533002e-06,1.4477067211693395e-07
1833,1.4502702546659307e-06,2.0618858442844612e-07
1834,1.1350789714814624e-06,1.1948199585276598e-07
1835,1.5663155323863975e-06,3.6075929443768473e-07
1836,1.5007434512881446e-06,2.4463529424423314e-07
1837,1.0840394311095736e-06,4.188650479797218e-07
1838,1.4972448525440996e-06,5.851373998666531e-07
1839,1.4038881772648892e-06,2.852521920893025e-07
1840,1.4242623365134932e-06,5.102120524957954e-07
1841,1.6276090946121258e-06,3.47351666984963e-07
1842,1.3577528821251406e-06,7.627297122780874e-07
1843,1.7366319041145495e-06,2.3745782584683184e-07
1844,1.482460447732592e-06,2.3655698555558047e-07
