year,ancien_ADJ empire_NOUN,ancien_ADJ vampire_NOUN
1800,1.572082268808117e-07,0.0
1801,2.143064286030949e-07,0.0
1802,1.767893706983159e-07,0.0
1803,3.432596926700171e-07,0.0
1804,2.768472988634585e-07,0.0
1805,2.359588497924392e-07,0.0
1806,1.5561013011478053e-07,0.0
1807,3.4732851261765063e-07,0.0
1808,3.0818606688853833e-07,0.0
1809,3.094871843245528e-07,0.0
1810,1.9423051611511255e-07,0.0
1811,2.1059445032278745e-07,0.0
1812,1.6803411639898513e-07,0.0
1813,3.163315795973176e-07,0.0
1814,4.845882859427775e-07,0.0
1815,2.724195766745652e-07,0.0
1816,3.5691098787538067e-07,0.0
1817,2.5844098416882844e-07,0.0
1818,2.849161369056219e-07,0.0
1819,3.747080192795238e-07,0.0
1820,3.3226146900489084e-07,0.0
1821,4.122102179593412e-07,0.0
1822,2.095353721642823e-07,0.0
1823,3.47870575012621e-07,0.0
1824,2.2989637482595526e-07,0.0
1825,2.12211174854815e-07,0.0
1826,2.933058748100237e-07,0.0
1827,3.2168284036515615e-07,0.0
1828,3.439613074363024e-07,0.0
1829,3.7379048056784825e-07,0.0
1830,3.590271395736977e-07,0.0
1831,3.8354367259962885e-07,0.0
1832,4.3701799834483523e-07,0.0
1833,3.7878466641050323e-07,0.0
1834,3.4537764892483835e-07,0.0
1835,3.3201955318418186e-07,0.0
1836,3.1721939697249013e-07,0.0
1837,2.5048406993022354e-07,0.0
1838,3.4653770097925474e-07,0.0
1839,3.355908120283857e-07,0.0
1840,4.439673091383156e-07,0.0
1841,3.158909862577275e-07,0.0
1842,3.5151307820058264e-07,0.0
1843,3.804050808242643e-07,0.0
1844,3.68282472962278e-07,0.0
1845,3.504383276897727e-07,0.0
1846,3.74102627986872e-07,0.0
1847,3.327619051418651e-07,0.0
1848,3.4514002322794113e-07,0.0
1849,3.125521743641002e-07,0.0
1850,3.0346813417736485e-07,0.0
1851,3.7277755837727966e-07,0.0
1852,3.391994218837624e-07,0.0
1853,4.986563038045233e-07,0.0
1854,4.48905413286127e-07,0.0
1855,3.884677859389285e-07,0.0
1856,3.4583623076400727e-07,0.0
1857,2.894734817404654e-07,0.0
1858,3.792598936569469e-07,0.0
1859,4.0737387552169935e-07,0.0
1860,4.0462304706778696e-07,0.0
1861,3.136115935831185e-07,0.0
1862,3.569209252596295e-07,0.0
1863,3.900798741796052e-07,0.0
1864,4.118671341757363e-07,0.0
1865,4.0572997139776135e-07,0.0
1866,4.009265082705049e-07,0.0
1867,5.095452078052176e-07,0.0
1868,5.048551261488399e-07,0.0
