year,son_DET ignoble_ADJ,son_DET vignoble_NOUN
1800,3.144164484325529e-09,9.432493186523061e-08
1801,1.904946067554647e-08,1.1191557991452328e-07
1802,4.475680270843441e-09,3.3567602031325805e-08
1803,1.950339223455444e-09,4.290746247193056e-08
1804,2.4718509461507665e-09,7.415552971679062e-08
1805,1.1371510844071508e-08,4.8328921309348516e-08
1806,0.0,3.458002950651462e-08
1807,1.4234775136401367e-08,2.2775641372874134e-08
1808,0.0,8.837688625362716e-08
1809,0.0,1.581321384946932e-08
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,2.5070767684098882e-09,3.008492210909708e-08
1812,2.9339290108509886e-08,6.40129966811287e-08
1813,5.751483289628823e-09,2.5881675469463516e-08
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,1.0788894222457657e-08,1.3486118000116676e-08
1816,2.5493642752394408e-08,1.1588019432906549e-08
1817,2.490997452753163e-08,4.0478709273372715e-08
1818,3.2187177367859476e-08,2.3842355423298045e-08
1819,2.173720581311045e-08,8.280840013696888e-09
1820,7.119888678630559e-09,3.20394981656591e-08
1821,3.4515210245444905e-08,3.550135829755163e-08
1822,1.9048670196752937e-08,1.9048670196752937e-08
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,3.8737120178211626e-08,2.5263338088166165e-08
1825,2.0252518773133943e-08,4.402721520690989e-09
1826,2.3781558056157337e-08,3.082794464148719e-08
1827,1.3825909306319772e-08,3.5947363641319896e-08
1828,3.760643352279658e-08,1.1923991238838028e-08
1829,5.058173968564006e-08,1.2002446148073886e-08
1830,7.097048082549406e-08,2.6092090266160994e-08
1831,5.3010102085693234e-08,1.5591205659859497e-08
1832,3.6530916958099624e-08,1.3529969367098715e-08
1833,6.255159235024621e-08,3.70676112027013e-08
1834,1.110809151327885e-07,3.640467038934503e-08
1835,4.0084366048631637e-08,3.327758690829796e-08
1836,3.427582484505365e-08,1.9490174807401672e-08
1837,8.279889995854717e-08,3.6876822928633146e-08
1838,4.7341213615936795e-08,1.3886756189407379e-08
1839,4.5444586982412716e-08,1.6080392239992136e-08
1840,6.17859825524647e-08,1.52872523528913e-08
1841,3.5955072252846776e-08,1.7977536348467993e-08
1842,4.159124422642435e-08,3.152884531232303e-08
1843,6.202256486176339e-08,4.725528685023406e-08
1844,8.94635470150007e-08,1.4819115712327857e-08
1845,6.752075876192976e-08,2.5111025980795176e-08
1846,6.6741314697083e-08,2.927250686290961e-08
1847,5.44715597072809e-08,8.629157832729106e-09
1848,4.022610816667438e-08,1.769948759777762e-08
1849,7.960444037280467e-08,2.2624419893091385e-08
1850,4.820187271548093e-08,2.0366988984221734e-08
1851,9.222697627819798e-08,3.031236150974337e-08
1852,4.166749079104193e-08,1.1718982007025147e-08
1853,6.270528274399112e-08,3.4040011698266426e-08
1854,3.221311928314208e-08,2.7017454495847915e-08
1855,6.209116065747367e-08,2.653468555990912e-08
1856,6.212626857404757e-08,2.27796321250473e-08
1857,3.026535561057031e-08,2.636014878598658e-08
1858,6.459652274193317e-08,2.0553438895287712e-08
1859,1.013342512123927e-07,1.8841040949624244e-08
1860,4.989130530930197e-08,2.1970483293776155e-08
1861,7.073945545998939e-08,9.903524222920623e-09
1862,4.6535259229374404e-08,2.349352912212055e-08
1863,4.7948361725502764e-08,2.5472566278494924e-08
1864,4.507044337742627e-08,2.4932585773740357e-08
1865,5.6482132748669756e-08,3.953749289076214e-08
1866,4.768300532198566e-08,1.702964524952222e-08
1867,6.599823976216612e-08,5.4351486866721643e-08
1868,6.125443718918433e-08,4.8904752913969674e-08
1869,4.6393431318847433e-08,5.7137174991339634e-08
1870,6.82351810610271e-08,3.612450827361613e-08
1871,6.478918224139818e-08,3.9298356568906456e-08
1872,4.777398032729252e-08,5.865918950576088e-08
1873,4.9085237374679735e-08,6.824044751496672e-08
1874,4.122480135038131e-08,1.0216581713962114e-07
1875,4.3483606049221635e-08,9.26887414598454e-08
1876,3.3857681103199866e-08,1.1487428452916504e-07
1877,3.5871932535513906e-08,1.1812998679250342e-07
1878,4.1669712069758447e-08,8.092378489532592e-08
1879,3.604501985776665e-08,1.0874599043475541e-07
1880,3.144744553651435e-08,8.664092776555776e-08
1881,8.01838364594687e-08,1.2411063377015807e-07
1882,5.124646662579835e-08,1.5240832507146251e-07
1883,3.222862687835004e-08,1.3144225086136885e-07
1884,4.8192386969958534e-08,1.2411190919436876e-07
1885,2.7716232864349877e-08,1.1731056881458812e-07
1886,2.5168509054651622e-08,1.2648789748936906e-07
1887,3.917354862714717e-08,1.273140305402265e-07
1888,3.804368908788547e-08,1.8134158175087123e-07
1889,2.4434033185638526e-08,1.3156787248558288e-07
1890,2.4251230634764198e-08,1.1994527326919524e-07
1891,3.1871099537283953e-08,1.147359576236795e-07
1892,2.8835156040685206e-08,1.6047391326878824e-07
1893,2.8328715484526867e-08,9.237624731817107e-08
1894,2.520615716150587e-08,1.688812467648404e-07
1895,4.2130302579934664e-08,1.7153051068419245e-07
1896,3.656157954168293e-08,1.50374241503215e-07
1897,2.330685333618021e-08,1.5557324628545643e-07
1898,5.092519328453449e-08,1.6918480882921472e-07
1899,2.432134493801641e-08,1.3321463931958988e-07
1900,1.972600216504361e-08,1.7390027817754117e-07
1901,1.9560586150824122e-08,1.3915960306309927e-07
1902,1.0311596021495006e-08,1.5025468824703125e-07
1903,3.240132095960746e-08,1.3824563538378243e-07
1904,2.4723275870996986e-08,1.3275323862416144e-07
1905,2.9416327151920996e-08,1.2798682069714573e-07
1906,2.4692084821253957e-08,1.208883348979839e-07
1907,3.7028472732458795e-08,8.999976053303271e-08
1908,1.817213934884876e-08,1.2180245168025294e-07
1909,2.7504918342913243e-08,1.1222006379707494e-07
1910,5.504475186768332e-08,9.031614711663138e-08
1911,1.755723388896513e-08,1.186443463474518e-07
1912,2.6568047317709897e-08,8.02250894604839e-08
1913,2.227255713194154e-08,7.636305099367746e-08
1914,1.875088173619588e-08,8.772734472195509e-08
1915,2.7095753085681906e-08,7.539687585378374e-08
1916,1.538244731591476e-08,8.350470981355329e-08
1917,1.864292142883528e-08,1.2063067345025047e-07
1918,4.2499593178035866e-08,8.614782398552734e-08
1919,2.7623545006960626e-08,9.852397575560445e-08
1920,4.316172219631653e-08,9.389566990591902e-08
1921,2.9533714140939082e-08,7.042655170153012e-08
