year,ton_DET air_NOUN,ton_DET verre_NOUN
1800,6.288328791015374e-08,2.2009150946189493e-08
1801,1.0477203105097033e-07,1.904946067554647e-08
1802,6.042168365638645e-08,6.713520406265161e-09
1803,1.1702035429550506e-07,5.851017448321727e-09
1804,2.447132398941676e-07,2.2246657849223084e-08
1805,2.1605870870189392e-07,1.9900143755080535e-08
1806,8.068673817973604e-08,5.76333825108577e-09
1807,1.1103124819555887e-07,8.540865792383556e-09
1808,5.4385774994614167e-08,4.078933191209444e-08
1809,6.325285362152044e-08,6.7770915546105925e-09
1810,1.8018976355449468e-07,9.360507036149102e-09
1811,1.328750656170996e-07,1.0028307073639553e-08
1812,3.7340914360584065e-08,3.467370746079723e-08
1813,1.1215392459185125e-07,4.888760685162197e-08
1814,8.496027881221835e-08,1.2586708564299443e-08
1815,1.0788894311275499e-07,5.394447111228828e-09
1816,2.0858434979231788e-08,4.6352077731626196e-09
1817,1.3233423956648949e-07,1.556873407970727e-09
1818,8.821671215741844e-08,3.5763532135746345e-09
1819,8.9019032145643e-08,2.3807414706311647e-08
1820,1.5663755448258598e-07,1.1866481131050932e-09
1821,8.185035582641831e-08,1.8736827200882544e-08
1822,9.524335098376469e-08,6.015369535816717e-09
1823,9.981513482415494e-08,4.0519015698237126e-08
1824,1.6168537086969081e-07,3.115811697540494e-08
1825,7.748789787598298e-08,7.044354433105582e-09
1826,9.776862741617265e-08,1.2331177856594877e-08
1827,5.0695001418965546e-08,7.373818444733615e-09
1828,6.87922590003609e-08,8.255071293206129e-09
1829,4.286588117796697e-08,1.0287811491593857e-08
1830,8.871310530622623e-08,1.7742620928018482e-08
1831,1.0446108422712541e-07,2.3386808489789246e-08
1832,1.1365173968602704e-07,2.705993829010822e-08
1833,1.0541102213323938e-07,2.3167257001688313e-08
1834,4.947301412983052e-08,2.3336326870904145e-08
1835,9.983276072489389e-08,3.327758690829796e-08
1836,6.989580292326991e-08,2.352262562510532e-08
1837,8.001574336446993e-08,2.156946243836444e-08
1838,7.19586488173718e-08,1.5149188570262595e-08
1839,7.83045219776568e-08,2.23727205650448e-08
1840,6.624476167615967e-08,9.554533331179726e-09
1841,7.38363050700741e-08,2.118781061710706e-08
1842,1.1806546673653884e-07,2.2808102073668124e-08
