year,en_ADP ans_NOUN,en_ADP vents_NOUN
1800,1.006132621661493e-07,3.144164395507687e-08
1801,9.28661236798689e-08,9.524730337773235e-09
1802,9.175144555229053e-08,2.0140561218795483e-08
1803,9.946729906396001e-08,2.5354410126965377e-08
1804,9.887404028852131e-08,2.7190360185613827e-08
1805,6.25433098644379e-08,2.2743021688143017e-08
1806,1.6137346481315262e-07,2.881669125542885e-08
1807,1.5088862248546775e-07,1.1387820464392462e-08
1808,1.427626639127766e-07,0.0
1809,7.906607124574805e-08,2.259030518203531e-09
1810,1.4508786394529238e-07,0.0
1811,8.273353602206157e-08,7.521229861140455e-09
1812,9.068508077803017e-08,2.6672082320544632e-09
1813,7.476928232108548e-08,0.0
1814,3.1466771410748606e-08,2.5173417128598885e-08
1815,4.855002422310406e-08,1.888056444521169e-08
1816,5.7940095388175905e-08,2.0858434979231788e-08
1817,6.383180817248757e-08,1.8682481339737933e-08
1818,6.318223921830679e-08,7.152706427149269e-09
1819,1.066158181739496e-07,1.035105001712111e-09
1820,4.509263007435038e-08,2.8479554714522237e-08
1821,1.0354562518521959e-07,2.2681423739179252e-08
1822,1.3334069137727056e-07,9.023054303725075e-09
1823,4.348382143248841e-08,1.2847493402468046e-08
1824,5.557934468214398e-08,1.2631669044083083e-08
1825,4.138558074018306e-08,7.924898959288385e-09
1826,3.435113959948666e-08,0.0
1827,6.544263980723386e-08,5.530363722527909e-09
1828,4.035812389835414e-08,0.0
1829,5.658296359234427e-08,4.286588028978855e-09
1830,2.7135772739939057e-08,0.0
1831,4.989185842241284e-08,1.5591206103948707e-09
1832,3.9236911608675484e-08,1.3529969367098715e-09
1833,3.938433690287013e-08,6.950177322551099e-09
1834,4.760610661236342e-08,1.586870257419548e-08
1835,9.756383434478266e-08,8.31939672707449e-09
1836,3.09154504218867e-08,1.008112526790228e-08
1837,3.478945287405111e-08,1.0436836284100082e-08
1838,3.282324301245865e-08,1.3886756411451984e-08
1839,6.711815891957684e-08,1.1885507689157748e-08
1840,6.369688487772862e-08,1.1465439264668476e-08
1841,9.052973348744331e-08,8.988767952189392e-09
1842,7.24492630332918e-08,6.708265054555795e-09
1843,3.544146692791017e-08,1.7130041385371442e-08
1844,3.402907938765409e-08,2.7442805805577564e-09
1845,2.566904799827796e-08,5.022205318283568e-09
1846,3.2785206105501175e-08,1.5221703453249802e-08
1847,2.1572895470001185e-08,5.3932236454556914e-09
1848,1.930853293918844e-08,8.84974404868899e-09
1849,4.7762666932626985e-08,1.6758829879393033e-09
1850,3.2587180065490884e-08,1.3577992064028876e-08
1851,3.4826968864365426e-08,8.384270167027807e-09
1852,2.79953455972759e-08,1.4974254947119903e-08
1853,6.270528518648177e-08,3.5831591027601917e-09
1854,3.273268556203135e-08,1.6626126086993764e-08
1855,2.4411910715116392e-08,1.4859423913549108e-08
1856,1.501384794266869e-08,4.141751386299575e-09
1857,4.58861838525948e-08,8.298565390418844e-09
1858,5.285170184832211e-08,2.3979012442332248e-08
1859,2.9025388315062628e-08,2.393321385518732e-08
1860,1.968189100587381e-08,2.4259074915544687e-08
1861,1.9807047502151676e-08,1.3204698057212028e-08
1862,3.252950275811628e-08,7.6805766469068e-09
1863,2.6970952249349978e-08,6.143383812773351e-08
1864,1.821996631345968e-08,1.1507347075223606e-08
1865,2.07101151783462e-08,1.7886009118228685e-08
1866,3.113992252945508e-08,1.848932973391726e-08
1867,3.299911810472622e-08,1.2132028714972876e-08
1868,4.8410764397210926e-08,3.01332316876568e-08
1869,5.4207061062072626e-08,1.562726070769571e-08
1870,2.2362789842134134e-08,1.4335121978348297e-08
1871,6.054070955663349e-08,9.559059765962274e-09
1872,3.5679300403046454e-08,1.3304146784243187e-08
1873,5.566984112581608e-08,5.9860045809045914e-09
1874,3.166542839050379e-08,1.4339061660262331e-08
1875,3.204055232242098e-08,4.0050688876469565e-09
1876,3.143927651549916e-08,7.255217537860403e-09
1877,2.4120781705327943e-08,6.803297813995357e-09
1878,3.502671280797287e-08,1.3285995359435532e-08
1879,2.627009876299269e-08,2.1382638437650314e-08
1880,5.519347645588368e-08,2.3746030697324727e-08
1881,3.2770786140279284e-08,1.045876146799074e-08
1882,4.192892699705908e-08,9.983077475794744e-09
1883,3.854796920554904e-08,1.0742876477287666e-08
1884,2.970763635090634e-08,1.4523733327109767e-08
1885,3.351730637479733e-08,7.7347630522695e-09
1886,2.9040586768669385e-08,2.0651085175238393e-08
1887,3.7867761704113434e-08,2.546280519766242e-08
1888,2.5996519825710607e-08,1.4583413587843097e-08
1889,2.5060547192978788e-08,1.50363277384713e-08
1890,3.211649518553017e-08,1.769684337959987e-08
1891,3.4420787553557375e-08,1.593555043477579e-08
1892,3.447681917734258e-08,1.504442992406041e-08
1893,1.9706933140906102e-08,2.6481191073290944e-08
1894,2.5836310646454308e-08,2.0164925507160092e-08
1895,2.708376523052891e-08,2.1667011962378524e-08
1896,2.594692793955744e-08,3.125425335204213e-08
1897,2.38895258020122e-08,6.584186462710306e-08
1898,2.150174849280262e-08,3.734514186781723e-08
1899,2.819064981451902e-08,3.3165470370022376e-09
1900,2.0764212682600203e-08,7.78657960331941e-09
1901,2.5149324622830704e-08,8.383108485165991e-09
1902,3.191684577741327e-08,1.2275709337927765e-08
1903,2.4300991663395166e-08,3.7801539676252105e-09
1904,4.192207558872951e-08,4.299700151477737e-09
