year,en_ADP allées_NOUN,en_ADP vallée_NOUN
1800,1.5720821977538435e-07,3.458580888349161e-08
1801,5.476719877606229e-08,4.0480104601670064e-08
1802,1.2979472785445978e-07,3.3567602031325805e-08
1803,1.3457341196954076e-07,3.120542824142092e-08
1804,2.2493843232496147e-07,4.943701892301533e-09
1805,8.52863308864471e-08,3.1271654599152043e-08
1806,1.7578182109900808e-07,2.0171682990621775e-08
1807,1.2526602688467392e-07,5.693910232196231e-09
1808,1.9261628381173068e-07,1.1194405025172216e-06
1809,2.213849938925705e-07,6.7770917766551975e-09
1810,8.190443878675069e-08,6.552354925304371e-08
1811,1.2535383575595915e-07,1.2535384108502967e-07
1812,1.0668833283489221e-07,7.468183005343576e-08
1813,1.35159851311073e-07,4.026038347149097e-08
1814,1.4160046646338742e-07,2.8320094269673746e-08
1815,1.3755840200246894e-07,2.157778822287071e-08
1816,9.502176112619054e-08,3.9399266071882266e-08
1817,1.0586739307427706e-07,2.0239354192597148e-08
1818,7.510341504257667e-08,1.2159600881744836e-07
1819,5.796588098405664e-08,7.659776812829477e-08
1820,7.831877724129299e-08,2.7292905713238724e-08
1821,7.987805616949117e-08,5.71966314311112e-08
1822,1.8246620925310708e-07,2.105379337535851e-08
1823,1.4527549296872166e-07,5.929612134636386e-08
1824,7.831634718513669e-08,4.884245363712125e-08
1825,4.0505039322624725e-08,1.2679837979590047e-07
1826,7.04638765114396e-08,4.227832484104965e-08
1827,8.387718253288767e-08,2.949527377893446e-08
1828,1.155709981048858e-07,4.861319524707142e-08
1829,1.1488055662312036e-07,2.8291481157793896e-08
1830,7.723258477199124e-08,1.461156973192601e-08
1831,1.2005229166334175e-07,3.274153215215847e-08
1832,7.170883975504694e-08,2.841293511579579e-08
1833,1.4132027104096778e-07,3.9384337569003947e-08
1834,4.85395617033646e-08,5.880754549991707e-08
1835,8.924443761770817e-08,8.546289365085613e-08
1836,8.064900214321824e-08,7.056787687531596e-08
1837,1.0784730619661786e-07,4.1747346024578746e-08
1838,9.215756335834158e-08,9.594486272135327e-08
1839,1.300414425031704e-07,2.3771014490137077e-08
1840,6.879263736436769e-08,5.6053258035149156e-08
1841,5.200644181968528e-08,9.37400130851529e-08
1842,6.03743828264669e-08,7.848669980603518e-08
1843,6.792947715439368e-08,8.210606239344997e-08
1844,6.202074587235984e-08,6.03741752147613e-08
1845,1.2388106540583976e-07,6.528866691724033e-08
1846,9.484292462502708e-08,5.913046230432428e-08
1847,6.310071398729633e-08,8.467361034547594e-08
1848,7.642960753173611e-08,6.194820656446609e-08
1849,6.368355087715827e-08,7.541473445726865e-08
1850,7.671565782629841e-08,5.7706468936657984e-08
1851,8.706741994046752e-08,6.384944484238986e-08
1852,8.138182039374442e-08,3.014382610189159e-07
1853,8.420423824873069e-08,7.823230774306467e-08
1854,4.8319680701069956e-08,8.209149610083344e-08
1855,5.200798369742188e-08,9.287139945968192e-08
1856,9.422484481547144e-08,8.076415269897552e-08
1857,9.030792114117503e-08,9.763017772002058e-08
1858,5.9213480341213653e-08,9.689478086549741e-08
1859,6.314294864750991e-08,9.318677030023537e-08
1860,5.446849016266242e-08,5.8130236707532035e-08
1861,6.696668464201139e-08,6.93246668959091e-08
1862,8.719713662230788e-08,7.816116465164669e-08
1863,7.691716064073262e-08,1.0988166138092836e-07
1864,4.746780746245349e-08,8.19898481330128e-08
1865,8.47231973466478e-08,8.142841068092821e-08
1866,7.493044051898323e-08,5.838735628316272e-08
1867,7.76449837758264e-08,1.5334884295725715e-07
1868,7.064019769131846e-08,1.1213514095054222e-07
1869,6.348574999037737e-08,6.20206943580115e-08
1870,4.013834242755365e-08,4.300536504686647e-08
1871,4.991953161948004e-08,9.02800074698007e-08
1872,4.777398032729252e-08,8.950062380108648e-08
1873,3.8909028887701425e-08,6.883905001586754e-08
1874,5.616132625618775e-08,9.320390503830822e-08
1875,7.78127713374488e-08,9.154443247894051e-08
1876,9.734083761259171e-08,8.827181829929032e-08
1877,7.236234722540758e-08,7.978412774889421e-08
1878,7.005343150012777e-08,1.2138568195041444e-07
1879,6.720257772485638e-08,1.1852090864294951e-07
1880,5.776061584583658e-08,1.1487944884258638e-07
1881,4.044054335849978e-08,1.0737661970683376e-07
1882,4.9249848643739824e-08,6.189508106047015e-08
1883,8.215140923084618e-08,8.657494304786795e-08
1884,6.799747609420592e-08,9.110342169549313e-08
1885,6.123353557541122e-08,6.70346098630148e-08
1886,7.937760670984062e-08,7.356948650283357e-08
1887,8.226444947467826e-08,9.662808353461116e-08
1888,4.882273429984707e-08,1.014498351992188e-07
1889,8.144677821064761e-08,7.580815442054245e-08
1890,9.831579461661022e-08,1.9138808698970777e-07
1891,6.820415165975646e-08,1.0007525785837856e-07
1892,7.961011050383604e-08,7.459529705045043e-08
1893,7.82118902975526e-08,6.774258065611605e-08
1894,8.444062871149072e-08,1.0397539540463185e-07
1895,8.486246372285677e-08,8.365873949145453e-08
1896,6.663642437843009e-08,9.848038562410011e-08
