year,aucun_DET an_NOUN,aucun_DET vent_NOUN
1800,3.144164484325529e-09,6.917161821107243e-08
1801,1.4287095950749062e-08,4.524246799419984e-08
1802,0.0,2.6854081625060644e-08
1803,1.950339223455444e-09,7.216255326625287e-08
1804,0.0,9.640218756601371e-08
1805,0.0,9.381496113292087e-08
1806,2.881669125542885e-09,9.797675204481493e-08
1807,0.0,6.263301344233696e-08
1808,9.064295980465431e-09,9.517511045942229e-08
1809,0.0,7.680704072754452e-08
1810,9.360507036149102e-09,8.424456154898508e-08
1811,0.0,4.011322962682584e-08
1812,0.0,1.0402111882967802e-07
1813,0.0,8.627225156487839e-08
1814,3.1466771410748606e-09,3.1466772298927026e-08
1815,5.394447111228828e-09,2.6972236000233352e-08
1816,0.0,8.343373814057031e-08
1817,3.113746815941454e-09,2.6466847935502358e-08
1818,2.384235475716423e-09,4.172412104708201e-08
1819,2.070210003424222e-09,4.2439304737129646e-08
1820,0.0,2.966620282762733e-08
1821,1.97229765852569e-09,2.5639868894700157e-08
1822,3.0076847679083585e-09,5.1130641054442094e-08
1823,8.894418535021487e-09,4.842516432290722e-08
1824,0.0,9.094801889375503e-08
1825,7.044354211060977e-09,4.490776106536032e-08
1826,6.1655889282974385e-09,6.870228075328555e-08
1827,0.0,5.438191053031005e-08
1828,9.172301251858528e-10,5.6868266540277546e-08
1829,1.714635211591542e-09,4.9724421025132415e-08
1830,1.0436835840010872e-09,6.679575226264944e-08
1831,3.1182412207897414e-09,8.731075240575592e-08
1832,5.411987746839486e-09,8.11798166466815e-08
1833,1.1583628500844156e-09,8.456048838922925e-08
1834,0.0,8.494423342497726e-08
1835,9.832014313815307e-09,8.092504089063368e-08
1836,1.3441500135158435e-09,7.056787687531596e-08
1837,0.0,7.166627291610439e-08
1838,1.8936485712828244e-09,8.016445729452926e-08
1839,6.9914751765765e-10,9.57832075876297e-08
1840,7.0066574764382494e-09,6.242294714464691e-08
1841,0.0,3.852329300002566e-08
1842,6.708265054555795e-10,5.2995293486901573e-08
1843,1.7720733769266417e-09,4.961805299963373e-08
1844,2.1954245643662773e-09,4.829934074912501e-08
1845,1.674068439427856e-09,6.41726201067172e-08
1846,4.0981511517657054e-09,4.390876062743132e-08
1847,2.1572894581822766e-09,7.388716660727823e-08
1848,1.6090443422100975e-09,5.390298518648251e-08
1849,8.379414939696517e-10,4.022119171054328e-08
1850,8.82569484161877e-09,5.838536498714575e-08
1851,6.449438760824933e-10,5.611011744122152e-08
1852,3.906327261660181e-09,4.7526983237844433e-08
1853,5.971931837933653e-10,5.1358615138497044e-08
1854,5.7152309551611324e-09,3.013485327940657e-08
1855,5.306937111981824e-10,4.4578271740647324e-08
1856,2.0708756931497874e-09,3.882891874695815e-08
1857,1.9526036343364694e-09,5.516105394676174e-08
1858,4.893676019968041e-10,4.942612608083152e-08
1859,1.018434669930457e-09,6.97627746681917e-08
1860,9.154367819341758e-10,4.577183876364188e-08
1861,9.431927461278633e-10,6.555189546730844e-08
1862,3.162590411776023e-09,4.066187653251063e-08
1863,9.989241656072068e-10,4.145535381638865e-08
1864,1.9178911792039344e-09,5.274200809424201e-08
1865,3.294791106611683e-09,5.8364870048066564e-08
1866,1.9462451650298362e-09,4.86561289037013e-08
1867,4.85281148598915e-10,3.494024269912188e-08
1868,4.93987406535723e-10,4.54468405131081e-08
1869,1.4650557433881772e-09,5.030024841090608e-08
1870,2.2936195165357276e-09,5.50468701732143e-08
1871,4.248470908407853e-09,2.0180236592892697e-08
1872,3.0236697590169115e-09,3.749350319104394e-08
1873,4.190203295451056e-09,3.831042683088981e-08
1874,5.974609140757536e-10,4.241972373364433e-08
1875,1.1443054281912168e-09,2.975194079990473e-08
1876,1.209202959984168e-09,4.8972718991180386e-08
1877,3.0924081073635534e-09,3.5253450381134144e-08
1878,1.8117265465633636e-09,4.227362238040655e-08
1879,6.10932526790009e-10,3.237942414191508e-08
1880,1.9253538763308597e-09,5.647704703903855e-08
1881,6.972507571312292e-10,3.9046042843438045e-08
1882,3.9932310791357395e-09,3.9266773610435735e-08
1883,0.0,5.1186646921053125e-08
1884,6.601696966868076e-10,2.970763635090634e-08
1885,6.445635691854079e-10,2.1915161685370776e-08
1886,1.2906927748801422e-09,3.613939925095622e-08
1887,1.3057849246322917e-09,2.3504127977247435e-08
1888,1.268122939990235e-09,3.2971196217701504e-08
1889,6.265136742733546e-10,2.4434033019105073e-08
1890,0.0,2.8839299837102317e-08
1891,6.374220040683554e-10,3.82453193559229e-08
1892,3.1342561879199593e-09,3.5103669304703544e-08
1893,0.0,2.0322774685332945e-08
1894,4.411077725308132e-09,2.8987081401865566e-08
1895,6.018614495673091e-10,3.490796540717156e-08
1896,0.0,4.245860707463578e-08
1897,1.1653427112179315e-09,2.0976168801922768e-08
1898,0.0,2.4896761097181752e-08
1899,5.527578395003729e-10,2.3768587098516036e-08
1900,5.191053142894475e-10,1.7130475260529465e-08
1901,5.588738916095792e-10,3.520905611509306e-08
1902,4.910283846193408e-10,2.3569363016839873e-08
1903,3.7801539676252105e-09,3.402138926134057e-08
1904,0.0,1.4511488011237361e-08
1905,0.0,2.012695948794274e-08
1906,1.5432553013283723e-09,3.035068907308869e-08
1907,1.5428529565042481e-09,3.548562044208836e-08
1908,9.822778146428846e-10,3.388858482722412e-08
1909,1.1001967115120692e-09,4.015717891547865e-08
1910,5.344150677544235e-10,2.7255168344453296e-08
1911,2.128149656499545e-09,4.735133174449402e-08
1912,4.688478938419394e-09,4.740573267270065e-08
1913,5.30298971401777e-10,5.93934839088206e-08
1914,2.0090231700464756e-09,4.018046251275109e-08
1915,2.3561523843085297e-09,3.062998032987707e-08
1916,0.0,3.5159878564172686e-08
1917,1.0966424435210342e-09,1.3159709322252411e-08
1918,1.1486376294556067e-09,3.445912799548978e-08
1919,0.0,4.4197673076951105e-08
1920,7.572231730534895e-10,4.921950669256603e-08
1921,7.572747429129834e-10,2.4232792661393887e-08
1922,1.4755870969551665e-09,4.574319945049865e-08
1923,0.0,4.671017261870247e-08
1924,2.578324886925998e-09,5.1566496850341537e-08
