year,en_PRON aie_VERB,en_PRON vais_VERB
1800,3.144164395507687e-08,8.174827570428533e-08
1801,9.048493865293494e-08,4.619494120561285e-07
1802,4.4756802708434407e-08,2.2378401354217203e-08
1803,6.436119548425268e-08,9.946730017418304e-08
1804,1.6808586167371686e-07,2.4718508484511403e-07
1805,1.1655798459742073e-07,9.950071699904584e-08
1806,1.3255677799861587e-07,9.221341201737232e-08
1807,7.971474502710407e-08,9.679647661187119e-08
1808,9.517511045942229e-08,4.078933102391602e-08
1809,5.873479480555943e-08,4.292158095609011e-08
1810,9.594519667643908e-08,1.1700633706368535e-07
1811,5.264861258069686e-08,6.267691787797958e-08
1812,3.7340914360584065e-08,4.2408609601807257e-07
1813,4.3136125782439194e-08,9.777521370324394e-08
1814,1.2901375612273114e-07,6.608021863030444e-08
1815,1.3216394734172354e-07,6.47333635583891e-08
1816,1.668674798338543e-07,1.7845549393769033e-07
1817,1.4323235575375293e-07,1.0431051578052575e-07
1818,5.126106117359086e-08,8.583247534943439e-08
1819,8.9019032145643e-08,5.072014630513877e-08
1820,7.95054262425765e-08,1.3409123766905395e-07
1821,1.2425475404143072e-07,7.494730880353018e-08
1822,1.0426640528748976e-07,1.31335568198665e-07
1823,1.2551012673611694e-07,1.2847492314449482e-07
1824,1.2379035752019263e-07,1.0863235644364977e-07
1825,1.215151144151605e-07,1.2327620879659662e-07
1826,7.04638765114396e-08,1.2155018680459762e-07
1827,7.650336897313537e-08,8.664236617050847e-08
1828,6.604057034564903e-08,7.429564163885516e-08
1829,8.401712392469562e-08,5.572564276690173e-08
1830,5.322786122974321e-08,8.453837097022188e-08
1831,8.263339168479433e-08,6.080570358335535e-08
1832,7.712082350508354e-08,1.3259369779916597e-07
1833,5.09679658478035e-08,4.9809603552830595e-08
1834,4.1071935186209885e-08,5.2273371409228275e-08
1835,7.411826175030001e-08,8.092504089063368e-08
1836,6.25029770162655e-08,9.073012563476368e-08
1837,6.331680424409569e-08,7.653680000885288e-08
1838,4.7341213615936795e-08,1.0162580821315714e-07
1839,6.222413162504381e-08,6.152497888933794e-08
1840,5.6690229399691816e-08,4.522479102320176e-08
1841,5.072233477676491e-08,1.2263247128885268e-07
1842,6.305769062464606e-08,3.6895457355967665e-08
1843,4.371114314949409e-08,4.016699506337318e-08
1844,5.0494762149355665e-08,2.7991662321369404e-08
1845,5.245414413934668e-08,4.3525776760589e-08
1846,4.507965911670908e-08,6.439951505399222e-08
1847,5.501087940729121e-08,6.094342808182773e-08
1848,4.183515400768556e-08,3.137636639394259e-08
1849,3.6869426622843093e-08,1.8434713311421547e-08
1850,5.2275268558332755e-08,5.4311968256115506e-08
1851,4.6435957301582675e-08,4.1921353499674296e-08
1852,4.492276417522589e-08,5.599068941819496e-08
1853,4.478948767427937e-08,5.0761421732659073e-08
1854,4.624141425324524e-08,8.93654288347534e-08
1855,6.315255518529739e-08,4.404757802944914e-08
1856,4.970101485923806e-08,8.852993715890989e-08
1857,6.638852312335075e-08,8.103305049189657e-08
1858,4.991549573674092e-08,1.0570339981086363e-07
1859,6.568903643255908e-08,1.0846328990510301e-07
1860,5.446849016266242e-08,7.23195086038686e-08
1861,6.319391587794598e-08,8.771692705522582e-08
1862,6.23482137029896e-08,3.5963171285402495e-07
1863,6.293222298836554e-08,1.4634238709732017e-07
1864,9.54150891629979e-08,8.918193827867071e-08
